Datum,Type,Aantal,AantalCumulatief
2020-03-13,Totaal,191,804
2020-03-14,Totaal,155,959
2020-03-15,Totaal,176,1135
2020-03-16,Totaal,278,1413
2020-03-16,Ziekenhuisopname,43,205
2020-03-17,Totaal,292,1705
2020-03-17,Ziekenhuisopname,109,314
2020-03-18,Totaal,346,2051
2020-03-18,Ziekenhuisopname,94,408
2020-03-19,Totaal,409,2460
2020-03-19,Ziekenhuisopname,81,489
2020-03-20,Totaal,1191,3651
2020-03-20,Ziekenhuisopname,159,648
2020-03-21,Totaal,0,3651
2020-03-21,Ziekenhuisopname,188,836
2020-03-22,Totaal,573,4224
2020-03-22,Ziekenhuisopname,152,988
2020-03-23,Totaal,545,4769
2020-03-23,Ziekenhuisopname,242,1230
2020-03-24,Totaal,811,5580
2020-03-24,Ziekenhuisopname,265,1495
2020-03-25,Totaal,852,6432
2020-03-25,Ziekenhuisopname,341,1836
2020-03-26,Totaal,1019,7451
2020-03-26,Ziekenhuisopname,315,2151
2020-03-27,Totaal,1172,8623
2020-03-27,Ziekenhuisopname,349,2500
2020-03-28,Totaal,1159,9782
2020-03-28,Ziekenhuisopname,454,2954
2020-03-29,Totaal,1104,10886
2020-03-29,Ziekenhuisopname,529,3483
2020-03-30,Totaal,884,11770
2020-03-30,Ziekenhuisopname,507,3990
2020-03-31,Totaal,845,12615
2020-03-31,Ziekenhuisopname,722,4712
2020-04-01,Totaal,1019,13634
2020-04-01,Ziekenhuisopname,447,5159
2020-04-02,Totaal,1083,14717
2020-04-02,Ziekenhuisopname,625,5784
2020-04-03,Totaal,1026,15743
2020-04-03,Ziekenhuisopname,501,6285
2020-04-04,Totaal,904,16647
2020-04-04,Ziekenhuisopname,336,6621
2020-04-05,Totaal,1224,17871
2020-04-05,Ziekenhuisopname,253,6874
2020-04-06,Totaal,952,18823
2020-04-06,Ziekenhuisopname,260,7134
2020-04-07,Totaal,777,19600
2020-04-07,Ziekenhuisopname,292,7426
2020-04-08,Totaal,969,20569
2020-04-08,Ziekenhuisopname,308,7734
2020-04-09,Totaal,1213,21782
2020-04-09,Ziekenhuisopname,237,7971
2020-04-10,Totaal,1335,23117
2020-04-10,Ziekenhuisopname,225,8196
2020-04-11,Totaal,1316,24433
2020-04-11,Ziekenhuisopname,190,8386
2020-04-12,Totaal,1174,25607
2020-04-12,Ziekenhuisopname,196,8582
2020-04-13,Totaal,964,26571
2020-04-13,Ziekenhuisopname,147,8729
2020-04-14,Totaal,868,27439
2020-04-14,Ziekenhuisopname,210,8939
2020-04-15,Totaal,734,28173
2020-04-15,Ziekenhuisopname,188,9127
2020-04-16,Totaal,1061,29234
2020-04-16,Ziekenhuisopname,182,9309
2020-04-17,Totaal,1235,30469
2020-04-17,Ziekenhuisopname,156,9465
2020-04-18,Totaal,1140,31609
2020-04-18,Ziekenhuisopname,129,9594
2020-04-19,Totaal,1066,32675
2020-04-19,Ziekenhuisopname,110,9704
2020-04-20,Totaal,750,33425
2020-04-20,Ziekenhuisopname,75,9779
2020-04-21,Totaal,729,34154
2020-04-21,Ziekenhuisopname,118,9897
2020-04-22,Totaal,708,34862
2020-04-22,Ziekenhuisopname,124,10021
2020-04-23,Totaal,887,35749
2020-04-23,Ziekenhuisopname,137,10158
2020-04-24,Totaal,806,36555
2020-04-24,Ziekenhuisopname,123,10281
2020-04-25,Totaal,655,37210
2020-04-25,Ziekenhuisopname,100,10381
2020-04-26,Totaal,655,37865
2020-04-26,Ziekenhuisopname,75,10456
2020-04-27,Totaal,400,38265
2020-04-27,Ziekenhuisopname,65,10521
2020-04-28,Totaal,171,38436
2020-04-28,Ziekenhuisopname,88,10609
2020-04-29,Totaal,386,38822
2020-04-29,Ziekenhuisopname,76,10685
2020-04-30,Totaal,514,39336
2020-04-30,Ziekenhuisopname,84,10769
2020-05-01,Totaal,475,39811
2020-05-01,Ziekenhuisopname,85,10854
2020-05-02,Totaal,445,40256
2020-05-02,Ziekenhuisopname,93,10947
2020-05-03,Totaal,335,40591
2020-05-03,Ziekenhuisopname,41,10988
2020-05-04,Totaal,199,40790
2020-05-04,Ziekenhuisopname,36,11024
2020-05-05,Totaal,317,41107
2020-05-05,Ziekenhuisopname,79,11103
2020-05-06,Totaal,232,41339
2020-05-06,Ziekenhuisopname,20,11123
2020-05-07,Totaal,455,41794
2020-05-07,Ziekenhuisopname,33,11156
2020-05-08,Totaal,319,42113
2020-05-08,Ziekenhuisopname,71,11227
2020-05-09,Totaal,289,42402
2020-05-09,Ziekenhuisopname,58,11285
2020-05-10,Totaal,245,42647
2020-05-10,Ziekenhuisopname,22,11307
2020-05-11,Totaal,161,42808
2020-05-11,Ziekenhuisopname,36,11343
2020-05-12,Totaal,196,43004
2020-05-12,Ziekenhuisopname,35,11378
2020-05-13,Totaal,227,43231
2020-05-13,Ziekenhuisopname,52,11430
2020-05-14,Totaal,270,43501
2020-05-14,Ziekenhuisopname,27,11457
2020-05-15,Totaal,200,43701
2020-05-15,Ziekenhuisopname,35,11492
2020-05-16,Totaal,189,43890
2020-05-16,Ziekenhuisopname,45,11537
2020-05-17,Totaal,125,44015
2020-05-17,Ziekenhuisopname,15,11552
2020-05-18,Totaal,146,44161
2020-05-18,Ziekenhuisopname,27,11579
2020-05-19,Totaal,108,44269
2020-05-19,Ziekenhuisopname,34,11613
2020-05-20,Totaal,198,44467
2020-05-20,Ziekenhuisopname,14,11627
2020-05-21,Totaal,253,44720
2020-05-21,Ziekenhuisopname,13,11640
2020-05-22,Totaal,188,44908
2020-05-22,Ziekenhuisopname,9,11649
2020-05-23,Totaal,176,45084
2020-05-23,Ziekenhuisopname,10,11659
2020-05-24,Totaal,172,45256
2020-05-24,Ziekenhuisopname,13,11672
2020-05-25,Totaal,209,45465
2020-05-25,Ziekenhuisopname,8,11680
2020-05-26,Totaal,133,45598
2020-05-26,Ziekenhuisopname,10,11690
2020-05-27,Totaal,190,45788
2020-05-27,Ziekenhuisopname,7,11697
2020-05-28,Totaal,182,45970
2020-05-28,Ziekenhuisopname,16,11713
2020-05-29,Totaal,176,46146
2020-05-29,Ziekenhuisopname,9,11722
2020-05-30,Totaal,131,46277
2020-05-30,Ziekenhuisopname,5,11727
2020-05-31,Totaal,185,46462
2020-05-31,Ziekenhuisopname,8,11735
2020-06-01,Totaal,103,46565
2020-06-01,Ziekenhuisopname,9,11744
2020-06-02,Totaal,102,46667
2020-06-02,Ziekenhuisopname,6,11750
2020-06-03,Totaal,86,46753
2020-06-03,Ziekenhuisopname,9,11759
2020-06-04,Totaal,209,46962
2020-06-04,Ziekenhuisopname,12,11771
2020-06-05,Totaal,210,47172
2020-06-05,Ziekenhuisopname,11,11782
2020-06-06,Totaal,183,47355
2020-06-06,Ziekenhuisopname,3,11785
2020-06-07,Totaal,239,47594
2020-06-07,Ziekenhuisopname,4,11789
2020-06-08,Totaal,165,47759
2020-06-08,Ziekenhuisopname,5,11794
2020-06-09,Totaal,164,47923
2020-06-09,Ziekenhuisopname,6,11800
2020-06-10,Totaal,184,48107
2020-06-10,Ziekenhuisopname,5,11805
2020-06-11,Totaal,164,48271
2020-06-11,Ziekenhuisopname,3,11808
2020-06-12,Totaal,210,48481
2020-06-12,Ziekenhuisopname,5,11813
2020-06-13,Totaal,179,48660
2020-06-13,Ziekenhuisopname,9,11822
2020-06-14,Totaal,143,48803
2020-06-14,Ziekenhuisopname,6,11828
2020-06-15,Totaal,165,48968
2020-06-15,Ziekenhuisopname,3,11831
2020-06-16,Totaal,139,49107
2020-06-16,Ziekenhuisopname,3,11834
2020-06-17,Totaal,117,49224
2020-06-17,Ziekenhuisopname,2,11836
2020-06-18,Totaal,115,49339
2020-06-18,Ziekenhuisopname,-1,11835
2020-06-19,Totaal,107,49446
2020-06-19,Ziekenhuisopname,11,11846
2020-06-20,Totaal,76,49522
2020-06-20,Ziekenhuisopname,0,11846
2020-06-21,Totaal,91,49613
2020-06-21,Ziekenhuisopname,3,11849
2020-06-22,Totaal,65,49678
2020-06-22,Ziekenhuisopname,2,11851
2020-06-23,Totaal,64,49742
2020-06-23,Ziekenhuisopname,2,11853
2020-06-24,Totaal,82,49824
2020-06-24,Ziekenhuisopname,6,11859
2020-06-25,Totaal,110,49934
2020-06-25,Ziekenhuisopname,4,11863
2020-06-26,Totaal,91,50025
2020-06-26,Ziekenhuisopname,5,11868
2020-06-27,Totaal,69,50094
2020-06-27,Ziekenhuisopname,0,11868
2020-06-28,Totaal,73,50167
2020-06-28,Ziekenhuisopname,3,11871
2020-06-29,Totaal,76,50243
2020-06-29,Ziekenhuisopname,3,11874
2020-06-30,Totaal,50,50293
2020-06-30,Ziekenhuisopname,3,11877
2020-07-01,Totaal,62,50355
2020-07-01,Ziekenhuisopname,1,11878
2020-07-02,Totaal,77,50432
2020-07-02,Ziekenhuisopname,0,11878
2020-07-03,Totaal,75,50507
2020-07-03,Ziekenhuisopname,4,11882
2020-07-04,Totaal,61,50568
2020-07-04,Ziekenhuisopname,1,11883
2020-07-05,Totaal,73,50641
2020-07-05,Ziekenhuisopname,1,11884
2020-07-06,Totaal,36,50677
2020-07-06,Ziekenhuisopname,0,11884
2020-07-07,Totaal,37,50714
2020-07-07,Ziekenhuisopname,2,11886
2020-07-08,Totaal,52,50766
2020-07-08,Ziekenhuisopname,3,11889
2020-07-09,Totaal,52,50818
2020-07-09,Ziekenhuisopname,-2,11887
2020-07-10,Totaal,42,50860
2020-07-10,Ziekenhuisopname,1,11888
2020-07-11,Totaal,81,50941
2020-07-11,Ziekenhuisopname,3,11891
2020-07-12,Totaal,101,51042
2020-07-12,Ziekenhuisopname,2,11893
2020-07-13,Totaal,71,51113
2020-07-13,Ziekenhuisopname,1,11894
2020-07-14,Totaal,53,51166
2020-07-14,Ziekenhuisopname,-2,11892
2020-07-15,Totaal,106,51272
2020-07-15,Ziekenhuisopname,5,11897
2020-07-16,Totaal,99,51371
2020-07-16,Ziekenhuisopname,1,11898
2020-07-17,Totaal,103,51474
2020-07-17,Ziekenhuisopname,-4,11894
2020-07-18,Totaal,127,51601
2020-07-18,Ziekenhuisopname,3,11897
2020-07-19,Totaal,144,51745
2020-07-19,Ziekenhuisopname,1,11898
2020-07-20,Totaal,185,51930
2020-07-20,Ziekenhuisopname,2,11900
2020-07-21,Totaal,163,52093
2020-07-21,Ziekenhuisopname,4,11904
2020-07-22,Totaal,168,52261
2020-07-22,Ziekenhuisopname,-2,11902
2020-07-23,Totaal,163,52424
2020-07-23,Ziekenhuisopname,3,11905
2020-07-24,Totaal,191,52615
2020-07-24,Ziekenhuisopname,1,11906
2020-07-25,Totaal,137,52752
2020-07-25,Ziekenhuisopname,0,11906
2020-07-26,Totaal,214,52966
2020-07-26,Ziekenhuisopname,2,11908
2020-07-27,Totaal,205,53171
2020-07-27,Ziekenhuisopname,7,11915
2020-07-28,Totaal,223,53394
2020-07-28,Ziekenhuisopname,4,11919
2020-07-29,Totaal,247,53641
2020-07-29,Ziekenhuisopname,3,11922
2020-07-30,Totaal,342,53983
2020-07-30,Ziekenhuisopname,7,11929
2020-07-31,Totaal,338,54321
