Datum,Type,Waarde
2020-02-17,Minimum,518
2020-02-17,Maximum,1380
2020-02-17,Geschat aantal besmettelijke mensen,930
2020-02-18,Minimum,748
2020-02-18,Maximum,1725
2020-02-18,Geschat aantal besmettelijke mensen,1208
2020-02-19,Minimum,1035
2020-02-19,Maximum,2128
2020-02-19,Geschat aantal besmettelijke mensen,1559
2020-02-20,Minimum,1380
2020-02-20,Maximum,2645
2020-02-20,Geschat aantal besmettelijke mensen,1980
2020-02-21,Minimum,1783
2020-02-21,Maximum,3278
2020-02-21,Geschat aantal besmettelijke mensen,2530
2020-02-22,Minimum,2358
2020-02-22,Maximum,4025
2020-02-22,Geschat aantal besmettelijke mensen,3190
2020-02-23,Minimum,3048
2020-02-23,Maximum,4945
2020-02-23,Geschat aantal besmettelijke mensen,3967
2020-02-24,Minimum,3853
2020-02-24,Maximum,6095
2020-02-24,Geschat aantal besmettelijke mensen,4913
2020-02-25,Minimum,4773
2020-02-25,Maximum,7303
2020-02-25,Geschat aantal besmettelijke mensen,6039
2020-02-26,Minimum,5865
2020-02-26,Maximum,8855
2020-02-26,Geschat aantal besmettelijke mensen,7370
2020-02-27,Minimum,7130
2020-02-27,Maximum,10580
2020-02-27,Geschat aantal besmettelijke mensen,8870
2020-02-28,Minimum,8625
2020-02-28,Maximum,12651
2020-02-28,Geschat aantal besmettelijke mensen,10679
2020-02-29,Minimum,10408
2020-02-29,Maximum,15123
2020-02-29,Geschat aantal besmettelijke mensen,12841
2020-03-01,Minimum,12536
2020-03-01,Maximum,18056
2020-03-01,Geschat aantal besmettelijke mensen,15379
2020-03-02,Minimum,15008
2020-03-02,Maximum,21506
2020-03-02,Geschat aantal besmettelijke mensen,18406
2020-03-03,Minimum,17998
2020-03-03,Maximum,25589
2020-03-03,Geschat aantal besmettelijke mensen,21981
2020-03-04,Minimum,21736
2020-03-04,Maximum,30361
2020-03-04,Geschat aantal besmettelijke mensen,26223
2020-03-05,Minimum,25761
2020-03-05,Maximum,35651
2020-03-05,Geschat aantal besmettelijke mensen,30952
2020-03-06,Minimum,30304
2020-03-06,Maximum,41977
2020-03-06,Geschat aantal besmettelijke mensen,36449
2020-03-07,Minimum,35824
2020-03-07,Maximum,49394
2020-03-07,Geschat aantal besmettelijke mensen,43002
2020-03-08,Minimum,41977
2020-03-08,Maximum,57732
2020-03-08,Geschat aantal besmettelijke mensen,50395
2020-03-09,Minimum,48819
2020-03-09,Maximum,67220
2020-03-09,Geschat aantal besmettelijke mensen,58699
2020-03-10,Minimum,53929
2020-03-10,Maximum,75198
2020-03-10,Geschat aantal besmettelijke mensen,65356
2020-03-11,Minimum,59726
2020-03-11,Maximum,84090
2020-03-11,Geschat aantal besmettelijke mensen,72672
2020-03-12,Minimum,64614
2020-03-12,Maximum,92515
2020-03-12,Geschat aantal besmettelijke mensen,79314
2020-03-13,Minimum,68686
2020-03-13,Maximum,100704
2020-03-13,Geschat aantal besmettelijke mensen,85770
2020-03-14,Minimum,75754
2020-03-14,Maximum,112553
2020-03-14,Geschat aantal besmettelijke mensen,95458
2020-03-15,Minimum,82409
2020-03-15,Maximum,124777
2020-03-15,Geschat aantal besmettelijke mensen,105028
