Datum,Type,Waarde
2020-02-17,Minimum,3.0
2020-02-17,Maximum,7.9
2020-02-17,Geschat aantal besmettelijke mensen,5.3
2020-02-18,Minimum,4.0
2020-02-18,Maximum,9.9
2020-02-18,Geschat aantal besmettelijke mensen,6.9
2020-02-19,Minimum,5.6
2020-02-19,Maximum,12.6
2020-02-19,Geschat aantal besmettelijke mensen,9.0
2020-02-20,Minimum,7.9
2020-02-20,Maximum,15.2
2020-02-20,Geschat aantal besmettelijke mensen,11.4
2020-02-21,Minimum,10.2
2020-02-21,Maximum,19.2
2020-02-21,Geschat aantal besmettelijke mensen,14.4
2020-02-22,Minimum,13.5
2020-02-22,Maximum,23.1
2020-02-22,Geschat aantal besmettelijke mensen,18.1
2020-02-23,Minimum,17.2
2020-02-23,Maximum,28.4
2020-02-23,Geschat aantal besmettelijke mensen,22.5
2020-02-24,Minimum,21.5
2020-02-24,Maximum,34.4
2020-02-24,Geschat aantal besmettelijke mensen,27.8
2020-02-25,Minimum,27.1
2020-02-25,Maximum,41.6
2020-02-25,Geschat aantal besmettelijke mensen,34.2
2020-02-26,Minimum,33.0
2020-02-26,Maximum,49.9
2020-02-26,Geschat aantal besmettelijke mensen,41.6
2020-02-27,Minimum,40.0
2020-02-27,Maximum,59.8
2020-02-27,Geschat aantal besmettelijke mensen,50.1
2020-02-28,Minimum,48.6
2020-02-28,Maximum,71.7
2020-02-28,Geschat aantal besmettelijke mensen,60.3
2020-02-29,Minimum,59.1
2020-02-29,Maximum,85.9
2020-02-29,Geschat aantal besmettelijke mensen,72.7
2020-03-01,Minimum,71.0
2020-03-01,Maximum,102.1
2020-03-01,Geschat aantal besmettelijke mensen,87.0
2020-03-02,Minimum,85.2
2020-03-02,Maximum,121.6
2020-03-02,Geschat aantal besmettelijke mensen,104.3
2020-03-03,Minimum,102.4
2020-03-03,Maximum,144.4
2020-03-03,Geschat aantal besmettelijke mensen,124.5
2020-03-04,Minimum,122.9
2020-03-04,Maximum,171.8
2020-03-04,Geschat aantal besmettelijke mensen,148.7
2020-03-05,Minimum,145.7
2020-03-05,Maximum,201.8
2020-03-05,Geschat aantal besmettelijke mensen,175.7
2020-03-06,Minimum,172.1
2020-03-06,Maximum,238.2
2020-03-06,Geschat aantal besmettelijke mensen,207.2
2020-03-07,Minimum,204.1
2020-03-07,Maximum,280.1
2020-03-07,Geschat aantal besmettelijke mensen,244.5
2020-03-08,Minimum,239.2
2020-03-08,Maximum,328.3
2020-03-08,Geschat aantal besmettelijke mensen,286.4
2020-03-09,Minimum,279.1
2020-03-09,Maximum,383.2
2020-03-09,Geschat aantal besmettelijke mensen,334.0
2020-03-10,Minimum,306.8
2020-03-10,Maximum,428.3
2020-03-10,Geschat aantal besmettelijke mensen,371.8
2020-03-11,Minimum,339.2
2020-03-11,Maximum,478.6
2020-03-11,Geschat aantal besmettelijke mensen,413.3
2020-03-12,Minimum,366.4
2020-03-12,Maximum,526.2
2020-03-12,Geschat aantal besmettelijke mensen,451.3
2020-03-13,Minimum,390.8
2020-03-13,Maximum,575.0
2020-03-13,Geschat aantal besmettelijke mensen,488.6
2020-03-14,Minimum,432.1
2020-03-14,Maximum,642.3
2020-03-14,Geschat aantal besmettelijke mensen,544.0
2020-03-15,Minimum,470.2
2020-03-15,Maximum,712.2
2020-03-15,Geschat aantal besmettelijke mensen,598.7
2020-03-16,Minimum,518.2
2020-03-16,Maximum,779.5
2020-03-16,Geschat aantal besmettelijke mensen,651.7
2020-03-17,Minimum,564.4
2020-03-17,Maximum,844.4
2020-03-17,Geschat aantal besmettelijke mensen,706.7
2020-03-18,Minimum,610.1
2020-03-18,Maximum,902.7
2020-03-18,Geschat aantal besmettelijke mensen,758.5
2020-03-19,Minimum,659.6
2020-03-19,Maximum,961.0
2020-03-19,Geschat aantal besmettelijke mensen,814.8
2020-03-20,Minimum,684.5
2020-03-20,Maximum,1024.0
2020-03-20,Geschat aantal besmettelijke mensen,864.0
2020-03-21,Minimum,708.2
2020-03-21,Maximum,1086.2
2020-03-21,Geschat aantal besmettelijke mensen,910.4
2020-03-22,Minimum,724.6
2020-03-22,Maximum,1142.3
2020-03-22,Geschat aantal besmettelijke mensen,943.9
2020-03-23,Minimum,729.8
2020-03-23,Maximum,1188.5
2020-03-23,Geschat aantal besmettelijke mensen,964.3
2020-03-24,Minimum,727.8
2020-03-24,Maximum,1204.5
2020-03-24,Geschat aantal besmettelijke mensen,970.2
2020-03-25,Minimum,715.9
2020-03-25,Maximum,1211.7
2020-03-25,Geschat aantal besmettelijke mensen,968.1
2020-03-26,Minimum,690.4
2020-03-26,Maximum,1201.0
2020-03-26,Geschat aantal besmettelijke mensen,948.5
2020-03-27,Minimum,657.3
2020-03-27,Maximum,1182.7
2020-03-27,Geschat aantal besmettelijke mensen,922.9
2020-03-28,Minimum,628.6
2020-03-28,Maximum,1161.9
2020-03-28,Geschat aantal besmettelijke mensen,894.7
2020-03-29,Minimum,593.2
2020-03-29,Maximum,1122.2
2020-03-29,Geschat aantal besmettelijke mensen,855.2
2020-03-30,Minimum,560.9
2020-03-30,Maximum,1080.6
2020-03-30,Geschat aantal besmettelijke mensen,815.1
2020-03-31,Minimum,529.1
2020-03-31,Maximum,1029.8
2020-03-31,Geschat aantal besmettelijke mensen,773.8
2020-04-01,Minimum,504.6
2020-04-01,Maximum,979.3
2020-04-01,Geschat aantal besmettelijke mensen,734.2
2020-04-02,Minimum,475.4
2020-04-02,Maximum,925.0
2020-04-02,Geschat aantal besmettelijke mensen,692.4
2020-04-03,Minimum,447.0
2020-04-03,Maximum,877.3
2020-04-03,Geschat aantal besmettelijke mensen,656.3
2020-04-04,Minimum,428.6
2020-04-04,Maximum,831.4
2020-04-04,Geschat aantal besmettelijke mensen,625.1
2020-04-05,Minimum,404.9
2020-04-05,Maximum,792.2
2020-04-05,Geschat aantal besmettelijke mensen,592.1
2020-04-06,Minimum,380.3
2020-04-06,Maximum,749.0
2020-04-06,Geschat aantal besmettelijke mensen,559.3
2020-04-07,Minimum,358.2
2020-04-07,Maximum,704.6
2020-04-07,Geschat aantal besmettelijke mensen,527.4
2020-04-08,Minimum,342.2
2020-04-08,Maximum,670.3
2020-04-08,Geschat aantal besmettelijke mensen,500.4
2020-04-09,Minimum,321.6
2020-04-09,Maximum,634.1
2020-04-09,Geschat aantal besmettelijke mensen,472.3
2020-04-10,Minimum,298.5
2020-04-10,Maximum,597.8
2020-04-10,Geschat aantal besmettelijke mensen,444.9
2020-04-11,Minimum,283.2
2020-04-11,Maximum,566.2
2020-04-11,Geschat aantal besmettelijke mensen,421.4
2020-04-12,Minimum,269.9
2020-04-12,Maximum,540.0
2020-04-12,Geschat aantal besmettelijke mensen,399.4
2020-04-13,Minimum,255.6
2020-04-13,Maximum,509.1
2020-04-13,Geschat aantal besmettelijke mensen,376.5
2020-04-14,Minimum,239.8
2020-04-14,Maximum,478.2
2020-04-14,Geschat aantal besmettelijke mensen,355.3
2020-04-15,Minimum,228.2
2020-04-15,Maximum,452.5
2020-04-15,Geschat aantal besmettelijke mensen,337.0
2020-04-16,Minimum,214.3
2020-04-16,Maximum,426.3
2020-04-16,Geschat aantal besmettelijke mensen,316.7
2020-04-17,Minimum,198.6
2020-04-17,Maximum,402.6
2020-04-17,Geschat aantal besmettelijke mensen,297.4
2020-04-18,Minimum,186.4
2020-04-18,Maximum,380.1
2020-04-18,Geschat aantal besmettelijke mensen,280.9
2020-04-19,Minimum,176.1
2020-04-19,Maximum,360.9
2020-04-19,Geschat aantal besmettelijke mensen,265.4
2020-04-20,Minimum,165.4
2020-04-20,Maximum,341.5
2020-04-20,Geschat aantal besmettelijke mensen,249.8
2020-04-21,Minimum,154.7
2020-04-21,Maximum,321.2
2020-04-21,Geschat aantal besmettelijke mensen,235.1
2020-04-22,Minimum,148.7
2020-04-22,Maximum,302.5
2020-04-22,Geschat aantal besmettelijke mensen,222.4
2020-04-23,Minimum,141.2
2020-04-23,Maximum,285.4
2020-04-23,Geschat aantal besmettelijke mensen,209.5
2020-04-24,Minimum,132.4
2020-04-24,Maximum,269.9
2020-04-24,Geschat aantal besmettelijke mensen,198.4
2020-04-25,Minimum,126.2
2020-04-25,Maximum,255.3
2020-04-25,Geschat aantal besmettelijke mensen,189.4
2020-04-26,Minimum,121.8
2020-04-26,Maximum,246.0
2020-04-26,Geschat aantal besmettelijke mensen,182.0
2020-04-27,Minimum,116.9
2020-04-27,Maximum,236.1
2020-04-27,Geschat aantal besmettelijke mensen,174.1
2020-04-28,Minimum,111.5
2020-04-28,Maximum,224.2
2020-04-28,Geschat aantal besmettelijke mensen,166.1
2020-04-29,Minimum,107.9
2020-04-29,Maximum,213.8
2020-04-29,Geschat aantal besmettelijke mensen,158.9
2020-04-30,Minimum,104.2
2020-04-30,Maximum,204.8
2020-04-30,Geschat aantal besmettelijke mensen,152.7
2020-05-01,Minimum,99.5
2020-05-01,Maximum,197.2
2020-05-01,Geschat aantal besmettelijke mensen,147.3
2020-05-02,Minimum,95.4
2020-05-02,Maximum,190.5
2020-05-02,Geschat aantal besmettelijke mensen,142.7
2020-05-03,Minimum,93.4
2020-05-03,Maximum,186.3
2020-05-03,Geschat aantal besmettelijke mensen,138.8
2020-05-04,Minimum,93.8
2020-05-04,Maximum,184.6
2020-05-04,Geschat aantal besmettelijke mensen,137.7
2020-05-05,Minimum,94.1
