Datum,LeeftijdGroep,Aantal
2020-07-21,0 tot 20,20
2020-07-21,20 tot 40,70
2020-07-21,40 tot 60,43
2020-07-21,60 tot 80,27
2020-07-21,80+,2
2020-07-21,Unknown,1
2020-07-22,0 tot 20,18
2020-07-22,20 tot 40,70
2020-07-22,40 tot 60,48
2020-07-22,60 tot 80,28
2020-07-22,80+,4
2020-07-22,Unknown,0
2020-07-23,0 tot 20,24
2020-07-23,20 tot 40,69
2020-07-23,40 tot 60,40
2020-07-23,60 tot 80,26
2020-07-23,80+,4
2020-07-23,Unknown,0
2020-07-24,0 tot 20,24
2020-07-24,20 tot 40,86
2020-07-24,40 tot 60,56
2020-07-24,60 tot 80,22
2020-07-24,80+,4
2020-07-24,Unknown,0
2020-07-25,0 tot 20,10
2020-07-25,20 tot 40,73
2020-07-25,40 tot 60,32
2020-07-25,60 tot 80,17
2020-07-25,80+,5
2020-07-25,Unknown,0
2020-07-26,0 tot 20,15
2020-07-26,20 tot 40,100
2020-07-26,40 tot 60,62
2020-07-26,60 tot 80,30
2020-07-26,80+,7
2020-07-26,Unknown,0
2020-07-27,0 tot 20,28
2020-07-27,20 tot 40,83
2020-07-27,40 tot 60,66
2020-07-27,60 tot 80,26
2020-07-27,80+,2
2020-07-27,Unknown,0
2020-07-28,0 tot 20,21
2020-07-28,20 tot 40,90
2020-07-28,40 tot 60,77
2020-07-28,60 tot 80,31
2020-07-28,80+,4
2020-07-28,Unknown,0
2020-07-29,0 tot 20,27
2020-07-29,20 tot 40,106
2020-07-29,40 tot 60,79
2020-07-29,60 tot 80,32
2020-07-29,80+,3
2020-07-29,Unknown,0
2020-07-30,0 tot 20,45
2020-07-30,20 tot 40,151
2020-07-30,40 tot 60,99
2020-07-30,60 tot 80,41
2020-07-30,80+,6
2020-07-30,Unknown,0
2020-07-31,0 tot 20,47
2020-07-31,20 tot 40,140
2020-07-31,40 tot 60,107
2020-07-31,60 tot 80,34
2020-07-31,80+,10
2020-07-31,Unknown,0
2020-08-01,0 tot 20,41
2020-08-01,20 tot 40,197
2020-08-01,40 tot 60,134
2020-08-01,60 tot 80,52
2020-08-01,80+,7
2020-08-01,Unknown,0
2020-08-02,0 tot 20,51
2020-08-02,20 tot 40,159
2020-08-02,40 tot 60,108
2020-08-02,60 tot 80,36
2020-08-02,80+,12
2020-08-02,Unknown,0
2020-08-03,0 tot 20,38
2020-08-03,20 tot 40,179
2020-08-03,40 tot 60,107
2020-08-03,60 tot 80,40
2020-08-03,80+,8
2020-08-03,Unknown,0
2020-08-09,0 tot 20,63
2020-08-09,20 tot 40,309
2020-08-09,40 tot 60,150
2020-08-09,60 tot 80,48
2020-08-09,80+,7
2020-08-10,0 tot 20,81
2020-08-10,20 tot 40,320
2020-08-10,40 tot 60,151
2020-08-10,60 tot 80,66
2020-08-10,80+,12
2020-08-11,0 tot 20,99
2020-08-11,20 tot 40,356
2020-08-11,40 tot 60,209
2020-08-11,60 tot 80,90
2020-08-11,80+,25
2020-08-12,0 tot 20,74
2020-08-12,20 tot 40,318
2020-08-12,40 tot 60,184
2020-08-12,60 tot 80,63
2020-08-12,80+,15
2020-08-13,0 tot 20,68
2020-08-13,20 tot 40,271
2020-08-13,40 tot 60,163
2020-08-13,60 tot 80,63
2020-08-13,80+,12
2020-08-14,0 tot 20,60
2020-08-14,20 tot 40,331
2020-08-14,40 tot 60,172
2020-08-14,60 tot 80,55
2020-08-14,80+,18
2020-08-15,0 tot 20,85
2020-08-15,20 tot 40,321
2020-08-15,40 tot 60,160
2020-08-15,60 tot 80,68
2020-08-15,80+,21
2020-08-16,0 tot 20,77
2020-08-16,20 tot 40,226
2020-08-16,40 tot 60,146
2020-08-16,60 tot 80,42
2020-08-16,80+,16
2020-08-17,0 tot 20,75
2020-08-17,20 tot 40,235
2020-08-17,40 tot 60,116
2020-08-17,60 tot 80,43
2020-08-17,80+,13
2020-08-18,0 tot 20,59
2020-08-18,20 tot 40,237
2020-08-18,40 tot 60,132
2020-08-18,60 tot 80,54
2020-08-18,80+,7
2020-08-19,0 tot 20,82
2020-08-19,20 tot 40,267
2020-08-19,40 tot 60,136
2020-08-19,60 tot 80,54
2020-08-19,80+,13
2020-08-20,0 tot 20,73
2020-08-20,20 tot 40,250
2020-08-20,40 tot 60,138
2020-08-20,60 tot 80,55
2020-08-20,80+,13
2020-08-21,0 tot 20,70
2020-08-21,20 tot 40,265
2020-08-21,40 tot 60,140
2020-08-21,60 tot 80,46
2020-08-21,80+,14
2020-08-22,0 tot 20,66
2020-08-22,20 tot 40,251
2020-08-22,40 tot 60,127
2020-08-22,60 tot 80,55
2020-08-22,80+,9
2020-08-23,0 tot 20,57
2020-08-23,20 tot 40,225
2020-08-23,40 tot 60,120
2020-08-23,60 tot 80,45
2020-08-23,80+,10
2020-08-24,0 tot 20,91
2020-08-24,20 tot 40,292
2020-08-24,40 tot 60,140
2020-08-24,60 tot 80,40
2020-08-24,80+,11
2020-08-25,0 tot 20,56
2020-08-25,20 tot 40,208
2020-08-25,40 tot 60,103
2020-08-25,60 tot 80,36
2020-08-25,80+,12
2020-08-26,0 tot 20,77
2020-08-26,20 tot 40,282
2020-08-26,40 tot 60,148
2020-08-26,60 tot 80,55
2020-08-26,80+,9
2020-08-27,0 tot 20,56
2020-08-27,20 tot 40,272
2020-08-27,40 tot 60,124
2020-08-27,60 tot 80,46
2020-08-27,80+,11
2020-08-30,0 tot 20,58
2020-08-30,20 tot 40,277
2020-08-30,40 tot 60,127
2020-08-30,60 tot 80,41
2020-08-30,80+,5
