Datum,Type,Aantal,NieuwAantal
2020-02-27,Besmette verpleeghuizen,0,0
2020-02-28,Besmette verpleeghuizen,13,2
2020-02-29,Besmette verpleeghuizen,13,1
2020-03-01,Besmette verpleeghuizen,17,4
2020-03-02,Besmette verpleeghuizen,23,6
2020-03-03,Besmette verpleeghuizen,26,3
2020-03-04,Besmette verpleeghuizen,32,6
2020-03-05,Besmette verpleeghuizen,37,5
2020-03-06,Besmette verpleeghuizen,43,6
2020-03-07,Besmette verpleeghuizen,51,8
2020-03-08,Besmette verpleeghuizen,59,8
2020-03-09,Besmette verpleeghuizen,70,11
2020-03-10,Besmette verpleeghuizen,78,8
2020-03-11,Besmette verpleeghuizen,94,16
2020-03-12,Besmette verpleeghuizen,115,21
2020-03-13,Besmette verpleeghuizen,138,23
2020-03-14,Besmette verpleeghuizen,153,15
2020-03-15,Besmette verpleeghuizen,177,24
2020-03-16,Besmette verpleeghuizen,214,37
2020-03-17,Besmette verpleeghuizen,246,33
2020-03-18,Besmette verpleeghuizen,286,40
2020-03-19,Besmette verpleeghuizen,322,36
2020-03-20,Besmette verpleeghuizen,360,38
2020-03-21,Besmette verpleeghuizen,392,32
2020-03-22,Besmette verpleeghuizen,423,31
2020-03-23,Besmette verpleeghuizen,461,38
2020-03-24,Besmette verpleeghuizen,501,40
2020-03-25,Besmette verpleeghuizen,537,36
2020-03-26,Besmette verpleeghuizen,562,26
2020-03-27,Besmette verpleeghuizen,593,31
2020-03-28,Besmette verpleeghuizen,619,27
2020-03-29,Besmette verpleeghuizen,637,18
2020-03-30,Besmette verpleeghuizen,665,30
2020-03-31,Besmette verpleeghuizen,684,20
2020-04-01,Besmette verpleeghuizen,700,18
2020-04-02,Besmette verpleeghuizen,715,16
2020-04-03,Besmette verpleeghuizen,738,24
2020-04-04,Besmette verpleeghuizen,757,21
2020-04-05,Besmette verpleeghuizen,775,20
2020-04-06,Besmette verpleeghuizen,792,18
2020-04-07,Besmette verpleeghuizen,802,13
2020-04-08,Besmette verpleeghuizen,809,10
2020-04-09,Besmette verpleeghuizen,812,6
2020-04-10,Besmette verpleeghuizen,827,19
2020-04-11,Besmette verpleeghuizen,828,9
2020-04-12,Besmette verpleeghuizen,838,15
2020-04-13,Besmette verpleeghuizen,843,10
2020-04-14,Besmette verpleeghuizen,840,5
2020-04-15,Besmette verpleeghuizen,844,7
2020-04-16,Besmette verpleeghuizen,840,9
2020-04-17,Besmette verpleeghuizen,839,8
2020-04-18,Besmette verpleeghuizen,835,7
2020-04-19,Besmette verpleeghuizen,823,2
2020-04-20,Besmette verpleeghuizen,821,5
2020-04-21,Besmette verpleeghuizen,814,8
2020-04-22,Besmette verpleeghuizen,796,5
2020-04-23,Besmette verpleeghuizen,780,1
2020-04-24,Besmette verpleeghuizen,773,3
2020-04-25,Besmette verpleeghuizen,763,8
2020-04-26,Besmette verpleeghuizen,751,3
2020-04-27,Besmette verpleeghuizen,736,3
2020-04-28,Besmette verpleeghuizen,721,6
2020-04-29,Besmette verpleeghuizen,704,1
2020-04-30,Besmette verpleeghuizen,687,3
2020-05-01,Besmette verpleeghuizen,673,4
2020-05-02,Besmette verpleeghuizen,651,2
2020-05-03,Besmette verpleeghuizen,632,2
2020-05-04,Besmette verpleeghuizen,619,2
2020-05-05,Besmette verpleeghuizen,598,3
2020-05-06,Besmette verpleeghuizen,584,3
2020-05-07,Besmette verpleeghuizen,567,5
2020-05-08,Besmette verpleeghuizen,555,6
2020-05-09,Besmette verpleeghuizen,535,4
2020-05-10,Besmette verpleeghuizen,519,0
2020-05-11,Besmette verpleeghuizen,507,6
2020-05-12,Besmette verpleeghuizen,488,1
2020-05-13,Besmette verpleeghuizen,468,1
2020-05-14,Besmette verpleeghuizen,446,1
2020-05-15,Besmette verpleeghuizen,427,4
2020-05-16,Besmette verpleeghuizen,414,2
2020-05-17,Besmette verpleeghuizen,389,3
2020-05-18,Besmette verpleeghuizen,376,1
2020-05-19,Besmette verpleeghuizen,363,0
2020-05-20,Besmette verpleeghuizen,346,1
2020-05-21,Besmette verpleeghuizen,328,1
2020-05-22,Besmette verpleeghuizen,309,1
2020-05-23,Besmette verpleeghuizen,285,1
2020-05-24,Besmette verpleeghuizen,273,1
2020-05-25,Besmette verpleeghuizen,258,1
2020-05-26,Besmette verpleeghuizen,248,0
2020-05-27,Besmette verpleeghuizen,237,2
2020-05-28,Besmette verpleeghuizen,223,1
2020-05-29,Besmette verpleeghuizen,206,1
2020-05-30,Besmette verpleeghuizen,192,0
