Datum,Type,Aantal,Installaties
2020-09-07,Virusdeeltjes per ml rioolwater,47.3,236
2020-09-14,Virusdeeltjes per ml rioolwater,73.04,270
2020-09-21,Virusdeeltjes per ml rioolwater,120.93,299
2020-09-28,Virusdeeltjes per ml rioolwater,330.3,274
2020-10-05,Virusdeeltjes per ml rioolwater,469.01,275
2020-10-12,Virusdeeltjes per ml rioolwater,331.26,266
2020-10-19,Virusdeeltjes per ml rioolwater,572.32,252
2020-10-26,Virusdeeltjes per ml rioolwater,687.58,257
2020-11-02,Virusdeeltjes per ml rioolwater,355.69,265
2020-11-09,Virusdeeltjes per ml rioolwater,550.57,259
