Datum,Type,Aantal
2020-03-08,Verdachte patienten,1094
2020-03-15,Verdachte patienten,3093
2020-03-22,Verdachte patienten,14571
2020-03-29,Verdachte patienten,20753
2020-04-05,Verdachte patienten,17842
2020-04-12,Verdachte patienten,14257
2020-04-19,Verdachte patienten,8957
2020-04-26,Verdachte patienten,7408
2020-05-03,Verdachte patienten,4160
2020-05-10,Verdachte patienten,3836
2020-05-17,Verdachte patienten,4434
2020-05-24,Verdachte patienten,3009
2020-05-31,Verdachte patienten,3425
2020-06-07,Verdachte patienten,2401
2020-06-14,Verdachte patienten,2681
2020-06-21,Verdachte patienten,2794
2020-06-28,Verdachte patienten,2411
2020-07-05,Verdachte patienten,2033
2020-07-12,Verdachte patienten,1777
2020-07-19,Verdachte patienten,2114
2020-07-26,Verdachte patienten,2224
2020-08-02,Verdachte patienten,2033
