Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-03-23,RIVM_report_20200323,0-4,Totaal,,14
2020-03-23,RIVM_report_20200323,5-9,Totaal,,6
2020-03-23,RIVM_report_20200323,10-14,Totaal,,27
2020-03-23,RIVM_report_20200323,15-19,Totaal,,37
2020-03-23,RIVM_report_20200323,20-24,Totaal,,90
2020-03-23,RIVM_report_20200323,25-29,Totaal,,250
2020-03-23,RIVM_report_20200323,30-34,Totaal,,267
2020-03-23,RIVM_report_20200323,35-39,Totaal,,227
2020-03-23,RIVM_report_20200323,40-44,Totaal,,209
2020-03-23,RIVM_report_20200323,45-49,Totaal,,370
2020-03-23,RIVM_report_20200323,50-54,Totaal,,383
2020-03-23,RIVM_report_20200323,55-59,Totaal,,449
2020-03-23,RIVM_report_20200323,60-64,Totaal,,367
2020-03-23,RIVM_report_20200323,65-69,Totaal,,353
2020-03-23,RIVM_report_20200323,70-74,Totaal,,403
2020-03-23,RIVM_report_20200323,75-79,Totaal,,413
2020-03-23,RIVM_report_20200323,80-84,Totaal,,409
2020-03-23,RIVM_report_20200323,85-89,Totaal,,288
2020-03-23,RIVM_report_20200323,90-94,Totaal,,127
2020-03-23,RIVM_report_20200323,95+,Totaal,,37
2020-03-23,RIVM_report_20200323,Niet vermeld,Totaal,,23
2020-03-23,RIVM_report_20200323,0-4,Ziekenhuisopname,,8
2020-03-23,RIVM_report_20200323,5-9,Ziekenhuisopname,,1
2020-03-23,RIVM_report_20200323,10-14,Ziekenhuisopname,,2
2020-03-23,RIVM_report_20200323,15-19,Ziekenhuisopname,,2
2020-03-23,RIVM_report_20200323,20-24,Ziekenhuisopname,,3
2020-03-23,RIVM_report_20200323,25-29,Ziekenhuisopname,,16
2020-03-23,RIVM_report_20200323,30-34,Ziekenhuisopname,,16
2020-03-23,RIVM_report_20200323,35-39,Ziekenhuisopname,,14
2020-03-23,RIVM_report_20200323,40-44,Ziekenhuisopname,,13
2020-03-23,RIVM_report_20200323,45-49,Ziekenhuisopname,,60
2020-03-23,RIVM_report_20200323,50-54,Ziekenhuisopname,,73
2020-03-23,RIVM_report_20200323,55-59,Ziekenhuisopname,,90
2020-03-23,RIVM_report_20200323,60-64,Ziekenhuisopname,,106
2020-03-23,RIVM_report_20200323,65-69,Ziekenhuisopname,,152
2020-03-23,RIVM_report_20200323,70-74,Ziekenhuisopname,,168
2020-03-23,RIVM_report_20200323,75-79,Ziekenhuisopname,,191
2020-03-23,RIVM_report_20200323,80-84,Ziekenhuisopname,,161
2020-03-23,RIVM_report_20200323,85-89,Ziekenhuisopname,,110
2020-03-23,RIVM_report_20200323,90-94,Ziekenhuisopname,,36
2020-03-23,RIVM_report_20200323,95+,Ziekenhuisopname,,5
2020-03-23,RIVM_report_20200323,Niet vermeld,Ziekenhuisopname,,3
2020-03-23,RIVM_report_20200323,0-4,Overleden,,0
2020-03-23,RIVM_report_20200323,5-9,Overleden,,0
2020-03-23,RIVM_report_20200323,10-14,Overleden,,0
2020-03-23,RIVM_report_20200323,15-19,Overleden,,0
2020-03-23,RIVM_report_20200323,20-24,Overleden,,0
2020-03-23,RIVM_report_20200323,25-29,Overleden,,0
2020-03-23,RIVM_report_20200323,30-34,Overleden,,0
2020-03-23,RIVM_report_20200323,35-39,Overleden,,0
2020-03-23,RIVM_report_20200323,40-44,Overleden,,0
2020-03-23,RIVM_report_20200323,45-49,Overleden,,0
2020-03-23,RIVM_report_20200323,50-54,Overleden,,0
2020-03-23,RIVM_report_20200323,55-59,Overleden,,1
2020-03-23,RIVM_report_20200323,60-64,Overleden,,5
2020-03-23,RIVM_report_20200323,65-69,Overleden,,15
2020-03-23,RIVM_report_20200323,70-74,Overleden,,20
2020-03-23,RIVM_report_20200323,75-79,Overleden,,37
2020-03-23,RIVM_report_20200323,80-84,Overleden,,66
2020-03-23,RIVM_report_20200323,85-89,Overleden,,49
2020-03-23,RIVM_report_20200323,90-94,Overleden,,14
2020-03-23,RIVM_report_20200323,95+,Overleden,,5
2020-03-23,RIVM_report_20200323,Niet vermeld,Overleden,,1
2020-03-24,RIVM_report_20200324,0-4,Totaal,6,20
2020-03-24,RIVM_report_20200324,5-9,Totaal,0,6
2020-03-24,RIVM_report_20200324,10-14,Totaal,1,28
2020-03-24,RIVM_report_20200324,15-19,Totaal,3,40
2020-03-24,RIVM_report_20200324,20-24,Totaal,16,106
2020-03-24,RIVM_report_20200324,25-29,Totaal,35,285
2020-03-24,RIVM_report_20200324,30-34,Totaal,27,294
2020-03-24,RIVM_report_20200324,35-39,Totaal,31,258
2020-03-24,RIVM_report_20200324,40-44,Totaal,35,244
2020-03-24,RIVM_report_20200324,45-49,Totaal,41,411
2020-03-24,RIVM_report_20200324,50-54,Totaal,66,449
2020-03-24,RIVM_report_20200324,55-59,Totaal,70,519
2020-03-24,RIVM_report_20200324,60-64,Totaal,53,420
2020-03-24,RIVM_report_20200324,65-69,Totaal,73,426
2020-03-24,RIVM_report_20200324,70-74,Totaal,73,476
2020-03-24,RIVM_report_20200324,75-79,Totaal,97,510
2020-03-24,RIVM_report_20200324,80-84,Totaal,75,484
2020-03-24,RIVM_report_20200324,85-89,Totaal,75,363
2020-03-24,RIVM_report_20200324,90-94,Totaal,27,154
2020-03-24,RIVM_report_20200324,95+,Totaal,5,42
2020-03-24,RIVM_report_20200324,Niet vermeld,Totaal,2,25
2020-03-24,RIVM_report_20200324,0-4,Ziekenhuisopname,2,10
2020-03-24,RIVM_report_20200324,5-9,Ziekenhuisopname,0,1
2020-03-24,RIVM_report_20200324,10-14,Ziekenhuisopname,1,3
2020-03-24,RIVM_report_20200324,15-19,Ziekenhuisopname,0,2
2020-03-24,RIVM_report_20200324,20-24,Ziekenhuisopname,1,4
2020-03-24,RIVM_report_20200324,25-29,Ziekenhuisopname,5,21
2020-03-24,RIVM_report_20200324,30-34,Ziekenhuisopname,6,22
2020-03-24,RIVM_report_20200324,35-39,Ziekenhuisopname,3,17
2020-03-24,RIVM_report_20200324,40-44,Ziekenhuisopname,7,20
2020-03-24,RIVM_report_20200324,45-49,Ziekenhuisopname,11,71
2020-03-24,RIVM_report_20200324,50-54,Ziekenhuisopname,20,93
2020-03-24,RIVM_report_20200324,55-59,Ziekenhuisopname,21,111
2020-03-24,RIVM_report_20200324,60-64,Ziekenhuisopname,18,124
2020-03-24,RIVM_report_20200324,65-69,Ziekenhuisopname,34,186
2020-03-24,RIVM_report_20200324,70-74,Ziekenhuisopname,37,205
2020-03-24,RIVM_report_20200324,75-79,Ziekenhuisopname,36,227
2020-03-24,RIVM_report_20200324,80-84,Ziekenhuisopname,31,192
2020-03-24,RIVM_report_20200324,85-89,Ziekenhuisopname,27,137
2020-03-24,RIVM_report_20200324,90-94,Ziekenhuisopname,5,41
2020-03-24,RIVM_report_20200324,95+,Ziekenhuisopname,0,5
2020-03-24,RIVM_report_20200324,Niet vermeld,Ziekenhuisopname,0,3
2020-03-24,RIVM_report_20200324,0-4,Overleden,0,0
2020-03-24,RIVM_report_20200324,5-9,Overleden,0,0
2020-03-24,RIVM_report_20200324,10-14,Overleden,0,0
2020-03-24,RIVM_report_20200324,15-19,Overleden,0,0
2020-03-24,RIVM_report_20200324,20-24,Overleden,0,0
2020-03-24,RIVM_report_20200324,25-29,Overleden,0,0
2020-03-24,RIVM_report_20200324,30-34,Overleden,0,0
2020-03-24,RIVM_report_20200324,35-39,Overleden,0,0
2020-03-24,RIVM_report_20200324,40-44,Overleden,0,0
2020-03-24,RIVM_report_20200324,45-49,Overleden,0,0
2020-03-24,RIVM_report_20200324,50-54,Overleden,0,0
2020-03-24,RIVM_report_20200324,55-59,Overleden,1,2
2020-03-24,RIVM_report_20200324,60-64,Overleden,1,6
2020-03-24,RIVM_report_20200324,65-69,Overleden,6,21
2020-03-24,RIVM_report_20200324,70-74,Overleden,6,26
2020-03-24,RIVM_report_20200324,75-79,Overleden,16,53
2020-03-24,RIVM_report_20200324,80-84,Overleden,17,83
2020-03-24,RIVM_report_20200324,85-89,Overleden,9,58
2020-03-24,RIVM_report_20200324,90-94,Overleden,6,20
2020-03-24,RIVM_report_20200324,95+,Overleden,1,6
2020-03-24,RIVM_report_20200324,Niet vermeld,Overleden,0,1
2020-03-25,RIVM_report_20200325,0-4,Totaal,4,24
2020-03-25,RIVM_report_20200325,5-9,Totaal,0,6
2020-03-25,RIVM_report_20200325,10-14,Totaal,2,30
2020-03-25,RIVM_report_20200325,15-19,Totaal,2,42
2020-03-25,RIVM_report_20200325,20-24,Totaal,13,119
2020-03-25,RIVM_report_20200325,25-29,Totaal,37,322
2020-03-25,RIVM_report_20200325,30-34,Totaal,36,330
2020-03-25,RIVM_report_20200325,35-39,Totaal,25,283
2020-03-25,RIVM_report_20200325,40-44,Totaal,38,282
2020-03-25,RIVM_report_20200325,45-49,Totaal,49,460
2020-03-25,RIVM_report_20200325,50-54,Totaal,80,529
2020-03-25,RIVM_report_20200325,55-59,Totaal,83,602
2020-03-25,RIVM_report_20200325,60-64,Totaal,67,487
2020-03-25,RIVM_report_20200325,65-69,Totaal,58,484
2020-03-25,RIVM_report_20200325,70-74,Totaal,86,562
2020-03-25,RIVM_report_20200325,75-79,Totaal,89,599
2020-03-25,RIVM_report_20200325,80-84,Totaal,90,574
2020-03-25,RIVM_report_20200325,85-89,Totaal,63,426
2020-03-25,RIVM_report_20200325,90-94,Totaal,21,175
2020-03-25,RIVM_report_20200325,95+,Totaal,11,53
2020-03-25,RIVM_report_20200325,Niet vermeld,Totaal,-2,23
2020-03-25,RIVM_report_20200325,0-4,Ziekenhuisopname,1,11
2020-03-25,RIVM_report_20200325,5-9,Ziekenhuisopname,0,1
2020-03-25,RIVM_report_20200325,10-14,Ziekenhuisopname,1,4
2020-03-25,RIVM_report_20200325,15-19,Ziekenhuisopname,2,4
2020-03-25,RIVM_report_20200325,20-24,Ziekenhuisopname,1,5
2020-03-25,RIVM_report_20200325,25-29,Ziekenhuisopname,2,23
2020-03-25,RIVM_report_20200325,30-34,Ziekenhuisopname,6,28
2020-03-25,RIVM_report_20200325,35-39,Ziekenhuisopname,3,20
2020-03-25,RIVM_report_20200325,40-44,Ziekenhuisopname,7,27
2020-03-25,RIVM_report_20200325,45-49,Ziekenhuisopname,16,87
2020-03-25,RIVM_report_20200325,50-54,Ziekenhuisopname,22,115
2020-03-25,RIVM_report_20200325,55-59,Ziekenhuisopname,20,131
2020-03-25,RIVM_report_20200325,60-64,Ziekenhuisopname,33,157
2020-03-25,RIVM_report_20200325,65-69,Ziekenhuisopname,40,226
2020-03-25,RIVM_report_20200325,70-74,Ziekenhuisopname,60,265
2020-03-25,RIVM_report_20200325,75-79,Ziekenhuisopname,48,275
2020-03-25,RIVM_report_20200325,80-84,Ziekenhuisopname,41,233
2020-03-25,RIVM_report_20200325,85-89,Ziekenhuisopname,30,167
2020-03-25,RIVM_report_20200325,90-94,Ziekenhuisopname,6,47
2020-03-25,RIVM_report_20200325,95+,Ziekenhuisopname,1,6
2020-03-25,RIVM_report_20200325,Niet vermeld,Ziekenhuisopname,1,4
2020-03-25,RIVM_report_20200325,0-4,Overleden,0,0
2020-03-25,RIVM_report_20200325,5-9,Overleden,0,0
2020-03-25,RIVM_report_20200325,10-14,Overleden,0,0
2020-03-25,RIVM_report_20200325,15-19,Overleden,0,0
2020-03-25,RIVM_report_20200325,20-24,Overleden,0,0
2020-03-25,RIVM_report_20200325,25-29,Overleden,0,0
2020-03-25,RIVM_report_20200325,30-34,Overleden,0,0
2020-03-25,RIVM_report_20200325,35-39,Overleden,0,0
2020-03-25,RIVM_report_20200325,40-44,Overleden,0,0
2020-03-25,RIVM_report_20200325,45-49,Overleden,0,0
2020-03-25,RIVM_report_20200325,50-54,Overleden,2,2
2020-03-25,RIVM_report_20200325,55-59,Overleden,0,2
2020-03-25,RIVM_report_20200325,60-64,Overleden,1,7
2020-03-25,RIVM_report_20200325,65-69,Overleden,3,24
2020-03-25,RIVM_report_20200325,70-74,Overleden,7,33
2020-03-25,RIVM_report_20200325,75-79,Overleden,17,70
2020-03-25,RIVM_report_20200325,80-84,Overleden,22,105
2020-03-25,RIVM_report_20200325,85-89,Overleden,22,80
2020-03-25,RIVM_report_20200325,90-94,Overleden,3,23
2020-03-25,RIVM_report_20200325,95+,Overleden,3,9
