Datum,LeeftijdGroep,Type,AantalCumulatief
2020-03-26,0-4,Totaal,25
2020-03-26,5-9,Totaal,7
2020-03-26,10-14,Totaal,31
2020-03-26,15-19,Totaal,47
2020-03-26,20-24,Totaal,134
2020-03-26,25-29,Totaal,356
2020-03-26,30-34,Totaal,364
2020-03-26,35-39,Totaal,320
2020-03-26,40-44,Totaal,321
2020-03-26,45-49,Totaal,518
2020-03-26,50-54,Totaal,600
2020-03-26,55-59,Totaal,683
2020-03-26,60-64,Totaal,565
2020-03-26,65-69,Totaal,567
2020-03-26,70-74,Totaal,691
2020-03-26,75-79,Totaal,713
2020-03-26,80-84,Totaal,680
2020-03-26,85-89,Totaal,503
2020-03-26,90-94,Totaal,214
2020-03-26,95+,Totaal,64
2020-03-26,Niet vermeld,Totaal,28
2020-03-26,0-4,Ziekenhuisopname,12
2020-03-26,5-9,Ziekenhuisopname,1
2020-03-26,10-14,Ziekenhuisopname,4
2020-03-26,15-19,Ziekenhuisopname,5
2020-03-26,20-24,Ziekenhuisopname,5
2020-03-26,25-29,Ziekenhuisopname,23
2020-03-26,30-34,Ziekenhuisopname,30
2020-03-26,35-39,Ziekenhuisopname,21
2020-03-26,40-44,Ziekenhuisopname,34
2020-03-26,45-49,Ziekenhuisopname,103
2020-03-26,50-54,Ziekenhuisopname,138
2020-03-26,55-59,Ziekenhuisopname,159
2020-03-26,60-64,Ziekenhuisopname,183
2020-03-26,65-69,Ziekenhuisopname,266
2020-03-26,70-74,Ziekenhuisopname,315
2020-03-26,75-79,Ziekenhuisopname,331
2020-03-26,80-84,Ziekenhuisopname,268
2020-03-26,85-89,Ziekenhuisopname,189
2020-03-26,90-94,Ziekenhuisopname,51
2020-03-26,95+,Ziekenhuisopname,8
2020-03-26,Niet vermeld,Ziekenhuisopname,5
2020-03-26,0-4,Overleden,0
2020-03-26,5-9,Overleden,0
2020-03-26,10-14,Overleden,0
2020-03-26,15-19,Overleden,0
2020-03-26,20-24,Overleden,0
2020-03-26,25-29,Overleden,0
2020-03-26,30-34,Overleden,0
2020-03-26,35-39,Overleden,0
2020-03-26,40-44,Overleden,0
2020-03-26,45-49,Overleden,0
2020-03-26,50-54,Overleden,2
2020-03-26,55-59,Overleden,2
2020-03-26,60-64,Overleden,8
2020-03-26,65-69,Overleden,29
2020-03-26,70-74,Overleden,41
2020-03-26,75-79,Overleden,82
2020-03-26,80-84,Overleden,126
2020-03-26,85-89,Overleden,107
2020-03-26,90-94,Overleden,26
2020-03-26,95+,Overleden,10
2020-03-26,Niet vermeld,Overleden,1
