Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-05-25,RIVM_report_20200525,0-4,Totaal,1,89.0
2020-05-25,RIVM_report_20200525,5-9,Totaal,1,30.0
2020-05-25,RIVM_report_20200525,10-14,Totaal,2,74.0
2020-05-25,RIVM_report_20200525,15-19,Totaal,11,492.0
2020-05-25,RIVM_report_20200525,20-24,Totaal,17,1904.0
2020-05-25,RIVM_report_20200525,25-29,Totaal,24,2340.0
2020-05-25,RIVM_report_20200525,30-34,Totaal,14,2157.0
2020-05-25,RIVM_report_20200525,35-39,Totaal,18,1862.0
2020-05-25,RIVM_report_20200525,40-44,Totaal,19,2130.0
2020-05-25,RIVM_report_20200525,45-49,Totaal,28,3084.0
2020-05-25,RIVM_report_20200525,50-54,Totaal,18,3967.0
2020-05-25,RIVM_report_20200525,55-59,Totaal,10,4377.0
2020-05-25,RIVM_report_20200525,60-64,Totaal,9,3575.0
2020-05-25,RIVM_report_20200525,65-69,Totaal,9,2320.0
2020-05-25,RIVM_report_20200525,70-74,Totaal,6,2887.0
2020-05-25,RIVM_report_20200525,75-79,Totaal,7,3307.0
2020-05-25,RIVM_report_20200525,80-84,Totaal,5,3798.0
2020-05-25,RIVM_report_20200525,85-89,Totaal,6,3898.0
2020-05-25,RIVM_report_20200525,90-94,Totaal,3,2370.0
2020-05-25,RIVM_report_20200525,95+,Totaal,1,781.0
2020-05-25,RIVM_report_20200525,Niet vermeld,Totaal,0,3.0
2020-05-25,RIVM_report_20200525,0-4,Ziekenhuisopname,0,45.0
2020-05-25,RIVM_report_20200525,5-9,Ziekenhuisopname,0,2.0
2020-05-25,RIVM_report_20200525,10-14,Ziekenhuisopname,0,8.0
2020-05-25,RIVM_report_20200525,15-19,Ziekenhuisopname,0,29.0
2020-05-25,RIVM_report_20200525,20-24,Ziekenhuisopname,0,59.0
2020-05-25,RIVM_report_20200525,25-29,Ziekenhuisopname,0,110.0
2020-05-25,RIVM_report_20200525,30-34,Ziekenhuisopname,0,155.0
2020-05-25,RIVM_report_20200525,35-39,Ziekenhuisopname,0,193.0
2020-05-25,RIVM_report_20200525,40-44,Ziekenhuisopname,0,280.0
2020-05-25,RIVM_report_20200525,45-49,Ziekenhuisopname,0,579.0
2020-05-25,RIVM_report_20200525,50-54,Ziekenhuisopname,1,849.0
2020-05-25,RIVM_report_20200525,55-59,Ziekenhuisopname,0,1132.0
2020-05-25,RIVM_report_20200525,60-64,Ziekenhuisopname,3,1286.0
2020-05-25,RIVM_report_20200525,65-69,Ziekenhuisopname,2,1336.0
2020-05-25,RIVM_report_20200525,70-74,Ziekenhuisopname,0,1684.0
2020-05-25,RIVM_report_20200525,75-79,Ziekenhuisopname,-1,1612.0
2020-05-25,RIVM_report_20200525,80-84,Ziekenhuisopname,2,1231.0
2020-05-25,RIVM_report_20200525,85-89,Ziekenhuisopname,1,799.0
2020-05-25,RIVM_report_20200525,90-94,Ziekenhuisopname,0,248.0
2020-05-25,RIVM_report_20200525,95+,Ziekenhuisopname,0,43.0
2020-05-25,RIVM_report_20200525,Niet vermeld,Ziekenhuisopname,0,0.0
2020-05-25,RIVM_report_20200525,0-4,Overleden,0,0.0
2020-05-25,RIVM_report_20200525,5-9,Overleden,0,0.0
2020-05-25,RIVM_report_20200525,10-14,Overleden,0,0.0
2020-05-25,RIVM_report_20200525,15-19,Overleden,0,1.0
2020-05-25,RIVM_report_20200525,20-24,Overleden,0,0.0
2020-05-25,RIVM_report_20200525,25-29,Overleden,0,3.0
2020-05-25,RIVM_report_20200525,30-34,Overleden,0,3.0
2020-05-25,RIVM_report_20200525,35-39,Overleden,0,7.0
2020-05-25,RIVM_report_20200525,40-44,Overleden,0,5.0
2020-05-25,RIVM_report_20200525,45-49,Overleden,0,23.0
2020-05-25,RIVM_report_20200525,50-54,Overleden,0,44.0
2020-05-25,RIVM_report_20200525,55-59,Overleden,0,96.0
2020-05-25,RIVM_report_20200525,60-64,Overleden,0,158.0
2020-05-25,RIVM_report_20200525,65-69,Overleden,1,320.0
2020-05-25,RIVM_report_20200525,70-74,Overleden,0,606.0
2020-05-25,RIVM_report_20200525,75-79,Overleden,1,974.0
2020-05-25,RIVM_report_20200525,80-84,Overleden,2,1219.0
2020-05-25,RIVM_report_20200525,85-89,Overleden,2,1301.0
2020-05-25,RIVM_report_20200525,90-94,Overleden,2,782.0
2020-05-25,RIVM_report_20200525,95+,Overleden,0,288.0
2020-05-25,RIVM_report_20200525,Niet vermeld,Overleden,0,0.0
