Datum,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-07-21,0-4,Totaal,,160
2020-07-21,5-9,Totaal,,126
2020-07-21,10-14,Totaal,,272
2020-07-21,15-19,Totaal,,873
2020-07-21,20-24,Totaal,,2526
2020-07-21,25-29,Totaal,,3042
2020-07-21,30-34,Totaal,,2784
2020-07-21,35-39,Totaal,,2404
2020-07-21,40-44,Totaal,,2643
2020-07-21,45-49,Totaal,,3648
2020-07-21,50-54,Totaal,,4553
2020-07-21,55-59,Totaal,,4875
2020-07-21,60-64,Totaal,,3957
2020-07-21,65-69,Totaal,,2509
2020-07-21,70-74,Totaal,,3041
2020-07-21,75-79,Totaal,,3443
2020-07-21,80-84,Totaal,,3927
2020-07-21,85-89,Totaal,,4027
2020-07-21,90-94,Totaal,,2454
2020-07-21,95+,Totaal,,804
2020-07-21,Niet vermeld,Totaal,,5
2020-07-21,0-4,Ziekenhuisopname,,51
2020-07-21,5-9,Ziekenhuisopname,,3
2020-07-21,10-14,Ziekenhuisopname,,8
2020-07-21,15-19,Ziekenhuisopname,,32
2020-07-21,20-24,Ziekenhuisopname,,64
2020-07-21,25-29,Ziekenhuisopname,,118
2020-07-21,30-34,Ziekenhuisopname,,161
2020-07-21,35-39,Ziekenhuisopname,,198
2020-07-21,40-44,Ziekenhuisopname,,289
2020-07-21,45-49,Ziekenhuisopname,,598
2020-07-21,50-54,Ziekenhuisopname,,868
2020-07-21,55-59,Ziekenhuisopname,,1164
2020-07-21,60-64,Ziekenhuisopname,,1307
2020-07-21,65-69,Ziekenhuisopname,,1352
2020-07-21,70-74,Ziekenhuisopname,,1705
2020-07-21,75-79,Ziekenhuisopname,,1636
2020-07-21,80-84,Ziekenhuisopname,,1243
2020-07-21,85-89,Ziekenhuisopname,,806
2020-07-21,90-94,Ziekenhuisopname,,254
2020-07-21,95+,Ziekenhuisopname,,45
2020-07-21,Niet vermeld,Ziekenhuisopname,,0
2020-07-21,0-4,Overleden,,0
2020-07-21,5-9,Overleden,,0
2020-07-21,10-14,Overleden,,0
2020-07-21,15-19,Overleden,,1
2020-07-21,20-24,Overleden,,0
2020-07-21,25-29,Overleden,,3
2020-07-21,30-34,Overleden,,4
2020-07-21,35-39,Overleden,,7
2020-07-21,40-44,Overleden,,7
2020-07-21,45-49,Overleden,,24
2020-07-21,50-54,Overleden,,47
2020-07-21,55-59,Overleden,,99
2020-07-21,60-64,Overleden,,163
2020-07-21,65-69,Overleden,,338
2020-07-21,70-74,Overleden,,629
2020-07-21,75-79,Overleden,,1006
2020-07-21,80-84,Overleden,,1271
2020-07-21,85-89,Overleden,,1388
2020-07-21,90-94,Overleden,,838
2020-07-21,95+,Overleden,,311
2020-07-21,Niet vermeld,Overleden,,0
