Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-12-01,RIVM_report_20201201,0-4,Totaal,,911
2020-12-01,RIVM_report_20201201,5-9,Totaal,,3152
2020-12-01,RIVM_report_20201201,10-14,Totaal,,17694
2020-12-01,RIVM_report_20201201,15-19,Totaal,,42720
2020-12-01,RIVM_report_20201201,20-24,Totaal,,54170
2020-12-01,RIVM_report_20201201,25-29,Totaal,,46714
2020-12-01,RIVM_report_20201201,30-34,Totaal,,40426
2020-12-01,RIVM_report_20201201,35-39,Totaal,,36072
2020-12-01,RIVM_report_20201201,40-44,Totaal,,36368
2020-12-01,RIVM_report_20201201,45-49,Totaal,,43179
2020-12-01,RIVM_report_20201201,50-54,Totaal,,48367
2020-12-01,RIVM_report_20201201,55-59,Totaal,,42687
2020-12-01,RIVM_report_20201201,60-64,Totaal,,31869
2020-12-01,RIVM_report_20201201,65-69,Totaal,,20107
2020-12-01,RIVM_report_20201201,70-74,Totaal,,17626
2020-12-01,RIVM_report_20201201,75-79,Totaal,,13765
2020-12-01,RIVM_report_20201201,80-84,Totaal,,12634
2020-12-01,RIVM_report_20201201,85-89,Totaal,,10788
2020-12-01,RIVM_report_20201201,90-94,Totaal,,6194
2020-12-01,RIVM_report_20201201,95+,Totaal,,2019
2020-12-01,RIVM_report_20201201,Niet vermeld,Totaal,,61
2020-12-01,RIVM_report_20201201,0-4,Overleden,,0
2020-12-01,RIVM_report_20201201,5-9,Overleden,,0
2020-12-01,RIVM_report_20201201,10-14,Overleden,,0
2020-12-01,RIVM_report_20201201,15-19,Overleden,,2
2020-12-01,RIVM_report_20201201,20-24,Overleden,,0
2020-12-01,RIVM_report_20201201,25-29,Overleden,,3
2020-12-01,RIVM_report_20201201,30-34,Overleden,,5
2020-12-01,RIVM_report_20201201,35-39,Overleden,,13
2020-12-01,RIVM_report_20201201,40-44,Overleden,,11
2020-12-01,RIVM_report_20201201,45-49,Overleden,,38
2020-12-01,RIVM_report_20201201,50-54,Overleden,,70
2020-12-01,RIVM_report_20201201,55-59,Overleden,,130
2020-12-01,RIVM_report_20201201,60-64,Overleden,,234
2020-12-01,RIVM_report_20201201,65-69,Overleden,,467
2020-12-01,RIVM_report_20201201,70-74,Overleden,,896
2020-12-01,RIVM_report_20201201,75-79,Overleden,,1488
2020-12-01,RIVM_report_20201201,80-84,Overleden,,1992
2020-12-01,RIVM_report_20201201,85-89,Overleden,,2221
2020-12-01,RIVM_report_20201201,90-94,Overleden,,1357
2020-12-01,RIVM_report_20201201,95+,Overleden,,511
2020-12-01,RIVM_report_20201201,Niet vermeld,Overleden,,0
