Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-23,0-4,Vrouw,,0
2020-04-23,5-9,Vrouw,,0
2020-04-23,10-14,Vrouw,,0
2020-04-23,15-19,Vrouw,,0
2020-04-23,20-24,Vrouw,,0
2020-04-23,25-29,Vrouw,,0
2020-04-23,30-34,Vrouw,,1
2020-04-23,35-39,Vrouw,,1
2020-04-23,40-44,Vrouw,,0
2020-04-23,45-49,Vrouw,,10
2020-04-23,50-54,Vrouw,,14
2020-04-23,55-59,Vrouw,,16
2020-04-23,60-64,Vrouw,,37
2020-04-23,65-69,Vrouw,,81
2020-04-23,70-74,Vrouw,,171
2020-04-23,75-79,Vrouw,,243
2020-04-23,80-84,Vrouw,,361
2020-04-23,85-89,Vrouw,,403
2020-04-23,90-94,Vrouw,,301
2020-04-23,95+,Vrouw,,121
2020-04-23,0-4,Man,,0
2020-04-23,5-9,Man,,0
2020-04-23,10-14,Man,,0
2020-04-23,15-19,Man,,1
2020-04-23,20-24,Man,,0
2020-04-23,25-29,Man,,3
2020-04-23,30-34,Man,,2
2020-04-23,35-39,Man,,4
2020-04-23,40-44,Man,,4
2020-04-23,45-49,Man,,4
2020-04-23,50-54,Man,,18
2020-04-23,55-59,Man,,48
2020-04-23,60-64,Man,,81
2020-04-23,65-69,Man,,161
2020-04-23,70-74,Man,,289
2020-04-23,75-79,Man,,508
2020-04-23,80-84,Man,,535
2020-04-23,85-89,Man,,499
2020-04-23,90-94,Man,,207
2020-04-23,95+,Man,,52
2020-04-22,0-4,Vrouw,0,0
2020-04-22,5-9,Vrouw,0,0
2020-04-22,10-14,Vrouw,0,0
2020-04-22,15-19,Vrouw,0,0
2020-04-22,20-24,Vrouw,0,0
2020-04-22,25-29,Vrouw,0,0
2020-04-22,30-34,Vrouw,0,1
2020-04-22,35-39,Vrouw,0,1
2020-04-22,40-44,Vrouw,0,0
2020-04-22,45-49,Vrouw,0,10
2020-04-22,50-54,Vrouw,-1,13
2020-04-22,55-59,Vrouw,0,16
2020-04-22,60-64,Vrouw,-1,36
2020-04-22,65-69,Vrouw,-2,79
2020-04-22,70-74,Vrouw,-7,164
2020-04-22,75-79,Vrouw,-3,240
2020-04-22,80-84,Vrouw,-11,350
2020-04-22,85-89,Vrouw,-26,377
2020-04-22,90-94,Vrouw,-15,286
2020-04-22,95+,Vrouw,-4,117
2020-04-22,0-4,Man,0,0
2020-04-22,5-9,Man,0,0
2020-04-22,10-14,Man,0,0
2020-04-22,15-19,Man,0,1
2020-04-22,20-24,Man,0,0
2020-04-22,25-29,Man,0,3
2020-04-22,30-34,Man,-1,1
2020-04-22,35-39,Man,-1,3
2020-04-22,40-44,Man,0,4
2020-04-22,45-49,Man,0,4
2020-04-22,50-54,Man,0,18
2020-04-22,55-59,Man,-1,47
2020-04-22,60-64,Man,-2,79
2020-04-22,65-69,Man,-2,159
2020-04-22,70-74,Man,-7,282
2020-04-22,75-79,Man,-8,500
2020-04-22,80-84,Man,-10,525
2020-04-22,85-89,Man,-10,489
2020-04-22,90-94,Man,-8,199
2020-04-22,95+,Man,-3,49
2020-04-20,0-4,Vrouw,0,0
2020-04-20,5-9,Vrouw,0,0
2020-04-20,10-14,Vrouw,0,0
2020-04-20,15-19,Vrouw,0,0
2020-04-20,20-24,Vrouw,0,0
2020-04-20,25-29,Vrouw,0,0
2020-04-20,30-34,Vrouw,0,1
2020-04-20,35-39,Vrouw,0,1
2020-04-20,40-44,Vrouw,0,0
2020-04-20,45-49,Vrouw,-4,6
2020-04-20,50-54,Vrouw,0,13
2020-04-20,55-59,Vrouw,0,16
2020-04-20,60-64,Vrouw,0,36
2020-04-20,65-69,Vrouw,-7,72
2020-04-20,70-74,Vrouw,-9,155
2020-04-20,75-79,Vrouw,-14,226
2020-04-20,80-84,Vrouw,-28,322
2020-04-20,85-89,Vrouw,-41,336
2020-04-20,90-94,Vrouw,-33,253
2020-04-20,95+,Vrouw,-11,106
2020-04-20,0-4,Man,0,0
2020-04-20,5-9,Man,0,0
2020-04-20,10-14,Man,0,0
2020-04-20,15-19,Man,0,1
2020-04-20,20-24,Man,0,0
2020-04-20,25-29,Man,0,3
2020-04-20,30-34,Man,0,1
2020-04-20,35-39,Man,0,3
2020-04-20,40-44,Man,0,4
2020-04-20,45-49,Man,-1,3
2020-04-20,50-54,Man,0,18
2020-04-20,55-59,Man,-4,43
2020-04-20,60-64,Man,-7,72
2020-04-20,65-69,Man,-5,154
2020-04-20,70-74,Man,-21,261
2020-04-20,75-79,Man,-30,470
2020-04-20,80-84,Man,-30,495
2020-04-20,85-89,Man,-26,463
2020-04-20,90-94,Man,-25,174
2020-04-20,95+,Man,-7,42
2020-04-08,0-4,Vrouw,0,0
2020-04-08,5-9,Vrouw,0,0
2020-04-08,10-14,Vrouw,0,0
2020-04-08,15-19,Vrouw,0,0
2020-04-08,20-24,Vrouw,0,0
2020-04-08,25-29,Vrouw,0,0
2020-04-08,30-34,Vrouw,0,1
2020-04-08,35-39,Vrouw,-1,0
2020-04-08,40-44,Vrouw,0,0
2020-04-08,45-49,Vrouw,-2,4
2020-04-08,50-54,Vrouw,-4,9
2020-04-08,55-59,Vrouw,-4,12
2020-04-08,60-64,Vrouw,-17,19
2020-04-08,65-69,Vrouw,-27,45
2020-04-08,70-74,Vrouw,-68,87
2020-04-08,75-79,Vrouw,-92,134
2020-04-08,80-84,Vrouw,-135,187
2020-04-08,85-89,Vrouw,-148,188
2020-04-08,90-94,Vrouw,-123,130
2020-04-08,95+,Vrouw,-58,48
2020-04-08,Niet vermeld,Vrouw,,1
2020-04-08,0-4,Man,0,0
2020-04-08,5-9,Man,0,0
2020-04-08,10-14,Man,0,0
2020-04-08,15-19,Man,-1,0
2020-04-08,20-24,Man,0,0
2020-04-08,25-29,Man,-2,1
2020-04-08,30-34,Man,-1,0
2020-04-08,35-39,Man,-2,1
2020-04-08,40-44,Man,-2,2
2020-04-08,45-49,Man,-1,2
2020-04-08,50-54,Man,-10,8
2020-04-08,55-59,Man,-20,23
2020-04-08,60-64,Man,-27,45
2020-04-08,65-69,Man,-57,97
2020-04-08,70-74,Man,-104,157
2020-04-08,75-79,Man,-170,300
2020-04-08,80-84,Man,-156,339
2020-04-08,85-89,Man,-169,294
2020-04-08,90-94,Man,-77,97
2020-04-08,95+,Man,-26,16
2020-04-08,Niet vermeld,Man,,1
2020-06-19,0-4,Vrouw,0,0
2020-06-19,5-9,Vrouw,0,0
2020-06-19,10-14,Vrouw,0,0
2020-06-19,15-19,Vrouw,0,0
2020-06-19,20-24,Vrouw,0,0
2020-06-19,25-29,Vrouw,0,0
2020-06-19,30-34,Vrouw,0,1
2020-06-19,35-39,Vrouw,2,2
2020-06-19,40-44,Vrouw,0,0
2020-06-19,45-49,Vrouw,10,14
