Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-21,0-4,Vrouw,0,0
2020-04-21,5-9,Vrouw,0,0
2020-04-21,10-14,Vrouw,0,0
2020-04-21,15-19,Vrouw,0,0
2020-04-21,20-24,Vrouw,0,0
2020-04-21,25-29,Vrouw,0,0
2020-04-21,30-34,Vrouw,0,1
2020-04-21,35-39,Vrouw,0,1
2020-04-21,40-44,Vrouw,0,0
2020-04-21,45-49,Vrouw,2,8
2020-04-21,50-54,Vrouw,0,13
2020-04-21,55-59,Vrouw,0,16
2020-04-21,60-64,Vrouw,-1,35
2020-04-21,65-69,Vrouw,2,74
2020-04-21,70-74,Vrouw,3,158
2020-04-21,75-79,Vrouw,9,235
2020-04-21,80-84,Vrouw,14,336
2020-04-21,85-89,Vrouw,19,355
2020-04-21,90-94,Vrouw,18,271
2020-04-21,95+,Vrouw,7,113
2020-04-21,0-4,Man,0,0
2020-04-21,5-9,Man,0,0
2020-04-21,10-14,Man,0,0
2020-04-21,15-19,Man,0,1
2020-04-21,20-24,Man,0,0
2020-04-21,25-29,Man,0,3
2020-04-21,30-34,Man,0,1
2020-04-21,35-39,Man,0,3
2020-04-21,40-44,Man,0,4
2020-04-21,45-49,Man,0,3
2020-04-21,50-54,Man,0,18
2020-04-21,55-59,Man,2,45
2020-04-21,60-64,Man,4,76
2020-04-21,65-69,Man,4,158
2020-04-21,70-74,Man,13,274
2020-04-21,75-79,Man,15,485
2020-04-21,80-84,Man,20,515
2020-04-21,85-89,Man,14,477
2020-04-21,90-94,Man,15,189
2020-04-21,95+,Man,5,47
