Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-24,0-4,Vrouw,0,0
2020-05-24,5-9,Vrouw,0,0
2020-05-24,10-14,Vrouw,0,0
2020-05-24,15-19,Vrouw,0,0
2020-05-24,20-24,Vrouw,0,0
2020-05-24,25-29,Vrouw,0,0
2020-05-24,30-34,Vrouw,0,1
2020-05-24,35-39,Vrouw,0,2
2020-05-24,40-44,Vrouw,0,0
2020-05-24,45-49,Vrouw,0,14
2020-05-24,50-54,Vrouw,0,19
2020-05-24,55-59,Vrouw,1,24
2020-05-24,60-64,Vrouw,0,50
2020-05-24,65-69,Vrouw,1,111
2020-05-24,70-74,Vrouw,1,235
2020-05-24,75-79,Vrouw,1,333
2020-05-24,80-84,Vrouw,1,503
2020-05-24,85-89,Vrouw,0,619
2020-05-24,90-94,Vrouw,2,475
2020-05-24,95+,Vrouw,0,215
2020-05-24,0-4,Man,0,0
2020-05-24,5-9,Man,0,0
2020-05-24,10-14,Man,0,0
2020-05-24,15-19,Man,0,1
2020-05-24,20-24,Man,0,0
2020-05-24,25-29,Man,0,3
2020-05-24,30-34,Man,0,2
2020-05-24,35-39,Man,0,5
2020-05-24,40-44,Man,0,5
2020-05-24,45-49,Man,0,9
2020-05-24,50-54,Man,0,25
2020-05-24,55-59,Man,0,72
2020-05-24,60-64,Man,1,108
2020-05-24,65-69,Man,0,208
2020-05-24,70-74,Man,0,371
2020-05-24,75-79,Man,1,640
2020-05-24,80-84,Man,1,714
2020-05-24,85-89,Man,1,680
2020-05-24,90-94,Man,0,305
2020-05-24,95+,Man,0,73
