Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-02-27,-1,,,-1,Totaal,0,0
2020-02-27,-1,,,-1,Ziekenhuisopname,,
2020-02-27,-1,,,-1,Overleden,,
2020-02-27,3,Appingedam,Groningen,20,Totaal,0,0
2020-02-27,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2020-02-27,3,Appingedam,Groningen,20,Overleden,,
2020-02-27,10,Delfzijl,Groningen,20,Totaal,0,0
2020-02-27,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2020-02-27,10,Delfzijl,Groningen,20,Overleden,,
2020-02-27,14,Groningen,Groningen,20,Totaal,0,0
2020-02-27,14,Groningen,Groningen,20,Ziekenhuisopname,,
2020-02-27,14,Groningen,Groningen,20,Overleden,,
2020-02-27,24,Loppersum,Groningen,20,Totaal,0,0
2020-02-27,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2020-02-27,24,Loppersum,Groningen,20,Overleden,,
2020-02-27,34,Almere,Flevoland,24,Totaal,0,0
2020-02-27,34,Almere,Flevoland,24,Ziekenhuisopname,,
2020-02-27,34,Almere,Flevoland,24,Overleden,,
2020-02-27,37,Stadskanaal,Groningen,20,Totaal,0,0
2020-02-27,37,Stadskanaal,Groningen,20,Ziekenhuisopname,,
2020-02-27,37,Stadskanaal,Groningen,20,Overleden,,
2020-02-27,47,Veendam,Groningen,20,Totaal,0,0
2020-02-27,47,Veendam,Groningen,20,Ziekenhuisopname,,
2020-02-27,47,Veendam,Groningen,20,Overleden,,
2020-02-27,50,Zeewolde,Flevoland,24,Totaal,0,0
2020-02-27,50,Zeewolde,Flevoland,24,Ziekenhuisopname,,
2020-02-27,50,Zeewolde,Flevoland,24,Overleden,,
2020-02-27,59,Achtkarspelen,Friesland,21,Totaal,0,0
2020-02-27,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,,
2020-02-27,59,Achtkarspelen,Friesland,21,Overleden,,
2020-02-27,60,Ameland,Friesland,21,Totaal,0,0
2020-02-27,60,Ameland,Friesland,21,Ziekenhuisopname,,
2020-02-27,60,Ameland,Friesland,21,Overleden,,
2020-02-27,72,Harlingen,Friesland,21,Totaal,0,0
2020-02-27,72,Harlingen,Friesland,21,Ziekenhuisopname,,
2020-02-27,72,Harlingen,Friesland,21,Overleden,,
2020-02-27,74,Heerenveen,Friesland,21,Totaal,0,0
2020-02-27,74,Heerenveen,Friesland,21,Ziekenhuisopname,,
2020-02-27,74,Heerenveen,Friesland,21,Overleden,,
2020-02-27,80,Leeuwarden,Friesland,21,Totaal,0,0
2020-02-27,80,Leeuwarden,Friesland,21,Ziekenhuisopname,,
2020-02-27,80,Leeuwarden,Friesland,21,Overleden,,
2020-02-27,85,Ooststellingwerf,Friesland,21,Totaal,0,0
2020-02-27,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,,
2020-02-27,85,Ooststellingwerf,Friesland,21,Overleden,,
2020-02-27,86,Opsterland,Friesland,21,Totaal,0,0
2020-02-27,86,Opsterland,Friesland,21,Ziekenhuisopname,,
2020-02-27,86,Opsterland,Friesland,21,Overleden,,
2020-02-27,88,Schiermonnikoog,Friesland,21,Totaal,0,0
2020-02-27,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,,
2020-02-27,88,Schiermonnikoog,Friesland,21,Overleden,,
2020-02-27,90,Smallingerland,Friesland,21,Totaal,0,0
2020-02-27,90,Smallingerland,Friesland,21,Ziekenhuisopname,,
2020-02-27,90,Smallingerland,Friesland,21,Overleden,,
2020-02-27,93,Terschelling,Friesland,21,Totaal,0,0
2020-02-27,93,Terschelling,Friesland,21,Ziekenhuisopname,,
2020-02-27,93,Terschelling,Friesland,21,Overleden,,
2020-02-27,96,Vlieland,Friesland,21,Totaal,0,0
2020-02-27,96,Vlieland,Friesland,21,Ziekenhuisopname,,
2020-02-27,96,Vlieland,Friesland,21,Overleden,,
2020-02-27,98,Weststellingwerf,Friesland,21,Totaal,0,0
2020-02-27,98,Weststellingwerf,Friesland,21,Ziekenhuisopname,,
2020-02-27,98,Weststellingwerf,Friesland,21,Overleden,,
2020-02-27,106,Assen,Drenthe,22,Totaal,0,0
2020-02-27,106,Assen,Drenthe,22,Ziekenhuisopname,,
2020-02-27,106,Assen,Drenthe,22,Overleden,,
2020-02-27,109,Coevorden,Drenthe,22,Totaal,0,0
2020-02-27,109,Coevorden,Drenthe,22,Ziekenhuisopname,,
2020-02-27,109,Coevorden,Drenthe,22,Overleden,,
2020-02-27,114,Emmen,Drenthe,22,Totaal,0,0
2020-02-27,114,Emmen,Drenthe,22,Ziekenhuisopname,,
2020-02-27,114,Emmen,Drenthe,22,Overleden,,
2020-02-27,118,Hoogeveen,Drenthe,22,Totaal,0,0
2020-02-27,118,Hoogeveen,Drenthe,22,Ziekenhuisopname,,
2020-02-27,118,Hoogeveen,Drenthe,22,Overleden,,
2020-02-27,119,Meppel,Drenthe,22,Totaal,0,0
2020-02-27,119,Meppel,Drenthe,22,Ziekenhuisopname,,
2020-02-27,119,Meppel,Drenthe,22,Overleden,,
2020-02-27,141,Almelo,Overijssel,23,Totaal,0,0
2020-02-27,141,Almelo,Overijssel,23,Ziekenhuisopname,,
2020-02-27,141,Almelo,Overijssel,23,Overleden,,
2020-02-27,147,Borne,Overijssel,23,Totaal,0,0
2020-02-27,147,Borne,Overijssel,23,Ziekenhuisopname,,
2020-02-27,147,Borne,Overijssel,23,Overleden,,
2020-02-27,148,Dalfsen,Overijssel,23,Totaal,0,0
2020-02-27,148,Dalfsen,Overijssel,23,Ziekenhuisopname,,
2020-02-27,148,Dalfsen,Overijssel,23,Overleden,,
2020-02-27,150,Deventer,Overijssel,23,Totaal,0,0
2020-02-27,150,Deventer,Overijssel,23,Ziekenhuisopname,,
2020-02-27,150,Deventer,Overijssel,23,Overleden,,
2020-02-27,153,Enschede,Overijssel,23,Totaal,0,0
2020-02-27,153,Enschede,Overijssel,23,Ziekenhuisopname,,
2020-02-27,153,Enschede,Overijssel,23,Overleden,,
2020-02-27,158,Haaksbergen,Overijssel,23,Totaal,0,0
2020-02-27,158,Haaksbergen,Overijssel,23,Ziekenhuisopname,,
2020-02-27,158,Haaksbergen,Overijssel,23,Overleden,,
2020-02-27,160,Hardenberg,Overijssel,23,Totaal,0,0
2020-02-27,160,Hardenberg,Overijssel,23,Ziekenhuisopname,,
2020-02-27,160,Hardenberg,Overijssel,23,Overleden,,
2020-02-27,163,Hellendoorn,Overijssel,23,Totaal,0,0
2020-02-27,163,Hellendoorn,Overijssel,23,Ziekenhuisopname,,
2020-02-27,163,Hellendoorn,Overijssel,23,Overleden,,
2020-02-27,164,Hengelo,Overijssel,23,Totaal,0,0
2020-02-27,164,Hengelo,Overijssel,23,Ziekenhuisopname,,
2020-02-27,164,Hengelo,Overijssel,23,Overleden,,
2020-02-27,166,Kampen,Overijssel,23,Totaal,0,0
2020-02-27,166,Kampen,Overijssel,23,Ziekenhuisopname,,
2020-02-27,166,Kampen,Overijssel,23,Overleden,,
2020-02-27,168,Losser,Overijssel,23,Totaal,0,0
2020-02-27,168,Losser,Overijssel,23,Ziekenhuisopname,,
2020-02-27,168,Losser,Overijssel,23,Overleden,,
2020-02-27,171,Noordoostpolder,Flevoland,24,Totaal,0,0
2020-02-27,171,Noordoostpolder,Flevoland,24,Ziekenhuisopname,,
2020-02-27,171,Noordoostpolder,Flevoland,24,Overleden,,
2020-02-27,173,Oldenzaal,Overijssel,23,Totaal,0,0
2020-02-27,173,Oldenzaal,Overijssel,23,Ziekenhuisopname,,
2020-02-27,173,Oldenzaal,Overijssel,23,Overleden,,
2020-02-27,175,Ommen,Overijssel,23,Totaal,0,0
2020-02-27,175,Ommen,Overijssel,23,Ziekenhuisopname,,
2020-02-27,175,Ommen,Overijssel,23,Overleden,,
2020-02-27,177,Raalte,Overijssel,23,Totaal,0,0
2020-02-27,177,Raalte,Overijssel,23,Ziekenhuisopname,,
2020-02-27,177,Raalte,Overijssel,23,Overleden,,
2020-02-27,180,Staphorst,Overijssel,23,Totaal,0,0
2020-02-27,180,Staphorst,Overijssel,23,Ziekenhuisopname,,
2020-02-27,180,Staphorst,Overijssel,23,Overleden,,
2020-02-27,183,Tubbergen,Overijssel,23,Totaal,0,0
2020-02-27,183,Tubbergen,Overijssel,23,Ziekenhuisopname,,
2020-02-27,183,Tubbergen,Overijssel,23,Overleden,,
2020-02-27,184,Urk,Flevoland,24,Totaal,0,0
2020-02-27,184,Urk,Flevoland,24,Ziekenhuisopname,,
2020-02-27,184,Urk,Flevoland,24,Overleden,,
2020-02-27,189,Wierden,Overijssel,23,Totaal,0,0
2020-02-27,189,Wierden,Overijssel,23,Ziekenhuisopname,,
2020-02-27,189,Wierden,Overijssel,23,Overleden,,
2020-02-27,193,Zwolle,Overijssel,23,Totaal,0,0
2020-02-27,193,Zwolle,Overijssel,23,Ziekenhuisopname,,
2020-02-27,193,Zwolle,Overijssel,23,Overleden,,
2020-02-27,197,Aalten,Gelderland,25,Totaal,0,0
2020-02-27,197,Aalten,Gelderland,25,Ziekenhuisopname,,
2020-02-27,197,Aalten,Gelderland,25,Overleden,,
2020-02-27,200,Apeldoorn,Gelderland,25,Totaal,0,0
2020-02-27,200,Apeldoorn,Gelderland,25,Ziekenhuisopname,,
2020-02-27,200,Apeldoorn,Gelderland,25,Overleden,,
2020-02-27,202,Arnhem,Gelderland,25,Totaal,0,0
2020-02-27,202,Arnhem,Gelderland,25,Ziekenhuisopname,,
2020-02-27,202,Arnhem,Gelderland,25,Overleden,,
2020-02-27,203,Barneveld,Gelderland,25,Totaal,0,0
2020-02-27,203,Barneveld,Gelderland,25,Ziekenhuisopname,,
2020-02-27,203,Barneveld,Gelderland,25,Overleden,,
2020-02-27,209,Beuningen,Gelderland,25,Totaal,0,0
2020-02-27,209,Beuningen,Gelderland,25,Ziekenhuisopname,,
2020-02-27,209,Beuningen,Gelderland,25,Overleden,,
2020-02-27,213,Brummen,Gelderland,25,Totaal,0,0
2020-02-27,213,Brummen,Gelderland,25,Ziekenhuisopname,,
2020-02-27,213,Brummen,Gelderland,25,Overleden,,
2020-02-27,214,Buren,Gelderland,25,Totaal,0,0
2020-02-27,214,Buren,Gelderland,25,Ziekenhuisopname,,
2020-02-27,214,Buren,Gelderland,25,Overleden,,
2020-02-27,216,Culemborg,Gelderland,25,Totaal,0,0
2020-02-27,216,Culemborg,Gelderland,25,Ziekenhuisopname,,
2020-02-27,216,Culemborg,Gelderland,25,Overleden,,
2020-02-27,221,Doesburg,Gelderland,25,Totaal,0,0
2020-02-27,221,Doesburg,Gelderland,25,Ziekenhuisopname,,
2020-02-27,221,Doesburg,Gelderland,25,Overleden,,
2020-02-27,222,Doetinchem,Gelderland,25,Totaal,0,0
