Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2021-03-18,-1,,,-1,Totaal,32,4396
2021-03-18,-1,,,-1,Ziekenhuisopname,2,115
2021-03-18,-1,,,-1,Overleden,0,33
2021-03-18,3,Appingedam,Groningen,20,Totaal,,
2021-03-18,3,Appingedam,Groningen,20,Ziekenhuisopname,,
2021-03-18,3,Appingedam,Groningen,20,Overleden,,
2021-03-18,10,Delfzijl,Groningen,20,Totaal,,
2021-03-18,10,Delfzijl,Groningen,20,Ziekenhuisopname,,
2021-03-18,10,Delfzijl,Groningen,20,Overleden,,
2021-03-18,14,Groningen,Groningen,20,Totaal,88,9925
2021-03-18,14,Groningen,Groningen,20,Ziekenhuisopname,1,71
2021-03-18,14,Groningen,Groningen,20,Overleden,1,35
2021-03-18,24,Loppersum,Groningen,20,Totaal,,
2021-03-18,24,Loppersum,Groningen,20,Ziekenhuisopname,,
2021-03-18,24,Loppersum,Groningen,20,Overleden,,
2021-03-18,34,Almere,Flevoland,24,Totaal,82,15258
2021-03-18,34,Almere,Flevoland,24,Ziekenhuisopname,1,284
2021-03-18,34,Almere,Flevoland,24,Overleden,1,93
2021-03-18,37,Stadskanaal,Groningen,20,Totaal,20,1888
2021-03-18,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,16
2021-03-18,37,Stadskanaal,Groningen,20,Overleden,0,16
2021-03-18,47,Veendam,Groningen,20,Totaal,7,1355
2021-03-18,47,Veendam,Groningen,20,Ziekenhuisopname,0,8
2021-03-18,47,Veendam,Groningen,20,Overleden,0,10
2021-03-18,50,Zeewolde,Flevoland,24,Totaal,4,1261
2021-03-18,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,20
2021-03-18,50,Zeewolde,Flevoland,24,Overleden,0,13
2021-03-18,59,Achtkarspelen,Friesland,21,Totaal,5,1682
2021-03-18,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,16
2021-03-18,59,Achtkarspelen,Friesland,21,Overleden,0,36
2021-03-18,60,Ameland,Friesland,21,Totaal,0,146
2021-03-18,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2021-03-18,60,Ameland,Friesland,21,Overleden,0,0
2021-03-18,72,Harlingen,Friesland,21,Totaal,4,491
2021-03-18,72,Harlingen,Friesland,21,Ziekenhuisopname,0,7
2021-03-18,72,Harlingen,Friesland,21,Overleden,0,3
2021-03-18,74,Heerenveen,Friesland,21,Totaal,6,1836
2021-03-18,74,Heerenveen,Friesland,21,Ziekenhuisopname,1,27
2021-03-18,74,Heerenveen,Friesland,21,Overleden,0,35
2021-03-18,80,Leeuwarden,Friesland,21,Totaal,38,5322
