Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-10-23,-1,,,-1,Totaal,63,1968
2020-10-23,-1,,,-1,Ziekenhuisopname,1,85
2020-10-23,-1,,,-1,Overleden,1,23
2020-10-23,3,Appingedam,Groningen,20,Totaal,1,45
2020-10-23,3,Appingedam,Groningen,20,Ziekenhuisopname,0,7
2020-10-23,3,Appingedam,Groningen,20,Overleden,0,0
2020-10-23,10,Delfzijl,Groningen,20,Totaal,4,114
2020-10-23,10,Delfzijl,Groningen,20,Ziekenhuisopname,0,7
2020-10-23,10,Delfzijl,Groningen,20,Overleden,0,0
2020-10-23,14,Groningen,Groningen,20,Totaal,59,3078
2020-10-23,14,Groningen,Groningen,20,Ziekenhuisopname,1,31
2020-10-23,14,Groningen,Groningen,20,Overleden,1,4
2020-10-23,24,Loppersum,Groningen,20,Totaal,0,32
2020-10-23,24,Loppersum,Groningen,20,Ziekenhuisopname,0,0
2020-10-23,24,Loppersum,Groningen,20,Overleden,0,0
2020-10-23,34,Almere,Flevoland,24,Totaal,117,3029
2020-10-23,34,Almere,Flevoland,24,Ziekenhuisopname,0,163
2020-10-23,34,Almere,Flevoland,24,Overleden,0,39
2020-10-23,37,Stadskanaal,Groningen,20,Totaal,10,192
2020-10-23,37,Stadskanaal,Groningen,20,Ziekenhuisopname,0,5
2020-10-23,37,Stadskanaal,Groningen,20,Overleden,0,2
2020-10-23,47,Veendam,Groningen,20,Totaal,9,152
2020-10-23,47,Veendam,Groningen,20,Ziekenhuisopname,0,2
2020-10-23,47,Veendam,Groningen,20,Overleden,0,1
2020-10-23,50,Zeewolde,Flevoland,24,Totaal,6,215
2020-10-23,50,Zeewolde,Flevoland,24,Ziekenhuisopname,0,13
2020-10-23,50,Zeewolde,Flevoland,24,Overleden,0,6
2020-10-23,59,Achtkarspelen,Friesland,21,Totaal,8,157
2020-10-23,59,Achtkarspelen,Friesland,21,Ziekenhuisopname,0,0
2020-10-23,59,Achtkarspelen,Friesland,21,Overleden,0,0
2020-10-23,60,Ameland,Friesland,21,Totaal,0,32
2020-10-23,60,Ameland,Friesland,21,Ziekenhuisopname,0,0
2020-10-23,60,Ameland,Friesland,21,Overleden,0,0
2020-10-23,72,Harlingen,Friesland,21,Totaal,2,78
2020-10-23,72,Harlingen,Friesland,21,Ziekenhuisopname,0,4
2020-10-23,72,Harlingen,Friesland,21,Overleden,0,1
2020-10-23,74,Heerenveen,Friesland,21,Totaal,9,347
2020-10-23,74,Heerenveen,Friesland,21,Ziekenhuisopname,0,16
2020-10-23,74,Heerenveen,Friesland,21,Overleden,0,22
2020-10-23,80,Leeuwarden,Friesland,21,Totaal,21,1229
2020-10-23,80,Leeuwarden,Friesland,21,Ziekenhuisopname,0,45
2020-10-23,80,Leeuwarden,Friesland,21,Overleden,0,8
2020-10-23,85,Ooststellingwerf,Friesland,21,Totaal,11,127
2020-10-23,85,Ooststellingwerf,Friesland,21,Ziekenhuisopname,0,5
2020-10-23,85,Ooststellingwerf,Friesland,21,Overleden,0,1
2020-10-23,86,Opsterland,Friesland,21,Totaal,2,156
2020-10-23,86,Opsterland,Friesland,21,Ziekenhuisopname,0,8
2020-10-23,86,Opsterland,Friesland,21,Overleden,0,0
2020-10-23,88,Schiermonnikoog,Friesland,21,Totaal,1,2
2020-10-23,88,Schiermonnikoog,Friesland,21,Ziekenhuisopname,0,1
2020-10-23,88,Schiermonnikoog,Friesland,21,Overleden,0,0
2020-10-23,90,Smallingerland,Friesland,21,Totaal,14,319
2020-10-23,90,Smallingerland,Friesland,21,Ziekenhuisopname,0,12
2020-10-23,90,Smallingerland,Friesland,21,Overleden,1,7
2020-10-23,93,Terschelling,Friesland,21,Totaal,4,54
2020-10-23,93,Terschelling,Friesland,21,Ziekenhuisopname,0,1
2020-10-23,93,Terschelling,Friesland,21,Overleden,0,0
2020-10-23,96,Vlieland,Friesland,21,Totaal,1,15
2020-10-23,96,Vlieland,Friesland,21,Ziekenhuisopname,0,0
2020-10-23,96,Vlieland,Friesland,21,Overleden,0,0
2020-10-23,98,Weststellingwerf,Friesland,21,Totaal,15,171
2020-10-23,98,Weststellingwerf,Friesland,21,Ziekenhuisopname,0,3
2020-10-23,98,Weststellingwerf,Friesland,21,Overleden,0,4
2020-10-23,106,Assen,Drenthe,22,Totaal,20,506
2020-10-23,106,Assen,Drenthe,22,Ziekenhuisopname,1,14
2020-10-23,106,Assen,Drenthe,22,Overleden,0,3
2020-10-23,109,Coevorden,Drenthe,22,Totaal,11,268
2020-10-23,109,Coevorden,Drenthe,22,Ziekenhuisopname,0,14
2020-10-23,109,Coevorden,Drenthe,22,Overleden,0,2
2020-10-23,114,Emmen,Drenthe,22,Totaal,30,1223
2020-10-23,114,Emmen,Drenthe,22,Ziekenhuisopname,2,46
2020-10-23,114,Emmen,Drenthe,22,Overleden,1,20
2020-10-23,118,Hoogeveen,Drenthe,22,Totaal,26,488
2020-10-23,118,Hoogeveen,Drenthe,22,Ziekenhuisopname,1,27
2020-10-23,118,Hoogeveen,Drenthe,22,Overleden,0,12
2020-10-23,119,Meppel,Drenthe,22,Totaal,10,228
2020-10-23,119,Meppel,Drenthe,22,Ziekenhuisopname,0,11
2020-10-23,119,Meppel,Drenthe,22,Overleden,0,5
2020-10-23,141,Almelo,Overijssel,23,Totaal,78,849
2020-10-23,141,Almelo,Overijssel,23,Ziekenhuisopname,1,32
2020-10-23,141,Almelo,Overijssel,23,Overleden,1,14
2020-10-23,147,Borne,Overijssel,23,Totaal,17,287
2020-10-23,147,Borne,Overijssel,23,Ziekenhuisopname,0,15
2020-10-23,147,Borne,Overijssel,23,Overleden,0,6
2020-10-23,148,Dalfsen,Overijssel,23,Totaal,20,361
2020-10-23,148,Dalfsen,Overijssel,23,Ziekenhuisopname,0,17
2020-10-23,148,Dalfsen,Overijssel,23,Overleden,0,7
2020-10-23,150,Deventer,Overijssel,23,Totaal,38,1152
2020-10-23,150,Deventer,Overijssel,23,Ziekenhuisopname,0,50
2020-10-23,150,Deventer,Overijssel,23,Overleden,0,38
2020-10-23,153,Enschede,Overijssel,23,Totaal,181,1896
2020-10-23,153,Enschede,Overijssel,23,Ziekenhuisopname,0,68
2020-10-23,153,Enschede,Overijssel,23,Overleden,4,33
2020-10-23,158,Haaksbergen,Overijssel,23,Totaal,20,404
2020-10-23,158,Haaksbergen,Overijssel,23,Ziekenhuisopname,0,17
2020-10-23,158,Haaksbergen,Overijssel,23,Overleden,0,10
2020-10-23,160,Hardenberg,Overijssel,23,Totaal,26,530
2020-10-23,160,Hardenberg,Overijssel,23,Ziekenhuisopname,0,24
2020-10-23,160,Hardenberg,Overijssel,23,Overleden,0,10
2020-10-23,163,Hellendoorn,Overijssel,23,Totaal,39,358
2020-10-23,163,Hellendoorn,Overijssel,23,Ziekenhuisopname,0,13
2020-10-23,163,Hellendoorn,Overijssel,23,Overleden,0,13
2020-10-23,164,Hengelo,Overijssel,23,Totaal,76,1132
2020-10-23,164,Hengelo,Overijssel,23,Ziekenhuisopname,0,38
2020-10-23,164,Hengelo,Overijssel,23,Overleden,0,24
2020-10-23,166,Kampen,Overijssel,23,Totaal,11,612
2020-10-23,166,Kampen,Overijssel,23,Ziekenhuisopname,0,60
2020-10-23,166,Kampen,Overijssel,23,Overleden,0,37
2020-10-23,168,Losser,Overijssel,23,Totaal,19,282
2020-10-23,168,Losser,Overijssel,23,Ziekenhuisopname,0,11
2020-10-23,168,Losser,Overijssel,23,Overleden,0,2
2020-10-23,171,Noordoostpolder,Flevoland,24,Totaal,10,361
2020-10-23,171,Noordoostpolder,Flevoland,24,Ziekenhuisopname,1,19
2020-10-23,171,Noordoostpolder,Flevoland,24,Overleden,0,11
2020-10-23,173,Oldenzaal,Overijssel,23,Totaal,43,511
2020-10-23,173,Oldenzaal,Overijssel,23,Ziekenhuisopname,0,16
2020-10-23,173,Oldenzaal,Overijssel,23,Overleden,1,14
2020-10-23,175,Ommen,Overijssel,23,Totaal,5,155
2020-10-23,175,Ommen,Overijssel,23,Ziekenhuisopname,0,9
2020-10-23,175,Ommen,Overijssel,23,Overleden,0,4
2020-10-23,177,Raalte,Overijssel,23,Totaal,11,453
2020-10-23,177,Raalte,Overijssel,23,Ziekenhuisopname,0,25
2020-10-23,177,Raalte,Overijssel,23,Overleden,0,23
2020-10-23,180,Staphorst,Overijssel,23,Totaal,10,257
2020-10-23,180,Staphorst,Overijssel,23,Ziekenhuisopname,0,8
2020-10-23,180,Staphorst,Overijssel,23,Overleden,0,4
2020-10-23,183,Tubbergen,Overijssel,23,Totaal,39,512
2020-10-23,183,Tubbergen,Overijssel,23,Ziekenhuisopname,0,12
2020-10-23,183,Tubbergen,Overijssel,23,Overleden,0,6
2020-10-23,184,Urk,Flevoland,24,Totaal,1,126
2020-10-23,184,Urk,Flevoland,24,Ziekenhuisopname,0,23
2020-10-23,184,Urk,Flevoland,24,Overleden,0,4
2020-10-23,189,Wierden,Overijssel,23,Totaal,43,372
2020-10-23,189,Wierden,Overijssel,23,Ziekenhuisopname,0,7
2020-10-23,189,Wierden,Overijssel,23,Overleden,0,6
2020-10-23,193,Zwolle,Overijssel,23,Totaal,41,1216
2020-10-23,193,Zwolle,Overijssel,23,Ziekenhuisopname,0,54
2020-10-23,193,Zwolle,Overijssel,23,Overleden,0,50
2020-10-23,197,Aalten,Gelderland,25,Totaal,8,315
2020-10-23,197,Aalten,Gelderland,25,Ziekenhuisopname,0,13
2020-10-23,197,Aalten,Gelderland,25,Overleden,0,7
2020-10-23,200,Apeldoorn,Gelderland,25,Totaal,55,1539
2020-10-23,200,Apeldoorn,Gelderland,25,Ziekenhuisopname,3,112
2020-10-23,200,Apeldoorn,Gelderland,25,Overleden,0,54
2020-10-23,202,Arnhem,Gelderland,25,Totaal,76,1916
2020-10-23,202,Arnhem,Gelderland,25,Ziekenhuisopname,1,83
2020-10-23,202,Arnhem,Gelderland,25,Overleden,0,34
2020-10-23,203,Barneveld,Gelderland,25,Totaal,32,652
2020-10-23,203,Barneveld,Gelderland,25,Ziekenhuisopname,0,24
2020-10-23,203,Barneveld,Gelderland,25,Overleden,1,11
2020-10-23,209,Beuningen,Gelderland,25,Totaal,3,315
2020-10-23,209,Beuningen,Gelderland,25,Ziekenhuisopname,0,20
2020-10-23,209,Beuningen,Gelderland,25,Overleden,0,6
2020-10-23,213,Brummen,Gelderland,25,Totaal,4,151
2020-10-23,213,Brummen,Gelderland,25,Ziekenhuisopname,0,19
2020-10-23,213,Brummen,Gelderland,25,Overleden,0,6
2020-10-23,214,Buren,Gelderland,25,Totaal,11,288
2020-10-23,214,Buren,Gelderland,25,Ziekenhuisopname,0,23
2020-10-23,214,Buren,Gelderland,25,Overleden,0,8
2020-10-23,216,Culemborg,Gelderland,25,Totaal,10,462
2020-10-23,216,Culemborg,Gelderland,25,Ziekenhuisopname,0,25
2020-10-23,216,Culemborg,Gelderland,25,Overleden,0,9
2020-10-23,221,Doesburg,Gelderland,25,Totaal,1,154
2020-10-23,221,Doesburg,Gelderland,25,Ziekenhuisopname,1,11
2020-10-23,221,Doesburg,Gelderland,25,Overleden,1,7
2020-10-23,222,Doetinchem,Gelderland,25,Totaal,21,623
2020-10-23,222,Doetinchem,Gelderland,25,Ziekenhuisopname,0,30
2020-10-23,222,Doetinchem,Gelderland,25,Overleden,0,16
2020-10-23,225,Druten,Gelderland,25,Totaal,4,254
2020-10-23,225,Druten,Gelderland,25,Ziekenhuisopname,0,28
2020-10-23,225,Druten,Gelderland,25,Overleden,0,9
2020-10-23,226,Duiven,Gelderland,25,Totaal,11,292
