Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-02-27,,-1,Overleden,,
2020-02-27,,-1,Totaal,0,0
2020-02-27,,-1,Ziekenhuisopname,,
2020-02-27,Groningen,20,Overleden,,
2020-02-27,Groningen,20,Totaal,0,0
2020-02-27,Groningen,20,Ziekenhuisopname,,
2020-02-27,Friesland,21,Overleden,,
2020-02-27,Friesland,21,Totaal,0,0
2020-02-27,Friesland,21,Ziekenhuisopname,,
2020-02-27,Drenthe,22,Overleden,,
2020-02-27,Drenthe,22,Totaal,0,0
2020-02-27,Drenthe,22,Ziekenhuisopname,,
2020-02-27,Overijssel,23,Overleden,,
2020-02-27,Overijssel,23,Totaal,0,0
2020-02-27,Overijssel,23,Ziekenhuisopname,,
2020-02-27,Flevoland,24,Overleden,,
2020-02-27,Flevoland,24,Totaal,0,0
2020-02-27,Flevoland,24,Ziekenhuisopname,,
2020-02-27,Gelderland,25,Overleden,,
2020-02-27,Gelderland,25,Totaal,0,0
2020-02-27,Gelderland,25,Ziekenhuisopname,,
2020-02-27,Utrecht,26,Overleden,,
2020-02-27,Utrecht,26,Totaal,0,0
2020-02-27,Utrecht,26,Ziekenhuisopname,,
2020-02-27,Noord-Holland,27,Overleden,,
2020-02-27,Noord-Holland,27,Totaal,0,0
2020-02-27,Noord-Holland,27,Ziekenhuisopname,,
2020-02-27,Zuid-Holland,28,Overleden,,
2020-02-27,Zuid-Holland,28,Totaal,0,0
2020-02-27,Zuid-Holland,28,Ziekenhuisopname,,
2020-02-27,Zeeland,29,Overleden,,
2020-02-27,Zeeland,29,Totaal,0,0
2020-02-27,Zeeland,29,Ziekenhuisopname,,
2020-02-27,Noord-Brabant,30,Overleden,,
2020-02-27,Noord-Brabant,30,Totaal,1,1
2020-02-27,Noord-Brabant,30,Ziekenhuisopname,,
2020-02-27,Limburg,31,Overleden,,
2020-02-27,Limburg,31,Totaal,0,0
2020-02-27,Limburg,31,Ziekenhuisopname,,
2020-02-28,,-1,Overleden,,
2020-02-28,,-1,Totaal,0,0
2020-02-28,,-1,Ziekenhuisopname,,
2020-02-28,Groningen,20,Overleden,,
2020-02-28,Groningen,20,Totaal,0,0
2020-02-28,Groningen,20,Ziekenhuisopname,,
2020-02-28,Friesland,21,Overleden,,
2020-02-28,Friesland,21,Totaal,0,0
2020-02-28,Friesland,21,Ziekenhuisopname,,
2020-02-28,Drenthe,22,Overleden,,
2020-02-28,Drenthe,22,Totaal,0,0
2020-02-28,Drenthe,22,Ziekenhuisopname,,
2020-02-28,Overijssel,23,Overleden,,
2020-02-28,Overijssel,23,Totaal,0,0
2020-02-28,Overijssel,23,Ziekenhuisopname,,
2020-02-28,Flevoland,24,Overleden,,
2020-02-28,Flevoland,24,Totaal,0,0
2020-02-28,Flevoland,24,Ziekenhuisopname,,
2020-02-28,Gelderland,25,Overleden,,
2020-02-28,Gelderland,25,Totaal,0,0
2020-02-28,Gelderland,25,Ziekenhuisopname,,
2020-02-28,Utrecht,26,Overleden,,
2020-02-28,Utrecht,26,Totaal,0,0
2020-02-28,Utrecht,26,Ziekenhuisopname,,
2020-02-28,Noord-Holland,27,Overleden,,
2020-02-28,Noord-Holland,27,Totaal,1,1
2020-02-28,Noord-Holland,27,Ziekenhuisopname,,
2020-02-28,Zuid-Holland,28,Overleden,,
2020-02-28,Zuid-Holland,28,Totaal,0,0
2020-02-28,Zuid-Holland,28,Ziekenhuisopname,,
2020-02-28,Zeeland,29,Overleden,,
2020-02-28,Zeeland,29,Totaal,0,0
2020-02-28,Zeeland,29,Ziekenhuisopname,,
2020-02-28,Noord-Brabant,30,Overleden,,
2020-02-28,Noord-Brabant,30,Totaal,0,1
2020-02-28,Noord-Brabant,30,Ziekenhuisopname,,
2020-02-28,Limburg,31,Overleden,,
2020-02-28,Limburg,31,Totaal,0,0
2020-02-28,Limburg,31,Ziekenhuisopname,,
