Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-03-21,,-1,Overleden,1,4
2020-03-21,,-1,Totaal,-15,99
2020-03-21,,-1,Ziekenhuisopname,-2,11
2020-03-21,Groningen,20,Overleden,0,0
2020-03-21,Groningen,20,Totaal,3,47
2020-03-21,Groningen,20,Ziekenhuisopname,1,4
2020-03-21,Friesland,21,Overleden,0,1
2020-03-21,Friesland,21,Totaal,-6,33
2020-03-21,Friesland,21,Ziekenhuisopname,7,13
2020-03-21,Drenthe,22,Overleden,0,1
2020-03-21,Drenthe,22,Totaal,1,38
2020-03-21,Drenthe,22,Ziekenhuisopname,1,3
2020-03-21,Overijssel,23,Overleden,2,4
2020-03-21,Overijssel,23,Totaal,31,161
2020-03-21,Overijssel,23,Ziekenhuisopname,8,24
2020-03-21,Flevoland,24,Overleden,0,0
2020-03-21,Flevoland,24,Totaal,1,51
2020-03-21,Flevoland,24,Ziekenhuisopname,13,27
2020-03-21,Gelderland,25,Overleden,2,7
2020-03-21,Gelderland,25,Totaal,6,368
2020-03-21,Gelderland,25,Ziekenhuisopname,31,100
2020-03-21,Utrecht,26,Overleden,3,5
2020-03-21,Utrecht,26,Totaal,-23,315
2020-03-21,Utrecht,26,Ziekenhuisopname,17,48
2020-03-21,Noord-Holland,27,Overleden,2,4
2020-03-21,Noord-Holland,27,Totaal,-28,437
2020-03-21,Noord-Holland,27,Ziekenhuisopname,28,97
2020-03-21,Zuid-Holland,28,Overleden,2,4
2020-03-21,Zuid-Holland,28,Totaal,-46,479
2020-03-21,Zuid-Holland,28,Ziekenhuisopname,35,110
2020-03-21,Zeeland,29,Overleden,1,1
2020-03-21,Zeeland,29,Totaal,2,46
2020-03-21,Zeeland,29,Ziekenhuisopname,5,22
2020-03-21,Noord-Brabant,30,Overleden,17,79
2020-03-21,Noord-Brabant,30,Totaal,40,1147
2020-03-21,Noord-Brabant,30,Ziekenhuisopname,18,236
2020-03-21,Limburg,31,Overleden,1,26
2020-03-21,Limburg,31,Totaal,14,410
2020-03-21,Limburg,31,Ziekenhuisopname,26,141
