Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-05-31,,-1,Overleden,0,17
2020-05-31,,-1,Totaal,2,466
2020-05-31,,-1,Ziekenhuisopname,1,61
2020-05-31,Groningen,20,Overleden,0,17
2020-05-31,Groningen,20,Totaal,1,349
2020-05-31,Groningen,20,Ziekenhuisopname,0,74
2020-05-31,Friesland,21,Overleden,0,64
2020-05-31,Friesland,21,Totaal,0,608
2020-05-31,Friesland,21,Ziekenhuisopname,0,129
2020-05-31,Drenthe,22,Overleden,0,40
2020-05-31,Drenthe,22,Totaal,4,511
2020-05-31,Drenthe,22,Ziekenhuisopname,0,116
2020-05-31,Overijssel,23,Overleden,0,307
2020-05-31,Overijssel,23,Totaal,4,2981
2020-05-31,Overijssel,23,Ziekenhuisopname,0,548
2020-05-31,Flevoland,24,Overleden,0,88
2020-05-31,Flevoland,24,Totaal,6,926
2020-05-31,Flevoland,24,Ziekenhuisopname,0,266
2020-05-31,Gelderland,25,Overleden,1,667
2020-05-31,Gelderland,25,Totaal,27,5955
2020-05-31,Gelderland,25,Ziekenhuisopname,0,1489
2020-05-31,Utrecht,26,Overleden,0,410
2020-05-31,Utrecht,26,Totaal,37,3608
2020-05-31,Utrecht,26,Ziekenhuisopname,0,865
2020-05-31,Noord-Holland,27,Overleden,1,799
2020-05-31,Noord-Holland,27,Totaal,23,6695
2020-05-31,Noord-Holland,27,Ziekenhuisopname,0,1619
2020-05-31,Zuid-Holland,28,Overleden,1,1238
2020-05-31,Zuid-Holland,28,Totaal,31,9970
2020-05-31,Zuid-Holland,28,Ziekenhuisopname,3,2121
2020-05-31,Zeeland,29,Overleden,1,66
2020-05-31,Zeeland,29,Totaal,5,692
2020-05-31,Zeeland,29,Ziekenhuisopname,0,150
2020-05-31,Noord-Brabant,30,Overleden,0,1510
2020-05-31,Noord-Brabant,30,Totaal,36,9003
2020-05-31,Noord-Brabant,30,Ziekenhuisopname,3,2744
2020-05-31,Limburg,31,Overleden,1,733
2020-05-31,Limburg,31,Totaal,9,4678
2020-05-31,Limburg,31,Ziekenhuisopname,1,1553
