Datum,Land,Aantal
2020-04-04,Duitsland,17
2020-04-04,Nederland,1343
2020-04-04,Totaal,1360
2020-04-05,Duitsland,24
2020-04-05,Nederland,1361
2020-04-05,Totaal,1385
2020-04-06,Totaal,1409
2020-04-06,Nederland,1372
2020-04-06,Duitsland,37
2020-04-07,Nederland,1378
2020-04-07,Totaal,1424
2020-04-07,Duitsland,46
2020-04-08,Duitsland,52
2020-04-08,Nederland,1356
2020-04-08,Totaal,1408
2020-04-09,Duitsland,56
2020-04-09,Nederland,1361
2020-04-09,Totaal,1417
2020-04-10,Duitsland,58
2020-04-10,Nederland,1326
2020-04-10,Totaal,1384
2020-04-11,Totaal,1391
2020-04-11,Duitsland,57
2020-04-11,Nederland,1334
2020-04-12,Totaal,1358
2020-04-12,Duitsland,56
2020-04-12,Nederland,1302
2020-04-13,Nederland,1283
2020-04-13,Duitsland,55
2020-04-13,Totaal,1338
2020-04-14,Duitsland,55
2020-04-14,Totaal,1303
2020-04-14,Nederland,1248
2020-04-15,Totaal,1279
2020-04-15,Nederland,1224
2020-04-15,Duitsland,55
2020-04-16,Nederland,1206
2020-04-16,Duitsland,52
2020-04-16,Totaal,1258
2020-04-17,Totaal,1235
2020-04-17,Nederland,1183
2020-04-17,Duitsland,52
2020-04-18,Totaal,1201
2020-04-18,Nederland,1149
2020-04-18,Duitsland,52
2020-04-19,Nederland,1125
2020-04-19,Duitsland,51
2020-04-19,Totaal,1176
2020-04-20,Totaal,1158
2020-04-20,Duitsland,50
2020-04-20,Nederland,1108
2020-04-21,Duitsland,48
2020-04-21,Nederland,1039
2020-04-21,Totaal,1087
2020-04-22,Duitsland,44
2020-04-22,Nederland,1006
2020-04-22,Totaal,1050
2020-04-23,Totaal,1008
2020-04-23,Duitsland,42
2020-04-23,Nederland,966
2020-04-24,Nederland,922
2020-04-24,Totaal,963
2020-04-24,Duitsland,41
2020-04-25,Duitsland,37
2020-04-25,Nederland,922
2020-04-25,Totaal,959
2020-04-26,Totaal,934
2020-04-26,Duitsland,33
2020-04-26,Nederland,901
2020-04-27,Totaal,905
2020-04-27,Duitsland,32
2020-04-27,Nederland,873
2020-04-28,Duitsland,29
2020-04-28,Totaal,861
2020-04-28,Nederland,832
2020-04-29,Duitsland,28
2020-04-29,Nederland,776
2020-04-29,Totaal,804
2020-04-30,Totaal,783
2020-04-30,Duitsland,29
2020-04-30,Nederland,754
2020-05-01,Totaal,735
2020-05-01,Duitsland,28
2020-05-01,Nederland,707
2020-05-02,Duitsland,28
2020-05-02,Nederland,680
2020-05-02,Totaal,708
2020-05-03,Totaal,688
2020-05-03,Nederland,660
2020-05-03,Duitsland,28
2020-05-04,Nederland,655
2020-05-04,Duitsland,28
2020-05-04,Totaal,683
2020-05-05,Duitsland,26
2020-05-05,Nederland,618
2020-05-05,Totaal,644
2020-05-06,Totaal,628
2020-05-06,Duitsland,23
2020-05-06,Nederland,605
2020-05-07,Totaal,584
2020-05-07,Duitsland,18
2020-05-07,Nederland,566
2020-05-08,Nederland,549
2020-05-08,Totaal,564
2020-05-08,Duitsland,15
2020-05-09,Totaal,541
2020-05-09,Duitsland,15
2020-05-09,Nederland,526
2020-05-10,Totaal,507
2020-05-10,Nederland,492
2020-05-10,Duitsland,15
2020-05-11,Totaal,498
2020-05-11,Duitsland,15
2020-05-11,Nederland,483
2020-05-12,Duitsland,12
2020-05-12,Nederland,451
2020-05-12,Totaal,463
2020-05-13,Totaal,432
2020-05-13,Duitsland,10
2020-05-13,Nederland,422
2020-05-14,Totaal,410
2020-05-14,Duitsland,7
2020-05-14,Nederland,403
2020-05-15,Totaal,378
2020-05-15,Duitsland,3
2020-05-15,Nederland,375
2020-05-16,Duitsland,3
2020-05-16,Nederland,343
2020-05-16,Totaal,346
2020-05-17,Nederland,346
2020-05-17,Totaal,349
2020-05-17,Duitsland,3
2020-05-18,Duitsland,3
2020-05-18,Nederland,320
2020-05-18,Totaal,323
2020-05-19,Duitsland,2
2020-05-19,Nederland,291
2020-05-19,Totaal,293
2020-05-20,Duitsland,1
2020-05-20,Nederland,274
2020-05-20,Totaal,275
2020-05-21,Duitsland,1
2020-05-21,Nederland,254
2020-05-21,Totaal,255
2020-05-22,Totaal,252
2020-05-22,Nederland,251
2020-05-22,Duitsland,1
2020-05-23,Nederland,226
2020-05-23,Duitsland,1
2020-05-23,Totaal,227
2020-05-24,Totaal,223
2020-05-24,Nederland,222
2020-05-24,Duitsland,1
2020-05-25,Totaal,223
2020-05-25,Nederland,222
2020-05-25,Duitsland,1
2020-05-26,Totaal,188
2020-05-26,Nederland,187
2020-05-26,Duitsland,1
2020-05-27,Duitsland,1
2020-05-27,Totaal,189
2020-05-27,Nederland,188
2020-05-28,Totaal,182
2020-05-28,Duitsland,1
2020-05-28,Nederland,181
2020-05-29,Totaal,180
2020-05-29,Nederland,179
2020-05-29,Duitsland,1
2020-05-30,Totaal,170
2020-05-30,Nederland,169
2020-05-30,Duitsland,1
2020-05-31,Totaal,159
2020-05-31,Nederland,158
2020-05-31,Duitsland,1
2020-06-01,Duitsland,1
2020-06-01,Nederland,157
2020-06-01,Totaal,158
2020-06-02,Duitsland,1
2020-06-02,Totaal,154
2020-06-02,Nederland,153
2020-06-03,Totaal,116
2020-06-03,Nederland,116
2020-06-04,Nederland,113
2020-06-04,Totaal,113
2020-06-05,Nederland,97
2020-06-05,Totaal,97
2020-06-06,Nederland,96
2020-06-06,Totaal,96
2020-06-07,Nederland,96
2020-06-07,Totaal,96
2020-06-08,Totaal,92
2020-06-08,Nederland,92
2020-06-09,Totaal,91
2020-06-09,Nederland,91
2020-06-10,Nederland,80
2020-06-10,Totaal,80
2020-06-11,Totaal,77
2020-06-11,Nederland,77
2020-06-12,Totaal,73
2020-06-12,Nederland,73
2020-06-13,Nederland,77
2020-06-13,Totaal,77
2020-06-14,Totaal,79
2020-06-14,Nederland,79
2020-06-15,Totaal,87
2020-06-15,Nederland,87
2020-06-16,Nederland,78
2020-06-16,Totaal,78
2020-06-17,Totaal,73
2020-06-17,Nederland,73
2020-06-18,Totaal,67
2020-06-18,Nederland,67
2020-06-19,Nederland,57
2020-06-19,Totaal,57
2020-06-20,Nederland,57
2020-06-20,Totaal,57
2020-06-21,Nederland,55
2020-06-21,Totaal,55
2020-06-22,Totaal,59
2020-06-22,Nederland,59
2020-06-23,Nederland,48
2020-06-23,Totaal,48
2020-06-24,Nederland,49
2020-06-24,Totaal,49
2020-06-25,Nederland,49
2020-06-25,Totaal,49
2020-06-26,Nederland,39
2020-06-26,Totaal,39
2020-06-27,Totaal,29
2020-06-27,Nederland,29
2020-06-28,Totaal,30
2020-06-28,Nederland,30
2020-06-29,Nederland,32
2020-06-29,Totaal,32
2020-06-30,Totaal,29
2020-06-30,Nederland,29
2020-07-01,Totaal,28
2020-07-01,Nederland,28
2020-07-02,Nederland,25
2020-07-02,Totaal,25
2020-07-03,Nederland,20
2020-07-03,Totaal,20
2020-07-04,Nederland,18
2020-07-04,Totaal,18
2020-07-05,Totaal,18
2020-07-05,Nederland,18
2020-07-06,Nederland,23
2020-07-06,Totaal,23
2020-07-07,Totaal,24
2020-07-07,Nederland,24
2020-07-08,Nederland,20
2020-07-08,Totaal,20
2020-07-09,Nederland,21
2020-07-09,Totaal,21
2020-07-10,Nederland,25
2020-07-10,Totaal,25
2020-07-11,Nederland,26
2020-07-11,Totaal,26
2020-07-12,Nederland,24
2020-07-12,Totaal,24
2020-07-13,Nederland,24
2020-07-13,Totaal,24
2020-07-14,Totaal,21
2020-07-14,Nederland,21
2020-07-15,Nederland,20
2020-07-15,Totaal,20
2020-07-16,Nederland,15
2020-07-16,Totaal,15
2020-07-17,Nederland,15
2020-07-17,Totaal,15
2020-07-18,Totaal,16
2020-07-18,Nederland,16
2020-07-19,Nederland,17
2020-07-19,Totaal,17
2020-07-20,Totaal,16
2020-07-20,Nederland,16
2020-07-21,Nederland,15
2020-07-21,Totaal,15
2020-07-22,Totaal,17
2020-07-22,Nederland,17
2020-07-23,Totaal,15
2020-07-23,Nederland,15
2020-07-24,Nederland,17
2020-07-24,Totaal,17
2020-07-25,Totaal,18
2020-07-25,Nederland,18
2020-07-26,Totaal,16
2020-07-26,Nederland,16
2020-07-27,Totaal,21
2020-07-27,Nederland,21
2020-07-28,Nederland,19
2020-07-28,Totaal,19
2020-07-29,Totaal,17
2020-07-29,Nederland,17
2020-07-30,Totaal,14
2020-07-30,Nederland,14
2020-07-31,Totaal,19
2020-07-31,Nederland,19
2020-08-01,Totaal,22
2020-08-01,Nederland,22
2020-08-02,Totaal,21
2020-08-02,Nederland,21
2020-08-03,Totaal,27
2020-08-03,Nederland,27
2020-08-04,Totaal,26
2020-08-04,Nederland,26
2020-08-05,Nederland,30
2020-08-05,Totaal,30
2020-08-06,Totaal,29
2020-08-06,Nederland,29
2020-08-07,Totaal,27
2020-08-07,Nederland,27
2020-08-08,Totaal,28
2020-08-08,Nederland,28
2020-08-09,Totaal,31
2020-08-09,Nederland,31
2020-08-10,Totaal,29
2020-08-10,Nederland,29
2020-08-11,Totaal,30
2020-08-11,Nederland,30
2020-08-12,Nederland,35
2020-08-12,Totaal,35
2020-08-13,Totaal,31
2020-08-13,Nederland,31
2020-08-14,Totaal,38
2020-08-14,Nederland,38
2020-08-15,Nederland,39
2020-08-15,Totaal,39
2020-08-16,Totaal,36
2020-08-16,Nederland,36
2020-08-17,Nederland,39
2020-08-17,Totaal,39
2020-08-18,Nederland,42
2020-08-18,Totaal,42
2020-08-19,Totaal,41
2020-08-19,Nederland,41
2020-08-20,Nederland,39
2020-08-20,Totaal,39
2020-08-21,Nederland,43
2020-08-21,Totaal,43
2020-08-22,Nederland,42
2020-08-22,Totaal,42
