Datum,IngezetteICs,TotaalOpnamen,ToenameOpnamen,CumulatiefOpnamen,ToenameOntslagZiekenhuis,CumulatiefOntslagZiekenhuis,ToenameOntslagOverleden,CumulatiefOntslagOverleden,TotaalOntslagIC
2020-02-27,9,16,1,16,,0,,0,0
2020-02-28,10,17,1,17,0,0,0,0,0
2020-02-29,10,18,0,18,0,0,0,0,0
2020-03-01,11,20,2,20,0,0,0,0,1
2020-03-02,10,19,0,20,0,0,0,0,1
2020-03-03,10,21,1,22,0,0,0,0,1
2020-03-04,12,24,3,25,2,2,0,0,1
2020-03-05,14,24,2,27,0,2,0,0,1
2020-03-06,17,28,4,31,0,2,0,0,2
2020-03-07,18,30,3,34,1,3,0,0,1
2020-03-08,22,36,6,40,0,3,2,2,1
2020-03-09,24,41,7,48,0,3,0,2,1
2020-03-10,25,49,10,58,0,3,0,2,2
2020-03-11,26,57,9,68,0,3,2,4,2
2020-03-12,32,77,23,91,0,3,1,5,2
2020-03-13,35,88,13,105,1,4,0,5,2
2020-03-14,44,106,19,125,3,7,0,5,5
2020-03-15,51,129,27,153,0,7,2,7,6
2020-03-16,57,160,33,187,1,8,5,12,6
2020-03-17,61,190,35,224,0,8,2,14,9
2020-03-18,65,240,51,279,4,12,3,17,10
2020-03-19,71,298,60,345,0,12,8,25,12
2020-03-20,72,373,83,432,2,14,5,30,17
2020-03-21,72,442,75,514,2,16,12,42,26
2020-03-22,72,492,73,588,3,19,6,48,27
2020-03-23,72,585,101,691,3,22,17,65,39
2020-03-24,74,666,109,805,4,26,10,75,44
2020-03-25,74,764,116,924,5,31,13,88,52
2020-03-26,74,849,107,1037,10,41,18,106,55
2020-03-27,74,936,114,1157,6,47,15,121,72
2020-03-28,74,1000,100,1261,4,51,19,140,88
2020-03-29,74,1046,89,1353,11,62,24,164,99
2020-03-30,74,1135,129,1485,9,71,20,184,118
2020-03-31,74,1200,110,1598,18,89,34,218,126
2020-04-01,75,1217,75,1672,18,107,25,243,136
2020-04-02,75,1260,93,1771,15,122,22,265,148
2020-04-03,75,1287,76,1850,21,143,32,297,156
2020-04-04,74,1291,65,1916,14,157,19,316,173
2020-04-05,75,1316,76,1995,9,166,23,339,194
2020-04-06,75,1324,61,2058,24,190,18,357,207
2020-04-07,76,1326,57,2118,22,212,30,387,240
2020-04-08,76,1293,55,2177,25,237,17,404,252
2020-04-09,76,1288,50,2228,28,265,12,416,257
2020-04-10,75,1295,49,2279,29,294,28,444,264
2020-04-11,75,1260,28,2308,20,314,15,459,285
2020-04-12,75,1242,35,2344,18,332,15,474,313
2020-04-13,75,1225,44,2389,15,347,21,495,338
2020-04-14,76,1202,36,2426,51,398,10,505,332
2020-04-15,76,1177,24,2451,56,454,17,522,328
2020-04-16,76,1144,30,2481,50,504,18,540,313
2020-04-17,77,1114,26,2507,47,551,18,558,313
2020-04-18,76,1068,19,2526,23,574,11,569,329
2020-04-19,76,1039,20,2546,6,580,19,588,351
2020-04-20,76,1020,26,2573,56,636,19,607,335
2020-04-21,76,984,21,2596,52,688,21,628,334
2020-04-22,77,927,14,2611,46,734,16,644,329
2020-04-23,77,885,16,2627,47,781,13,657,307
2020-04-24,76,868,18,2646,62,843,9,666,276
2020-04-25,76,837,13,2660,17,860,15,681,281
2020-04-26,76,813,13,2673,9,869,10,691,296
2020-04-27,76,790,14,2687,10,879,11,702,312
2020-04-28,76,769,15,2703,51,930,6,708,296
2020-04-29,76,741,11,2715,36,966,6,714,297
2020-04-30,76,717,19,2734,43,1009,13,727,282
2020-05-01,76,682,9,2743,42,1051,2,729,283
2020-05-02,76,644,11,2754,15,1066,9,738,283
2020-05-03,76,630,10,2765,7,1073,5,743,297
2020-05-04,76,621,13,2777,43,1116,6,749,291
2020-05-05,76,579,3,2780,14,1130,5,754,305
2020-05-06,73,552,5,2786,38,1168,6,760,295
2020-05-07,72,530,9,2796,39,1207,8,768,289
2020-05-08,72,499,8,2804,36,1243,4,772,276
2020-05-09,72,477,5,2809,9,1252,5,777,284
2020-05-10,72,459,5,2814,3,1255,1,778,293
2020-05-11,73,453,8,2822,40,1295,7,785,289
2020-05-12,71,411,2,2824,43,1338,3,788,266
2020-05-13,71,393,4,2828,35,1373,5,793,264
2020-05-14,71,367,9,2837,27,1400,4,797,251
2020-05-15,71,351,4,2842,33,1433,7,804,232
2020-05-16,70,335,8,2850,9,1442,2,806,232
2020-05-17,70,328,4,2854,4,1446,1,807,236
2020-05-18,70,323,4,2858,32,1478,0,807,239
2020-05-19,68,290,2,2860,33,1511,2,809,217
2020-05-20,67,280,2,2863,30,1541,6,815,203
2020-05-21,67,259,2,2865,6,1547,4,819,209
2020-05-22,67,248,4,2870,33,1580,3,822,192
2020-05-23,65,232,3,2873,3,1583,1,823,196
2020-05-24,65,231,7,2880,0,1583,1,824,206
2020-05-25,64,221,1,2881,23,1606,1,825,210
2020-05-26,65,198,4,2885,20,1626,4,829,202
2020-05-27,61,184,4,2889,23,1649,1,830,187
2020-05-28,60,176,1,2890,31,1680,2,832,167
2020-05-29,59,166,3,2893,21,1701,3,835,154
2020-05-30,57,157,3,2896,7,1708,0,835,148
2020-05-31,57,159,3,2899,0,1708,0,835,155
2020-06-01,57,157,5,2904,0,1708,3,838,158
2020-06-02,57,152,1,2905,25,1733,0,838,151
2020-06-03,53,139,5,2910,21,1754,5,843,134
2020-06-04,55,137,6,2916,20,1774,3,846,117
2020-06-05,53,134,3,2919,10,1784,0,846,110
2020-06-06,53,132,2,2921,2,1786,1,847,111
2020-06-07,52,131,3,2924,2,1788,0,847,111
2020-06-08,52,130,0,2925,17,1805,0,847,103
2020-06-09,51,122,2,2927,12,1817,1,848,95
2020-06-10,51,119,2,2929,12,1829,1,849,86
2020-06-11,51,115,1,2930,12,1841,0,849,79
2020-06-12,49,112,3,2933,10,1851,1,850,73
2020-06-13,48,110,2,2935,0,1851,1,851,73
2020-06-14,47,109,0,2935,2,1853,2,853,71
2020-06-15,47,108,1,2936,18,1871,1,854,63
2020-06-16,46,99,2,2938,5,1876,3,857,62
2020-06-17,44,91,0,2938,7,1883,2,859,60
2020-06-18,43,84,1,2939,7,1890,1,860,60
2020-06-19,42,79,0,2940,8,1898,1,861,53
2020-06-20,42,77,2,2942,1,1899,1,862,56
2020-06-21,40,73,0,2942,0,1899,1,863,56
2020-06-22,42,75,3,2945,5,1904,1,864,58
2020-06-23,39,68,1,2946,6,1910,1,865,56
2020-06-24,38,64,1,2947,6,1916,1,866,51
2020-06-25,36,63,1,2948,6,1922,0,866,51
2020-06-26,33,57,0,2948,4,1926,1,867,51
2020-06-27,31,52,0,2948,0,1926,1,868,54
2020-06-28,30,48,0,2948,0,1926,0,868,54
2020-06-29,30,48,0,2948,5,1931,0,868,51
2020-06-30,30,48,2,2950,7,1938,0,868,47
2020-07-01,28,44,0,2950,5,1943,0,868,43
2020-07-02,31,46,3,2953,4,1947,1,869,41
2020-07-03,30,43,0,2953,9,1956,0,869,32
2020-07-04,30,44,1,2954,0,1956,0,869,34
2020-07-05,28,42,0,2954,1,1957,0,869,34
2020-07-06,28,42,1,2955,5,1962,1,870,31
2020-07-07,27,40,1,2956,2,1964,1,871,31
2020-07-08,27,37,2,2958,5,1969,0,871,27
2020-07-09,26,37,1,2959,4,1973,0,871,23
2020-07-10,26,38,1,2960,0,1973,0,871,24
2020-07-11,24,36,0,2960,0,1973,0,871,24
2020-07-12,24,37,1,2961,2,1975,1,872,23
2020-07-13,25,36,0,2961,1,1976,1,873,24
2020-07-14,25,33,0,2961,1,1977,0,873,24
2020-07-15,24,33,1,2962,3,1980,0,873,23
2020-07-16,24,32,1,2963,4,1984,0,873,19
2020-07-17,23,32,0,2963,0,1984,0,873,20
2020-07-18,23,31,0,2963,0,1984,0,873,20
2020-07-19,23,32,1,2964,0,1984,0,873,21
2020-07-20,24,32,1,2965,5,1989,1,874,17
2020-07-21,25,34,4,2967,2,1991,0,874,18
2020-07-22,25,34,1,2968,3,1994,1,875,16
2020-07-23,24,32,1,2969,2,1996,0,875,16
2020-07-24,23,31,2,2971,4,2000,0,875,16
2020-07-25,22,28,1,2972,1,2001,0,875,17
2020-07-26,22,28,1,2974,0,2001,0,875,17
2020-07-27,25,32,4,2978,2,2003,0,875,16
2020-07-28,24,31,0,2978,1,2004,0,875,15
2020-07-29,23,30,0,2978,1,2005,1,876,15
2020-07-30,24,32,3,2981,2,2007,0,876,13
2020-07-31,26,35,4,2985,0,2007,2,878,12
2020-08-01,26,36,2,2987,1,2008,0,878,12
2020-08-02,27,37,2,2989,0,2008,0,878,12
2020-08-03,27,40,3,2992,0,2008,0,878,13
2020-08-04,29,42,3,2995,1,2009,2,880,13
2020-08-05,28,41,2,2997,3,2012,0,880,10
2020-08-06,29,43,2,2999,1,2013,1,881,9
2020-08-07,29,43,1,3000,1,2014,0,881,8
2020-08-08,30,44,1,3001,0,2014,0,881,9
2020-08-09,34,49,6,3007,1,2015,2,883,12
2020-08-10,34,48,4,3011,1,2016,0,883,12
2020-08-11,34,51,4,3014,1,2017,1,884,14
2020-08-12,33,51,4,3018,1,2018,0,884,19
2020-08-13,33,48,4,3022,0,2018,0,884,20
2020-08-14,35,53,6,3028,1,2019,0,884,22
2020-08-15,34,51,1,3029,0,2019,1,885,24
2020-08-16,35,52,4,3033,1,2020,0,885,23
2020-08-17,38,61,9,3042,3,2023,2,887,24
2020-08-18,38,56,2,3044,4,2027,0,887,23
2020-08-19,37,55,3,3047,6,2033,0,887,21
2020-08-20,40,56,5,3052,3,2036,1,888,17
2020-08-21,40,60,6,3058,3,2039,1,889,17
2020-08-22,38,56,0,3058,0,2039,0,889,19
2020-08-23,40,59,5,3063,1,2040,0,889,19
2020-08-24,41,59,1,3065,1,2041,1,890,25
2020-08-25,36,54,3,3068,1,2042,0,890,26
2020-08-26,36,52,0,3068,6,2048,0,890,23
2020-08-27,36,52,3,3071,4,2052,0,890,23
2020-08-28,37,50,1,3073,5,2057,1,891,19
2020-08-29,36,50,2,3076,1,2058,0,891,18
2020-08-30,38,55,3,3079,0,2058,1,892,19
2020-08-31,37,54,1,3080,3,2061,2,894,19
2020-09-01,37,50,2,3082,2,2063,1,895,19
2020-09-02,36,48,0,3083,2,2065,0,895,19
2020-09-03,33,50,4,3087,3,2068,0,895,16
2020-09-04,35,54,4,3091,1,2069,1,896,19
2020-09-05,35,50,1,3092,1,2070,0,896,19
2020-09-06,37,54,4,3096,0,2070,0,896,20
2020-09-07,36,55,3,3099,1,2071,0,896,21
2020-09-08,33,56,3,3103,0,2071,1,897,25
2020-09-09,33,55,2,3106,2,2073,1,898,24
2020-09-10,34,58,5,3111,2,2075,1,899,22
2020-09-11,36,63,6,3117,1,2076,0,899,23
2020-09-12,37,67,6,3123,1,2077,0,899,24
2020-09-13,38,69,4,3127,0,2077,0,899,24
2020-09-14,40,79,9,3137,3,2080,1,900,25
2020-09-15,40,80,5,3142,4,2084,1,901,26
2020-09-16,41,75,1,3143,1,2085,1,902,28
2020-09-17,42,75,4,3147,5,2090,0,902,26
2020-09-18,42,79,6,3154,2,2092,0,902,26
2020-09-19,46,90,13,3167,2,2094,1,903,25
2020-09-20,47,103,14,3182,0,2094,1,904,28
2020-09-21,48,112,11,3195,3,2097,3,907,25
2020-09-22,51,119,10,3206,3,2100,0,907,26
2020-09-23,53,127,12,3218,5,2105,1,908,25
2020-09-24,57,134,10,3229,2,2107,1,909,26
2020-09-25,58,148,17,3247,4,2111,2,911,26
2020-09-26,60,153,13,3260,1,2112,1,912,31
2020-09-27,60,165,19,3279,0,2112,2,914,38
2020-09-28,62,172,15,3294,4,2116,2,916,46
2020-09-29,63,181,23,3317,3,2119,2,918,54
2020-09-30,63,185,17,3334,3,2122,3,921,58
2020-10-01,65,190,14,3347,8,2130,4,925,58
2020-10-02,64,190,12,3361,4,2134,0,925,63
2020-10-03,68,199,18,3380,4,2138,2,927,67
2020-10-04,67,211,22,3402,4,2142,5,932,70
2020-10-05,66,225,26,3430,4,2146,3,935,73
2020-10-06,68,246,32,3463,13,2159,2,937,76
2020-10-07,68,259,29,3493,10,2169,4,941,77
2020-10-08,68,265,23,3516,6,2175,3,944,79
2020-10-09,69,281,27,3543,9,2184,11,955,86
2020-10-10,69,280,26,3570,10,2194,3,958,85
2020-10-11,69,286,19,3589,5,2199,7,965,93
2020-10-12,68,310,38,3631,11,2210,4,969,94
2020-10-13,72,329,35,3668,13,2223,3,972,93
2020-10-14,73,346,35,3703,7,2230,6,978,99
2020-10-15,73,367,40,3742,9,2239,2,980,109
2020-10-16,74,405,54,3798,21,2260,12,992,109
2020-10-17,75,400,31,3830,6,2266,6,998,114
2020-10-18,74,419,40,3870,5,2271,5,1003,125
2020-10-19,75,457,58,3930,11,2282,5,1008,133
2020-10-20,74,484,49,3981,17,2299,8,1016,135
2020-10-21,75,500,49,4031,13,2312,10,1026,143
2020-10-22,74,513,42,4074,22,2334,8,1034,151
2020-10-23,74,525,48,4125,18,2352,18,1052,148
2020-10-24,74,533,38,4166,11,2363,8,1060,164
2020-10-25,73,547,48,4214,11,2374,15,1075,170
2020-10-26,75,573,58,4272,17,2391,6,1081,186
2020-10-27,76,587,49,4324,28,2419,12,1093,180
2020-10-28,76,605,52,4378,22,2441,6,1099,190
2020-10-29,76,614,45,4424,21,2462,9,1108,190
2020-10-30,74,623,39,4467,23,2485,12,1120,195
2020-10-31,75,630,47,4516,9,2494,17,1137,201
2020-11-01,77,636,41,4559,8,2502,10,1147,217
2020-11-02,77,662,59,4620,26,2528,10,1157,219
2020-11-03,77,661,31,4655,26,2554,11,1168,218
2020-11-04,76,665,39,4695,29,2583,13,1181,214
2020-11-05,76,660,35,4732,32,2615,16,1197,204
2020-11-06,76,656,35,4767,26,2641,15,1212,209
2020-11-07,76,647,36,4806,9,2650,13,1225,224
2020-11-08,76,651,43,4850,11,2661,11,1236,242
2020-11-09,77,654,41,4892,34,2695,13,1249,231
2020-11-10,77,655,36,4931,28,2723,15,1264,227
2020-11-11,77,651,35,4967,29,2752,11,1275,221
2020-11-12,77,655,39,5008,27,2779,12,1287,212
2020-11-13,77,657,31,5039,39,2818,15,1302,211
2020-11-14,77,625,23,5062,7,2825,11,1313,225
2020-11-15,76,627,34,5096,8,2833,18,1331,241
2020-11-16,76,623,36,5132,26,2859,16,1347,240
2020-11-17,76,610,26,5162,32,2891,17,1364,236
2020-11-18,76,594,30,5194,26,2917,12,1376,233
2020-11-19,76,597,36,5233,28,2945,13,1389,232
2020-11-20,76,589,28,5264,28,2973,14,1403,226
2020-11-21,76,573,19,5284,7,2980,13,1416,234
2020-11-22,76,570,24,5310,7,2987,14,1430,236
2020-11-23,76,571,25,5335,29,3016,16,1446,232
2020-11-24,76,565,34,5371,29,3045,14,1460,225
2020-11-25,77,571,40,5410,26,3071,14,1474,219
2020-11-26,76,566,30,5440,21,3092,14,1488,217
2020-11-27,75,549,16,5457,32,3124,8,1496,207
2020-11-28,75,541,22,5479,8,3132,14,1510,216
2020-11-29,75,526,17,5498,4,3136,10,1520,231
2020-11-30,75,523,25,5524,24,3160,12,1532,232
2020-12-01,75,517,29,5556,21,3181,11,1543,231
2020-12-02,75,516,28,5585,22,3203,12,1555,236
2020-12-03,75,506,31,5617,15,3218,8,1563,234
2020-12-04,76,515,30,5650,32,3250,11,1574,220
2020-12-05,76,510,25,5676,4,3254,11,1585,228
2020-12-06,76,512,27,5704,6,3260,10,1595,236
2020-12-07,75,508,20,5725,23,3283,8,1603,236
2020-12-08,75,516,38,5765,29,3312,13,1616,230
2020-12-09,76,511,31,5799,28,3340,11,1627,220
2020-12-10,76,517,34,5834,20,3360,9,1636,227
2020-12-11,76,512,35,5870,20,3380,8,1644,221
2020-12-12,75,510,22,5892,8,3388,6,1650,223
2020-12-13,75,536,40,5936,2,3390,8,1658,235
2020-12-14,75,540,23,5961,28,3418,7,1665,232
2020-12-15,76,554,46,6007,20,3438,7,1672,233
2020-12-16,76,565,37,6044,25,3463,15,1687,217
2020-12-17,76,590,49,6093,26,3489,9,1696,213
2020-12-18,77,597,36,6131,23,3512,7,1703,215
2020-12-19,77,610,44,6177,4,3516,12,1715,234
2020-12-20,77,629,53,6232,8,3524,16,1731,243
2020-12-21,76,629,31,6266,29,3553,12,1743,235
2020-12-22,76,636,41,6309,27,3580,10,1753,226
2020-12-23,77,655,45,6359,24,3604,10,1763,234
2020-12-24,78,658,45,6407,32,3636,13,1776,232
2020-12-25,78,650,37,6447,6,3642,14,1790,241
2020-12-26,78,664,40,6491,6,3648,9,1799,255
2020-12-27,78,679,43,6535,6,3654,13,1812,271
2020-12-28,78,715,65,6605,23,3677,11,1823,278
2020-12-29,78,735,59,6665,20,3697,8,1831,285
2020-12-30,78,748,47,6713,25,3722,12,1843,282
2020-12-31,77,745,37,6753,20,3742,15,1858,299
2021-01-01,77,734,40,6794,14,3756,10,1868,311
2021-01-02,77,738,38,6834,8,3764,14,1882,329
2021-01-03,77,741,44,6879,10,3774,16,1898,346
2021-01-04,77,759,57,6937,26,3800,13,1911,365
2021-01-05,78,756,48,6991,35,3835,19,1930,366
2021-01-06,78,744,45,7037,39,3874,12,1942,352
2021-01-07,78,743,34,7074,34,3908,21,1963,347
2021-01-08,78,735,35,7114,34,3942,22,1985,344
2021-01-09,78,714,31,7145,9,3951,12,1997,356
2021-01-10,77,715,33,7179,9,3960,7,2004,367
2021-01-11,78,728,37,7218,28,3988,17,2021,363
2021-01-12,78,731,40,7262,39,4027,8,2029,348
2021-01-13,77,737,39,7301,24,4051,14,2043,359
2021-01-14,78,725,33,7336,27,4078,8,2051,364
2021-01-15,78,718,31,7371,26,4104,11,2062,368
2021-01-16,77,697,23,7395,3,4107,8,2070,375
2021-01-17,77,687,10,7405,0,4107,1,2071,377
