Datum,Type,Aantal
2020-02-27,icCount,3
2020-02-27,intakeCumulative,6
2020-02-27,newIntake,0
2020-02-27,intakeCount,7
2020-02-27,diedCumulative,0
2020-02-27,survivedCumulative,0
2020-02-28,newIntake,0
2020-02-28,diedCumulative,0
2020-02-28,intakeCumulative,7
2020-02-28,survivedCumulative,0
2020-02-28,icCount,4
2020-02-28,intakeCount,8
2020-02-29,icCount,3
2020-02-29,intakeCumulative,8
2020-02-29,newIntake,0
2020-02-29,intakeCount,9
2020-02-29,survivedCumulative,0
2020-02-29,diedCumulative,0
2020-03-01,intakeCount,11
2020-03-01,diedCumulative,0
2020-03-01,intakeCumulative,10
2020-03-01,survivedCumulative,1
2020-03-01,icCount,4
2020-03-01,newIntake,2
2020-03-02,newIntake,0
2020-03-02,diedCumulative,0
2020-03-02,intakeCount,10
2020-03-02,survivedCumulative,1
2020-03-02,intakeCumulative,10
2020-03-02,icCount,4
2020-03-03,intakeCount,11
2020-03-03,intakeCumulative,11
2020-03-03,diedCumulative,0
2020-03-03,survivedCumulative,1
2020-03-03,newIntake,1
2020-03-03,icCount,5
2020-03-04,icCount,7
2020-03-04,intakeCumulative,14
2020-03-04,diedCumulative,0
2020-03-04,newIntake,3
2020-03-04,survivedCumulative,1
2020-03-04,intakeCount,14
2020-03-05,newIntake,1
2020-03-05,survivedCumulative,1
2020-03-05,diedCumulative,0
2020-03-05,intakeCount,15
2020-03-05,icCount,7
2020-03-05,intakeCumulative,16
2020-03-06,icCount,10
2020-03-06,intakeCumulative,19
2020-03-06,intakeCount,18
2020-03-06,diedCumulative,0
2020-03-06,survivedCumulative,2
2020-03-06,newIntake,3
2020-03-07,icCount,11
2020-03-07,intakeCount,20
2020-03-07,diedCumulative,0
2020-03-07,survivedCumulative,1
2020-03-07,intakeCumulative,22
2020-03-07,newIntake,3
2020-03-08,intakeCount,26
2020-03-08,survivedCumulative,1
2020-03-08,diedCumulative,2
2020-03-08,icCount,15
2020-03-08,newIntake,6
2020-03-08,intakeCumulative,28
2020-03-09,survivedCumulative,2
2020-03-09,intakeCumulative,37
2020-03-09,icCount,17
2020-03-09,newIntake,6
2020-03-09,diedCumulative,2
2020-03-09,intakeCount,32
2020-03-10,intakeCumulative,48
2020-03-10,newIntake,9
2020-03-10,intakeCount,39
2020-03-10,diedCumulative,2
2020-03-10,icCount,18
2020-03-10,survivedCumulative,2
2020-03-11,newIntake,8
2020-03-11,intakeCount,49
2020-03-11,icCount,21
2020-03-11,intakeCumulative,59
2020-03-11,survivedCumulative,2
2020-03-11,diedCumulative,3
2020-03-12,icCount,28
2020-03-12,survivedCumulative,2
2020-03-12,diedCumulative,4
2020-03-12,newIntake,23
2020-03-12,intakeCumulative,82
2020-03-12,intakeCount,70
2020-03-13,intakeCount,81
2020-03-13,diedCumulative,4
2020-03-13,newIntake,14
2020-03-13,survivedCumulative,2
2020-03-13,intakeCumulative,96
2020-03-13,icCount,31
2020-03-14,survivedCumulative,5
2020-03-14,intakeCumulative,114
2020-03-14,diedCumulative,4
2020-03-14,icCount,39
2020-03-14,intakeCount,97
2020-03-14,newIntake,17
2020-03-15,diedCumulative,7
2020-03-15,icCount,47
2020-03-15,intakeCumulative,143
2020-03-15,newIntake,27
2020-03-15,intakeCount,122
2020-03-15,survivedCumulative,7
2020-03-16,icCount,53
2020-03-16,survivedCumulative,9
2020-03-16,intakeCount,151
2020-03-16,intakeCumulative,176
2020-03-16,newIntake,32
2020-03-16,diedCumulative,12
2020-03-17,survivedCumulative,12
2020-03-17,intakeCount,178
2020-03-17,intakeCumulative,211
2020-03-17,newIntake,33
2020-03-17,diedCumulative,14
2020-03-17,icCount,56
2020-03-18,icCount,60
2020-03-18,newIntake,51
2020-03-18,intakeCount,228
2020-03-18,survivedCumulative,14
2020-03-18,intakeCumulative,266
2020-03-18,diedCumulative,18
2020-03-19,intakeCumulative,335
2020-03-19,intakeCount,289
2020-03-19,newIntake,58
2020-03-19,diedCumulative,25
2020-03-19,survivedCumulative,17
2020-03-19,icCount,69
2020-03-20,icCount,70
2020-03-20,survivedCumulative,25
2020-03-20,newIntake,84
2020-03-20,diedCumulative,30
2020-03-20,intakeCumulative,424
2020-03-20,intakeCount,364
2020-03-21,icCount,70
2020-03-21,survivedCumulative,34
2020-03-21,newIntake,72
2020-03-21,diedCumulative,42
2020-03-21,intakeCount,430
2020-03-21,intakeCumulative,505
2020-03-22,intakeCount,480
2020-03-22,icCount,70
2020-03-22,diedCumulative,47
2020-03-22,survivedCumulative,36
2020-03-22,intakeCumulative,578
2020-03-22,newIntake,70
2020-03-23,intakeCumulative,679
2020-03-23,intakeCount,573
2020-03-23,newIntake,99
2020-03-23,survivedCumulative,48
2020-03-23,diedCumulative,64
2020-03-23,icCount,72
2020-03-24,intakeCumulative,792
2020-03-24,intakeCount,655
2020-03-24,survivedCumulative,56
2020-03-24,diedCumulative,71
2020-03-24,newIntake,107
2020-03-24,icCount,73
2020-03-25,diedCumulative,83
2020-03-25,intakeCount,753
2020-03-25,icCount,74
2020-03-25,intakeCumulative,911
2020-03-25,survivedCumulative,68
2020-03-25,newIntake,114
2020-03-26,intakeCount,837
2020-03-26,intakeCumulative,1023
2020-03-26,newIntake,102
2020-03-26,icCount,74
2020-03-26,diedCumulative,106
2020-03-26,survivedCumulative,72
2020-03-27,diedCumulative,120
2020-03-27,newIntake,111
2020-03-27,intakeCumulative,1143
2020-03-27,intakeCount,925
2020-03-27,icCount,74
2020-03-27,survivedCumulative,91
2020-03-28,newIntake,98
2020-03-28,survivedCumulative,110
2020-03-28,intakeCount,993
2020-03-28,intakeCumulative,1252
2020-03-28,icCount,74
2020-03-28,diedCumulative,137
2020-03-29,intakeCumulative,1349
2020-03-29,icCount,74
2020-03-29,survivedCumulative,122
2020-03-29,newIntake,87
2020-03-29,intakeCount,1042
2020-03-29,diedCumulative,163
2020-03-30,intakeCumulative,1485
2020-03-30,survivedCumulative,142
2020-03-30,diedCumulative,182
2020-03-30,newIntake,127
2020-03-30,intakeCount,1129
2020-03-30,icCount,74
2020-03-31,survivedCumulative,154
2020-03-31,icCount,74
2020-03-31,diedCumulative,213
2020-03-31,intakeCount,1191
2020-03-31,intakeCumulative,1596
2020-03-31,newIntake,109
2020-04-01,intakeCumulative,1670
2020-04-01,intakeCount,1209
2020-04-01,icCount,75
2020-04-01,diedCumulative,233
2020-04-01,survivedCumulative,169
2020-04-01,newIntake,71
2020-04-02,diedCumulative,256
2020-04-02,newIntake,88
2020-04-02,intakeCount,1254
2020-04-02,survivedCumulative,185
2020-04-02,icCount,75
2020-04-02,intakeCumulative,1772
2020-04-03,diedCumulative,289
2020-04-03,icCount,75
2020-04-03,survivedCumulative,196
2020-04-03,newIntake,77
2020-04-03,intakeCumulative,1853
2020-04-03,intakeCount,1283
2020-04-04,diedCumulative,308
2020-04-04,intakeCumulative,1919
2020-04-04,intakeCount,1286
2020-04-04,survivedCumulative,219
2020-04-04,icCount,74
2020-04-04,newIntake,60
2020-04-05,intakeCumulative,1995
2020-04-05,diedCumulative,330
2020-04-05,survivedCumulative,243
2020-04-05,icCount,75
2020-04-05,intakeCount,1304
2020-04-05,newIntake,69
2020-04-06,diedCumulative,347
2020-04-06,intakeCount,1313
2020-04-06,survivedCumulative,262
2020-04-06,icCount,74
2020-04-06,intakeCumulative,2059
2020-04-06,newIntake,62
2020-04-07,diedCumulative,379
2020-04-07,intakeCumulative,2122
2020-04-07,newIntake,58
2020-04-07,survivedCumulative,299
2020-04-07,intakeCount,1322
2020-04-07,icCount,75
2020-04-08,diedCumulative,395
2020-04-08,survivedCumulative,325
2020-04-08,intakeCumulative,2185
2020-04-08,intakeCount,1292
2020-04-08,icCount,75
2020-04-08,newIntake,57
2020-04-09,survivedCumulative,338
2020-04-09,icCount,75
2020-04-09,diedCumulative,406
2020-04-09,intakeCumulative,2241
2020-04-09,intakeCount,1290
2020-04-09,newIntake,53
2020-04-10,intakeCount,1298
2020-04-10,survivedCumulative,351
2020-04-10,icCount,74
2020-04-10,intakeCumulative,2294
2020-04-10,diedCumulative,435
2020-04-10,newIntake,48
2020-04-11,intakeCumulative,2324
2020-04-11,survivedCumulative,377
2020-04-11,newIntake,26
2020-04-11,diedCumulative,450
2020-04-11,icCount,74
2020-04-11,intakeCount,1261
2020-04-12,diedCumulative,463
2020-04-12,intakeCount,1242
2020-04-12,newIntake,35
2020-04-12,intakeCumulative,2362
2020-04-12,survivedCumulative,405
2020-04-12,icCount,74
2020-04-13,intakeCount,1228
2020-04-13,newIntake,44
2020-04-13,survivedCumulative,435
2020-04-13,icCount,75
2020-04-13,diedCumulative,485
2020-04-13,intakeCumulative,2409
2020-04-14,newIntake,35
2020-04-14,intakeCount,1205
2020-04-14,icCount,75
2020-04-14,diedCumulative,495
2020-04-14,intakeCumulative,2449
2020-04-14,survivedCumulative,445
2020-04-15,diedCumulative,515
2020-04-15,intakeCumulative,2475
2020-04-15,newIntake,22
2020-04-15,icCount,75
2020-04-15,survivedCumulative,459
2020-04-15,intakeCount,1181
2020-04-16,diedCumulative,533
2020-04-16,icCount,75
2020-04-16,newIntake,29
2020-04-16,survivedCumulative,460
2020-04-16,intakeCount,1146
2020-04-16,intakeCumulative,2506
2020-04-17,newIntake,26
2020-04-17,intakeCount,1117
2020-04-17,survivedCumulative,473
2020-04-17,diedCumulative,552
2020-04-17,intakeCumulative,2534
2020-04-17,icCount,76
2020-04-18,icCount,75
2020-04-18,survivedCumulative,498
2020-04-18,newIntake,17
2020-04-18,intakeCount,1068
2020-04-18,intakeCumulative,2551
2020-04-18,diedCumulative,564
2020-04-19,survivedCumulative,521
2020-04-19,intakeCount,1040
2020-04-19,newIntake,19
2020-04-19,intakeCumulative,2574
2020-04-19,diedCumulative,580
2020-04-19,icCount,75
2020-04-20,newIntake,26
2020-04-20,intakeCumulative,2602
2020-04-20,survivedCumulative,523
2020-04-20,icCount,75
2020-04-20,intakeCount,1019
2020-04-20,diedCumulative,599
2020-04-21,diedCumulative,619
