Datum,Type,Waarde
2020-05-29,Geschat aantal besmettelijke mensen,9.9
2020-05-29,Maximum aantal besmettelijke mensen,13.2
2020-05-29,Minimum aantal besmettelijke mensen,6.8
2020-06-26,Geschat aantal besmettelijke mensen,16.1
2020-06-26,Maximum aantal besmettelijke mensen,23.6
2020-06-26,Minimum aantal besmettelijke mensen,9.2
2020-07-03,Geschat aantal besmettelijke mensen,14.3
2020-07-03,Maximum aantal besmettelijke mensen,29.0
2020-07-03,Minimum aantal besmettelijke mensen,4.3
2020-07-10,Geschat aantal besmettelijke mensen,15.7
2020-07-10,Maximum aantal besmettelijke mensen,34.1
2020-07-10,Minimum aantal besmettelijke mensen,4.5
