Datum,Type,Waarde
2020-04-01,Reproductie index,0.69
2020-04-02,Reproductie index,0.69
2020-04-03,Reproductie index,0.72
2020-04-04,Reproductie index,0.75
2020-04-05,Reproductie index,0.77
2020-04-06,Reproductie index,0.8
2020-04-07,Reproductie index,0.81
2020-04-08,Reproductie index,0.79
2020-04-09,Reproductie index,0.74
2020-04-10,Reproductie index,0.7
2020-04-11,Reproductie index,0.69
2020-04-12,Reproductie index,0.7
2020-04-13,Reproductie index,0.73
2020-04-14,Reproductie index,0.76
2020-04-15,Reproductie index,0.78
2020-04-16,Reproductie index,0.79
2020-04-17,Reproductie index,0.78
2020-04-18,Reproductie index,0.77
2020-04-19,Reproductie index,0.74
2020-04-20,Reproductie index,0.73
2020-04-21,Reproductie index,0.76
2020-04-22,Reproductie index,0.79
2020-04-23,Reproductie index,0.82
2020-04-24,Reproductie index,0.84
2020-04-25,Reproductie index,0.84
2020-04-26,Reproductie index,0.84
2020-04-27,Reproductie index,0.82
2020-04-28,Reproductie index,0.81
2020-04-29,Reproductie index,0.79
2020-04-30,Reproductie index,0.76
2020-02-17,Reproductie index,1.97
2020-02-18,Reproductie index,1.76
2020-02-19,Reproductie index,1.6
2020-02-20,Reproductie index,1.76
2020-02-21,Reproductie index,2.07
2020-02-22,Reproductie index,2.21
2020-02-23,Reproductie index,2.22
2020-02-24,Reproductie index,2.24
2020-02-25,Reproductie index,2.18
2020-02-26,Reproductie index,2.05
2020-02-27,Reproductie index,2.05
2020-02-28,Reproductie index,2.09
2020-02-29,Reproductie index,1.98
2020-03-01,Reproductie index,1.82
2020-03-02,Reproductie index,1.79
2020-03-03,Reproductie index,1.82
2020-03-04,Reproductie index,1.85
2020-03-05,Reproductie index,1.86
2020-03-06,Reproductie index,1.9
2020-03-07,Reproductie index,1.91
2020-03-08,Reproductie index,1.81
2020-03-09,Reproductie index,1.67
2020-03-10,Reproductie index,1.55
2020-03-11,Reproductie index,1.44
2020-03-12,Reproductie index,1.34
2020-03-13,Reproductie index,1.25
2020-03-14,Reproductie index,1.16
2020-03-15,Reproductie index,1.04
2020-03-16,Reproductie index,0.96
2020-03-17,Reproductie index,0.92
2020-03-18,Reproductie index,0.88
2020-03-19,Reproductie index,0.84
2020-03-20,Reproductie index,0.81
2020-03-21,Reproductie index,0.79
2020-03-22,Reproductie index,0.75
2020-03-23,Reproductie index,0.72
2020-03-24,Reproductie index,0.71
2020-03-25,Reproductie index,0.71
2020-03-26,Reproductie index,0.72
2020-03-27,Reproductie index,0.74
2020-03-28,Reproductie index,0.76
2020-03-29,Reproductie index,0.77
2020-03-30,Reproductie index,0.75
2020-03-31,Reproductie index,0.72
2020-05-01,Reproductie index,0.75
2020-05-02,Reproductie index,0.76
2020-05-03,Reproductie index,0.77
2020-05-04,Reproductie index,0.79
2020-05-05,Reproductie index,0.82
2020-05-06,Reproductie index,0.85
2020-05-07,Reproductie index,0.87
2020-05-08,Reproductie index,0.88
2020-05-09,Reproductie index,0.88
2020-05-10,Reproductie index,0.85
2020-05-11,Reproductie index,0.84
2020-05-12,Reproductie index,0.85
2020-05-13,Reproductie index,0.86
2020-05-14,Reproductie index,0.85
2020-05-15,Reproductie index,0.87
2020-05-16,Reproductie index,
2020-05-17,Reproductie index,
2020-05-18,Reproductie index,
2020-05-19,Reproductie index,
2020-05-20,Reproductie index,
2020-05-21,Reproductie index,
2020-05-22,Reproductie index,
2020-05-23,Reproductie index,
2020-05-24,Reproductie index,
2020-05-25,Reproductie index,
2020-05-26,Reproductie index,
2020-05-27,Reproductie index,
2020-05-28,Reproductie index,
2020-04-01,Minimum,0.59
2020-04-02,Minimum,0.58
2020-04-03,Minimum,0.59
2020-04-04,Minimum,0.61
2020-04-05,Minimum,0.62
2020-04-06,Minimum,0.65
2020-04-07,Minimum,0.66
2020-04-08,Minimum,0.62
2020-04-09,Minimum,0.58
2020-04-10,Minimum,0.57
2020-04-11,Minimum,0.53
2020-04-12,Minimum,0.54
2020-04-13,Minimum,0.55
2020-04-14,Minimum,0.56
2020-04-15,Minimum,0.57
2020-04-16,Minimum,0.57
2020-04-17,Minimum,0.58
2020-04-18,Minimum,0.56
2020-04-19,Minimum,0.5
2020-04-20,Minimum,0.53
2020-04-21,Minimum,0.51
2020-04-22,Minimum,0.51
2020-04-23,Minimum,0.56
2020-04-24,Minimum,0.53
2020-04-25,Minimum,0.57
2020-04-26,Minimum,0.52
2020-04-27,Minimum,0.54
2020-04-28,Minimum,0.52
2020-04-29,Minimum,0.48
2020-04-30,Minimum,0.44
2020-02-17,Minimum,0.5
2020-02-18,Minimum,0.0
2020-02-19,Minimum,0.5
2020-02-20,Minimum,0.83
2020-02-21,Minimum,0.75
2020-02-22,Minimum,0.0
2020-02-23,Minimum,1.17
2020-02-24,Minimum,1.33
2020-02-25,Minimum,1.25
2020-02-26,Minimum,1.33
2020-02-27,Minimum,1.48
2020-02-28,Minimum,1.5
2020-02-29,Minimum,1.37
2020-03-01,Minimum,1.43
2020-03-02,Minimum,1.45
2020-03-03,Minimum,1.45
2020-03-04,Minimum,1.5
2020-03-05,Minimum,1.57
2020-03-06,Minimum,1.63
