Datum,Type,AantalCumulatief
2020-04-11,Cardio-vasculaire aandoeningen en hypertensie,73
2020-04-11,Chronische longaandoeningen,49
2020-04-11,Chronische neurologische of neuromusculaire aandoeningen,21
2020-04-11,Diabetes,52
2020-04-11,Immuundeficientie,5
2020-04-11,Leveraandoening,8
2020-04-11,Maligniteit,37
2020-04-11,Nieraandoening,12
2020-04-11,Overig,102
2020-04-11,Zwangerschap,0
2020-04-12,Cardio-vasculaire aandoeningen en hypertensie,80
2020-04-12,Chronische longaandoeningen,50
2020-04-12,Chronische neurologische of neuromusculaire aandoeningen,22
2020-04-12,Diabetes,54
2020-04-12,Immuundeficientie,5
2020-04-12,Leveraandoening,8
2020-04-12,Maligniteit,38
2020-04-12,Nieraandoening,12
2020-04-12,Overig,106
2020-04-12,Zwangerschap,0
2020-04-13,Cardio-vasculaire aandoeningen en hypertensie,85
2020-04-13,Chronische longaandoeningen,51
2020-04-13,Chronische neurologische of neuromusculaire aandoeningen,23
2020-04-13,Diabetes,58
2020-04-13,Immuundeficientie,5
2020-04-13,Leveraandoening,8
2020-04-13,Maligniteit,39
2020-04-13,Nieraandoening,12
2020-04-13,Overig,111
2020-04-13,Zwangerschap,0
2020-04-14,Cardio-vasculaire aandoeningen en hypertensie,90
2020-04-14,Chronische longaandoeningen,55
2020-04-14,Chronische neurologische of neuromusculaire aandoeningen,23
2020-04-14,Diabetes,61
2020-04-14,Immuundeficientie,5
2020-04-14,Leveraandoening,8
2020-04-14,Maligniteit,40
2020-04-14,Nieraandoening,13
2020-04-14,Overig,114
2020-04-14,Zwangerschap,0
2020-04-15,Cardio-vasculaire aandoeningen en hypertensie,96
2020-04-15,Chronische longaandoeningen,59
2020-04-15,Chronische neurologische of neuromusculaire aandoeningen,25
2020-04-15,Diabetes,65
2020-04-15,Immuundeficientie,5
2020-04-15,Leveraandoening,10
2020-04-15,Maligniteit,42
2020-04-15,Nieraandoening,15
2020-04-15,Overig,116
2020-04-15,Zwangerschap,0
2020-04-16,Cardio-vasculaire aandoeningen en hypertensie,101
2020-04-16,Chronische longaandoeningen,62
2020-04-16,Chronische neurologische of neuromusculaire aandoeningen,28
2020-04-16,Diabetes,68
2020-04-16,Immuundeficientie,5
2020-04-16,Leveraandoening,9
2020-04-16,Maligniteit,42
2020-04-16,Nieraandoening,16
2020-04-16,Overig,118
2020-04-16,Zwangerschap,0
2020-04-17,Cardio-vasculaire aandoeningen en hypertensie,104
2020-04-17,Chronische longaandoeningen,66
2020-04-17,Chronische neurologische of neuromusculaire aandoeningen,29
2020-04-17,Diabetes,69
2020-04-17,Immuundeficientie,5
2020-04-17,Leveraandoening,9
2020-04-17,Maligniteit,43
2020-04-17,Nieraandoening,16
2020-04-17,Overig,121
2020-04-17,Zwangerschap,0
2020-04-18,Cardio-vasculaire aandoeningen en hypertensie,110
2020-04-18,Chronische longaandoeningen,69
2020-04-18,Chronische neurologische of neuromusculaire aandoeningen,29
2020-04-18,Diabetes,77
2020-04-18,Immuundeficientie,5
2020-04-18,Leveraandoening,10
2020-04-18,Maligniteit,43
2020-04-18,Nieraandoening,17
2020-04-18,Overig,129
2020-04-18,Zwangerschap,0
2020-04-19,Cardio-vasculaire aandoeningen en hypertensie,117
2020-04-19,Chronische longaandoeningen,72
2020-04-19,Chronische neurologische of neuromusculaire aandoeningen,30
2020-04-19,Diabetes,82
2020-04-19,Immuundeficientie,6
2020-04-19,Leveraandoening,10
2020-04-19,Maligniteit,43
2020-04-19,Nieraandoening,18
2020-04-19,Overig,134
2020-04-19,Zwangerschap,0
2020-04-20,Cardio-vasculaire aandoeningen en hypertensie,118
2020-04-20,Chronische longaandoeningen,72
2020-04-20,Chronische neurologische of neuromusculaire aandoeningen,30
2020-04-20,Diabetes,83
2020-04-20,Immuundeficientie,6
2020-04-20,Leveraandoening,10
2020-04-20,Maligniteit,43
2020-04-20,Nieraandoening,18
2020-04-20,Overig,135
2020-04-20,Zwangerschap,0
2020-04-21,Cardio-vasculaire aandoeningen en hypertensie,121
2020-04-21,Chronische longaandoeningen,73
2020-04-21,Chronische neurologische of neuromusculaire aandoeningen,31
2020-04-21,Diabetes,84
2020-04-21,Immuundeficientie,6
2020-04-21,Leveraandoening,10
2020-04-21,Maligniteit,43
2020-04-21,Nieraandoening,19
2020-04-21,Overig,136
2020-04-21,Zwangerschap,0
2020-04-22,Cardio-vasculaire aandoeningen en hypertensie,127
2020-04-22,Chronische longaandoeningen,75
2020-04-22,Chronische neurologische of neuromusculaire aandoeningen,33
2020-04-22,Diabetes,86
2020-04-22,Immuundeficientie,6
2020-04-22,Leveraandoening,11
2020-04-22,Maligniteit,46
2020-04-22,Nieraandoening,19
2020-04-22,Overig,140
2020-04-22,Zwangerschap,0
2020-04-23,Cardio-vasculaire aandoeningen en hypertensie,129
2020-04-23,Chronische longaandoeningen,77
2020-04-23,Chronische neurologische of neuromusculaire aandoeningen,34
2020-04-23,Diabetes,88
2020-04-23,Immuundeficientie,6
2020-04-23,Leveraandoening,11
2020-04-23,Maligniteit,47
2020-04-23,Nieraandoening,20
2020-04-23,Overig,145
2020-04-23,Zwangerschap,0
