Datum,Type,AantalCumulatief
2020-04-11,Totaal gemeld,314
2020-04-11,Onderliggende aandoening en/of zwangerschap,218
2020-04-11,Niet vermeld,66
2020-04-11,Geen onderliggende aandoening,30
2020-04-12,Totaal gemeld,330
2020-04-12,Onderliggende aandoening en/of zwangerschap,228
2020-04-12,Niet vermeld,72
2020-04-12,Geen onderliggende aandoening,30
2020-04-13,Totaal gemeld,344
2020-04-13,Onderliggende aandoening en/of zwangerschap,239
2020-04-13,Niet vermeld,72
2020-04-13,Geen onderliggende aandoening,33
2020-04-14,Totaal gemeld,364
2020-04-14,Onderliggende aandoening en/of zwangerschap,252
2020-04-14,Niet vermeld,78
2020-04-14,Geen onderliggende aandoening,34
2020-04-15,Totaal gemeld,387
2020-04-15,Onderliggende aandoening en/of zwangerschap,266
2020-04-15,Niet vermeld,85
2020-04-15,Geen onderliggende aandoening,36
2020-04-16,Totaal gemeld,402
2020-04-16,Onderliggende aandoening en/of zwangerschap,274
2020-04-16,Niet vermeld,90
2020-04-16,Geen onderliggende aandoening,38
2020-04-17,Totaal gemeld,415
2020-04-17,Onderliggende aandoening en/of zwangerschap,284
2020-04-17,Niet vermeld,93
2020-04-17,Geen onderliggende aandoening,38
2020-04-18,Totaal gemeld,431
2020-04-18,Onderliggende aandoening en/of zwangerschap,299
2020-04-18,Niet vermeld,94
2020-04-18,Geen onderliggende aandoening,38
2020-04-19,Totaal gemeld,442
2020-04-19,Onderliggende aandoening en/of zwangerschap,308
2020-04-19,Niet vermeld,95
2020-04-19,Geen onderliggende aandoening,39
2020-04-20,Totaal gemeld,447
2020-04-20,Onderliggende aandoening en/of zwangerschap,311
2020-04-20,Niet vermeld,96
2020-04-20,Geen onderliggende aandoening,40
2020-04-21,Totaal gemeld,460
2020-04-21,Onderliggende aandoening en/of zwangerschap,316
2020-04-21,Niet vermeld,103
2020-04-21,Geen onderliggende aandoening,41
2020-04-22,Totaal gemeld,475
2020-04-22,Onderliggende aandoening en/of zwangerschap,327
2020-04-22,Niet vermeld,103
2020-04-22,Geen onderliggende aandoening,45
2020-04-23,Totaal gemeld,486
2020-04-23,Onderliggende aandoening en/of zwangerschap,337
2020-04-23,Niet vermeld,104
2020-04-23,Geen onderliggende aandoening,45
2020-04-24,Totaal gemeld,503
2020-04-24,Onderliggende aandoening en/of zwangerschap,349
2020-04-24,Niet vermeld,107
2020-04-24,Geen onderliggende aandoening,47
2020-04-25,Totaal gemeld,515
2020-04-25,Onderliggende aandoening en/of zwangerschap,357
2020-04-25,Niet vermeld,110
2020-04-25,Geen onderliggende aandoening,48
2020-04-26,Totaal gemeld,521
2020-04-26,Onderliggende aandoening en/of zwangerschap,362
2020-04-26,Niet vermeld,110
2020-04-26,Geen onderliggende aandoening,49
2020-04-27,Totaal gemeld,525
2020-04-27,Onderliggende aandoening en/of zwangerschap,364
2020-04-27,Niet vermeld,111
2020-04-27,Geen onderliggende aandoening,50
2020-04-28,Totaal gemeld,531
2020-04-28,Onderliggende aandoening en/of zwangerschap,366
2020-04-28,Niet vermeld,112
2020-04-28,Geen onderliggende aandoening,53
2020-04-29,Totaal gemeld,547
2020-04-29,Onderliggende aandoening en/of zwangerschap,378
2020-04-29,Niet vermeld,116
2020-04-29,Geen onderliggende aandoening,53
2020-04-30,Totaal gemeld,556
2020-04-30,Onderliggende aandoening en/of zwangerschap,385
2020-04-30,Niet vermeld,117
2020-04-30,Geen onderliggende aandoening,54
2020-05-01,Totaal gemeld,570
2020-05-01,Onderliggende aandoening en/of zwangerschap,400
2020-05-01,Niet vermeld,116
2020-05-01,Geen onderliggende aandoening,54
2020-05-02,Totaal gemeld,578
2020-05-02,Onderliggende aandoening en/of zwangerschap,405
2020-05-02,Niet vermeld,119
2020-05-02,Geen onderliggende aandoening,54
2020-05-03,Totaal gemeld,582
2020-05-03,Onderliggende aandoening en/of zwangerschap,407
2020-05-03,Niet vermeld,120
2020-05-03,Geen onderliggende aandoening,55
2020-05-04,Totaal gemeld,584
2020-05-04,Onderliggende aandoening en/of zwangerschap,407
2020-05-04,Niet vermeld,121
2020-05-04,Geen onderliggende aandoening,56
