Date,Aantal
2020-09-26,433
2020-09-27,490
2020-09-28,518
2020-09-29,551
2020-09-30,551
2020-10-01,539
2020-10-02,573
2020-10-03,585
2020-10-04,647
2020-10-05,715
2020-10-06,785
2020-10-07,811
2020-10-08,842
2020-10-09,900
2020-10-10,955
2020-10-11,986
2020-10-12,1046
2020-10-13,1133
2020-10-14,1174
2020-10-15,1213
2020-10-16,1208
2020-10-17,1216
2020-10-18,1288
2020-10-19,1359
2020-10-20,1440
2020-10-21,1493
2020-10-22,1540
2020-10-23,1601
2020-10-24,1614
2020-10-25,1657
2020-10-26,1743
2020-10-27,1829
2020-10-28,1831
