Datum,Bron,LeeftijdGroep,Type,Aantal
2020-03-23,RIVM_report_20200323,0-4,Totaal,14
2020-03-23,RIVM_report_20200323,5-9,Totaal,6
2020-03-23,RIVM_report_20200323,10-14,Totaal,27
2020-03-23,RIVM_report_20200323,15-19,Totaal,37
2020-03-23,RIVM_report_20200323,20-24,Totaal,90
2020-03-23,RIVM_report_20200323,25-29,Totaal,250
2020-03-23,RIVM_report_20200323,30-34,Totaal,267
2020-03-23,RIVM_report_20200323,35-39,Totaal,227
2020-03-23,RIVM_report_20200323,40-44,Totaal,209
2020-03-23,RIVM_report_20200323,45-49,Totaal,370
2020-03-23,RIVM_report_20200323,50-54,Totaal,383
2020-03-23,RIVM_report_20200323,55-59,Totaal,449
2020-03-23,RIVM_report_20200323,60-64,Totaal,367
2020-03-23,RIVM_report_20200323,65-69,Totaal,353
2020-03-23,RIVM_report_20200323,70-74,Totaal,403
2020-03-23,RIVM_report_20200323,75-79,Totaal,413
2020-03-23,RIVM_report_20200323,80-84,Totaal,409
2020-03-23,RIVM_report_20200323,85-89,Totaal,288
2020-03-23,RIVM_report_20200323,90-94,Totaal,127
2020-03-23,RIVM_report_20200323,95+,Totaal,37
2020-03-23,RIVM_report_20200323,Niet vermeld,Totaal,23
2020-03-23,RIVM_report_20200323,0-4,Ziekenhuisopname,8
2020-03-23,RIVM_report_20200323,5-9,Ziekenhuisopname,1
2020-03-23,RIVM_report_20200323,10-14,Ziekenhuisopname,2
2020-03-23,RIVM_report_20200323,15-19,Ziekenhuisopname,2
2020-03-23,RIVM_report_20200323,20-24,Ziekenhuisopname,3
2020-03-23,RIVM_report_20200323,25-29,Ziekenhuisopname,16
2020-03-23,RIVM_report_20200323,30-34,Ziekenhuisopname,16
2020-03-23,RIVM_report_20200323,35-39,Ziekenhuisopname,14
2020-03-23,RIVM_report_20200323,40-44,Ziekenhuisopname,13
2020-03-23,RIVM_report_20200323,45-49,Ziekenhuisopname,60
2020-03-23,RIVM_report_20200323,50-54,Ziekenhuisopname,73
2020-03-23,RIVM_report_20200323,55-59,Ziekenhuisopname,90
2020-03-23,RIVM_report_20200323,60-64,Ziekenhuisopname,106
2020-03-23,RIVM_report_20200323,65-69,Ziekenhuisopname,152
2020-03-23,RIVM_report_20200323,70-74,Ziekenhuisopname,168
2020-03-23,RIVM_report_20200323,75-79,Ziekenhuisopname,191
2020-03-23,RIVM_report_20200323,80-84,Ziekenhuisopname,161
2020-03-23,RIVM_report_20200323,85-89,Ziekenhuisopname,110
2020-03-23,RIVM_report_20200323,90-94,Ziekenhuisopname,36
2020-03-23,RIVM_report_20200323,95+,Ziekenhuisopname,5
2020-03-23,RIVM_report_20200323,Niet vermeld,Ziekenhuisopname,3
2020-03-23,RIVM_report_20200323,0-4,Overleden,0
2020-03-23,RIVM_report_20200323,5-9,Overleden,0
2020-03-23,RIVM_report_20200323,10-14,Overleden,0
2020-03-23,RIVM_report_20200323,15-19,Overleden,0
2020-03-23,RIVM_report_20200323,20-24,Overleden,0
2020-03-23,RIVM_report_20200323,25-29,Overleden,0
2020-03-23,RIVM_report_20200323,30-34,Overleden,0
2020-03-23,RIVM_report_20200323,35-39,Overleden,0
2020-03-23,RIVM_report_20200323,40-44,Overleden,0
2020-03-23,RIVM_report_20200323,45-49,Overleden,0
2020-03-23,RIVM_report_20200323,50-54,Overleden,0
2020-03-23,RIVM_report_20200323,55-59,Overleden,1
2020-03-23,RIVM_report_20200323,60-64,Overleden,5
2020-03-23,RIVM_report_20200323,65-69,Overleden,15
2020-03-23,RIVM_report_20200323,70-74,Overleden,20
2020-03-23,RIVM_report_20200323,75-79,Overleden,37
2020-03-23,RIVM_report_20200323,80-84,Overleden,66
2020-03-23,RIVM_report_20200323,85-89,Overleden,49
2020-03-23,RIVM_report_20200323,90-94,Overleden,14
2020-03-23,RIVM_report_20200323,95+,Overleden,5
2020-03-23,RIVM_report_20200323,Niet vermeld,Overleden,1
2020-03-24,RIVM_report_20200324,0-4,Totaal,20
2020-03-24,RIVM_report_20200324,5-9,Totaal,6
2020-03-24,RIVM_report_20200324,10-14,Totaal,28
2020-03-24,RIVM_report_20200324,15-19,Totaal,40
2020-03-24,RIVM_report_20200324,20-24,Totaal,106
2020-03-24,RIVM_report_20200324,25-29,Totaal,285
2020-03-24,RIVM_report_20200324,30-34,Totaal,294
2020-03-24,RIVM_report_20200324,35-39,Totaal,258
2020-03-24,RIVM_report_20200324,40-44,Totaal,244
2020-03-24,RIVM_report_20200324,45-49,Totaal,411
2020-03-24,RIVM_report_20200324,50-54,Totaal,449
2020-03-24,RIVM_report_20200324,55-59,Totaal,519
2020-03-24,RIVM_report_20200324,60-64,Totaal,420
2020-03-24,RIVM_report_20200324,65-69,Totaal,426
2020-03-24,RIVM_report_20200324,70-74,Totaal,476
2020-03-24,RIVM_report_20200324,75-79,Totaal,510
2020-03-24,RIVM_report_20200324,80-84,Totaal,484
2020-03-24,RIVM_report_20200324,85-89,Totaal,363
2020-03-24,RIVM_report_20200324,90-94,Totaal,154
2020-03-24,RIVM_report_20200324,95+,Totaal,42
2020-03-24,RIVM_report_20200324,Niet vermeld,Totaal,25
2020-03-24,RIVM_report_20200324,0-4,Ziekenhuisopname,10
2020-03-24,RIVM_report_20200324,5-9,Ziekenhuisopname,1
2020-03-24,RIVM_report_20200324,10-14,Ziekenhuisopname,3
2020-03-24,RIVM_report_20200324,15-19,Ziekenhuisopname,2
2020-03-24,RIVM_report_20200324,20-24,Ziekenhuisopname,4
2020-03-24,RIVM_report_20200324,25-29,Ziekenhuisopname,21
2020-03-24,RIVM_report_20200324,30-34,Ziekenhuisopname,22
2020-03-24,RIVM_report_20200324,35-39,Ziekenhuisopname,17
2020-03-24,RIVM_report_20200324,40-44,Ziekenhuisopname,20
2020-03-24,RIVM_report_20200324,45-49,Ziekenhuisopname,71
2020-03-24,RIVM_report_20200324,50-54,Ziekenhuisopname,93
2020-03-24,RIVM_report_20200324,55-59,Ziekenhuisopname,111
2020-03-24,RIVM_report_20200324,60-64,Ziekenhuisopname,124
2020-03-24,RIVM_report_20200324,65-69,Ziekenhuisopname,186
2020-03-24,RIVM_report_20200324,70-74,Ziekenhuisopname,205
2020-03-24,RIVM_report_20200324,75-79,Ziekenhuisopname,227
2020-03-24,RIVM_report_20200324,80-84,Ziekenhuisopname,192
2020-03-24,RIVM_report_20200324,85-89,Ziekenhuisopname,137
2020-03-24,RIVM_report_20200324,90-94,Ziekenhuisopname,41
2020-03-24,RIVM_report_20200324,95+,Ziekenhuisopname,5
2020-03-24,RIVM_report_20200324,Niet vermeld,Ziekenhuisopname,3
2020-03-24,RIVM_report_20200324,0-4,Overleden,0
2020-03-24,RIVM_report_20200324,5-9,Overleden,0
2020-03-24,RIVM_report_20200324,10-14,Overleden,0
2020-03-24,RIVM_report_20200324,15-19,Overleden,0
2020-03-24,RIVM_report_20200324,20-24,Overleden,0
2020-03-24,RIVM_report_20200324,25-29,Overleden,0
2020-03-24,RIVM_report_20200324,30-34,Overleden,0
2020-03-24,RIVM_report_20200324,35-39,Overleden,0
2020-03-24,RIVM_report_20200324,40-44,Overleden,0
2020-03-24,RIVM_report_20200324,45-49,Overleden,0
2020-03-24,RIVM_report_20200324,50-54,Overleden,0
2020-03-24,RIVM_report_20200324,55-59,Overleden,2
2020-03-24,RIVM_report_20200324,60-64,Overleden,6
2020-03-24,RIVM_report_20200324,65-69,Overleden,21
2020-03-24,RIVM_report_20200324,70-74,Overleden,26
2020-03-24,RIVM_report_20200324,75-79,Overleden,53
2020-03-24,RIVM_report_20200324,80-84,Overleden,83
2020-03-24,RIVM_report_20200324,85-89,Overleden,58
2020-03-24,RIVM_report_20200324,90-94,Overleden,20
2020-03-24,RIVM_report_20200324,95+,Overleden,6
2020-03-24,RIVM_report_20200324,Niet vermeld,Overleden,1
2020-03-25,RIVM_report_20200325,0-4,Totaal,24
2020-03-25,RIVM_report_20200325,5-9,Totaal,6
2020-03-25,RIVM_report_20200325,10-14,Totaal,30
2020-03-25,RIVM_report_20200325,15-19,Totaal,42
2020-03-25,RIVM_report_20200325,20-24,Totaal,119
2020-03-25,RIVM_report_20200325,25-29,Totaal,322
2020-03-25,RIVM_report_20200325,30-34,Totaal,330
2020-03-25,RIVM_report_20200325,35-39,Totaal,283
2020-03-25,RIVM_report_20200325,40-44,Totaal,282
2020-03-25,RIVM_report_20200325,45-49,Totaal,460
2020-03-25,RIVM_report_20200325,50-54,Totaal,529
2020-03-25,RIVM_report_20200325,55-59,Totaal,602
2020-03-25,RIVM_report_20200325,60-64,Totaal,487
2020-03-25,RIVM_report_20200325,65-69,Totaal,484
2020-03-25,RIVM_report_20200325,70-74,Totaal,562
2020-03-25,RIVM_report_20200325,75-79,Totaal,599
2020-03-25,RIVM_report_20200325,80-84,Totaal,574
2020-03-25,RIVM_report_20200325,85-89,Totaal,426
2020-03-25,RIVM_report_20200325,90-94,Totaal,175
2020-03-25,RIVM_report_20200325,95+,Totaal,53
2020-03-25,RIVM_report_20200325,Niet vermeld,Totaal,23
2020-03-25,RIVM_report_20200325,0-4,Ziekenhuisopname,11
2020-03-25,RIVM_report_20200325,5-9,Ziekenhuisopname,1
2020-03-25,RIVM_report_20200325,10-14,Ziekenhuisopname,4
2020-03-25,RIVM_report_20200325,15-19,Ziekenhuisopname,4
2020-03-25,RIVM_report_20200325,20-24,Ziekenhuisopname,5
2020-03-25,RIVM_report_20200325,25-29,Ziekenhuisopname,23
2020-03-25,RIVM_report_20200325,30-34,Ziekenhuisopname,28
2020-03-25,RIVM_report_20200325,35-39,Ziekenhuisopname,20
2020-03-25,RIVM_report_20200325,40-44,Ziekenhuisopname,27
2020-03-25,RIVM_report_20200325,45-49,Ziekenhuisopname,87
2020-03-25,RIVM_report_20200325,50-54,Ziekenhuisopname,115
2020-03-25,RIVM_report_20200325,55-59,Ziekenhuisopname,131
2020-03-25,RIVM_report_20200325,60-64,Ziekenhuisopname,157
2020-03-25,RIVM_report_20200325,65-69,Ziekenhuisopname,226
2020-03-25,RIVM_report_20200325,70-74,Ziekenhuisopname,265
2020-03-25,RIVM_report_20200325,75-79,Ziekenhuisopname,275
2020-03-25,RIVM_report_20200325,80-84,Ziekenhuisopname,233
2020-03-25,RIVM_report_20200325,85-89,Ziekenhuisopname,167
2020-03-25,RIVM_report_20200325,90-94,Ziekenhuisopname,47
2020-03-25,RIVM_report_20200325,95+,Ziekenhuisopname,6
2020-03-25,RIVM_report_20200325,Niet vermeld,Ziekenhuisopname,4
2020-03-25,RIVM_report_20200325,0-4,Overleden,0
2020-03-25,RIVM_report_20200325,5-9,Overleden,0
2020-03-25,RIVM_report_20200325,10-14,Overleden,0
2020-03-25,RIVM_report_20200325,15-19,Overleden,0
2020-03-25,RIVM_report_20200325,20-24,Overleden,0
2020-03-25,RIVM_report_20200325,25-29,Overleden,0
2020-03-25,RIVM_report_20200325,30-34,Overleden,0
2020-03-25,RIVM_report_20200325,35-39,Overleden,0
2020-03-25,RIVM_report_20200325,40-44,Overleden,0
2020-03-25,RIVM_report_20200325,45-49,Overleden,0
2020-03-25,RIVM_report_20200325,50-54,Overleden,2
2020-03-25,RIVM_report_20200325,55-59,Overleden,2
2020-03-25,RIVM_report_20200325,60-64,Overleden,7
2020-03-25,RIVM_report_20200325,65-69,Overleden,24
2020-03-25,RIVM_report_20200325,70-74,Overleden,33
2020-03-25,RIVM_report_20200325,75-79,Overleden,70
2020-03-25,RIVM_report_20200325,80-84,Overleden,105
2020-03-25,RIVM_report_20200325,85-89,Overleden,80
2020-03-25,RIVM_report_20200325,90-94,Overleden,23
2020-03-25,RIVM_report_20200325,95+,Overleden,9
2020-03-25,RIVM_report_20200325,Niet vermeld,Overleden,1
2020-03-26,RIVM_report_20200326,0-4,Totaal,25
2020-03-26,RIVM_report_20200326,5-9,Totaal,7
2020-03-26,RIVM_report_20200326,10-14,Totaal,31
2020-03-26,RIVM_report_20200326,15-19,Totaal,47
2020-03-26,RIVM_report_20200326,20-24,Totaal,134
2020-03-26,RIVM_report_20200326,25-29,Totaal,356
2020-03-26,RIVM_report_20200326,30-34,Totaal,364
2020-03-26,RIVM_report_20200326,35-39,Totaal,320
2020-03-26,RIVM_report_20200326,40-44,Totaal,321
2020-03-26,RIVM_report_20200326,45-49,Totaal,518
