Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-03-31,-1,,,,69
2020-03-31,3,Appingedam,Groningen,20,1
2020-03-31,10,Delfzijl,Groningen,20,4
2020-03-31,14,Groningen,Groningen,20,9
2020-03-31,24,Loppersum,Groningen,20,0
2020-03-31,34,Almere,Flevoland,24,46
2020-03-31,37,Stadskanaal,Groningen,20,0
2020-03-31,47,Veendam,Groningen,20,1
2020-03-31,50,Zeewolde,Flevoland,24,3
2020-03-31,59,Achtkarspelen,Friesland,21,0
2020-03-31,60,Ameland,Friesland,21,0
2020-03-31,72,Harlingen,Friesland,21,1
2020-03-31,74,Heerenveen,Friesland,21,5
2020-03-31,80,Leeuwarden,Friesland,21,16
2020-03-31,85,Ooststellingwerf,Friesland,21,1
2020-03-31,86,Opsterland,Friesland,21,4
2020-03-31,88,Schiermonnikoog,Friesland,21,0
2020-03-31,90,Smallingerland,Friesland,21,5
2020-03-31,93,Terschelling,Friesland,21,0
2020-03-31,96,Vlieland,Friesland,21,0
2020-03-31,98,Weststellingwerf,Friesland,21,2
2020-03-31,106,Assen,Drenthe,22,5
2020-03-31,109,Coevorden,Drenthe,22,5
2020-03-31,114,Emmen,Drenthe,22,6
2020-03-31,118,Hoogeveen,Drenthe,22,4
2020-03-31,119,Meppel,Drenthe,22,3
2020-03-31,141,Almelo,Overijssel,23,8
2020-03-31,147,Borne,Overijssel,23,10
2020-03-31,148,Dalfsen,Overijssel,23,7
2020-03-31,150,Deventer,Overijssel,23,21
2020-03-31,153,Enschede,Overijssel,23,24
2020-03-31,158,Haaksbergen,Overijssel,23,4
2020-03-31,160,Hardenberg,Overijssel,23,9
2020-03-31,163,Hellendoorn,Overijssel,23,3
2020-03-31,164,Hengelo,Overijssel,23,6
2020-03-31,166,Kampen,Overijssel,23,34
2020-03-31,168,Losser,Overijssel,23,2
2020-03-31,171,Noordoostpolder,Flevoland,24,6
2020-03-31,173,Oldenzaal,Overijssel,23,8
2020-03-31,175,Ommen,Overijssel,23,4
2020-03-31,177,Raalte,Overijssel,23,14
2020-03-31,180,Staphorst,Overijssel,23,1
2020-03-31,183,Tubbergen,Overijssel,23,7
2020-03-31,184,Urk,Flevoland,24,11
2020-03-31,189,Wierden,Overijssel,23,2
2020-03-31,193,Zwolle,Overijssel,23,24
2020-03-31,197,Aalten,Gelderland,25,1
2020-03-31,200,Apeldoorn,Gelderland,25,19
2020-03-31,202,Arnhem,Gelderland,25,28
2020-03-31,203,Barneveld,Gelderland,25,5
2020-03-31,209,Beuningen,Gelderland,25,12
2020-03-31,213,Brummen,Gelderland,25,3
2020-03-31,214,Buren,Gelderland,25,5
2020-03-31,216,Culemborg,Gelderland,25,13
