Datum,Gemeentenaam,Gemeentecode,Provincienaam,Type,Aantal_min,Aantal_max
2020-03-26,Appingedam,3,Groningen,Overleden,0.0,0.0
2020-03-26,Delfzijl,10,Groningen,Overleden,0.0,0.0
2020-03-26,Groningen,14,Groningen,Overleden,0.0,0.0
2020-03-26,Loppersum,24,Groningen,Overleden,0.0,0.0
2020-03-26,Almere,34,Flevoland,Overleden,0.0,0.0
2020-03-26,Stadskanaal,37,Groningen,Overleden,0.0,0.0
2020-03-26,Veendam,47,Groningen,Overleden,0.0,0.0
2020-03-26,Zeewolde,50,Flevoland,Overleden,0.0,0.0
2020-03-26,Achtkarspelen,59,Friesland,Overleden,0.0,0.0
2020-03-26,Ameland,60,Friesland,Overleden,0.0,0.0
2020-03-26,Harlingen,72,Friesland,Overleden,0.0,0.0
2020-03-26,Heerenveen,74,Friesland,Overleden,0.2,3.0
2020-03-26,Leeuwarden,80,Friesland,Overleden,0.2,3.0
2020-03-26,Ooststellingwerf,85,Friesland,Overleden,0.0,0.0
2020-03-26,Opsterland,86,Friesland,Overleden,0.0,0.0
2020-03-26,Schiermonnikoog,88,Friesland,Overleden,0.0,0.0
2020-03-26,Smallingerland,90,Friesland,Overleden,0.0,0.0
2020-03-26,Terschelling,93,Friesland,Overleden,0.0,0.0
2020-03-26,Vlieland,96,Friesland,Overleden,0.0,0.0
2020-03-26,Weststellingwerf,98,Friesland,Overleden,0.0,0.0
2020-03-26,Assen,106,Drenthe,Overleden,0.0,0.0
2020-03-26,Coevorden,109,Drenthe,Overleden,0.0,0.0
2020-03-26,Emmen,114,Drenthe,Overleden,0.0,0.0
2020-03-26,Hoogeveen,118,Drenthe,Overleden,0.0,0.0
2020-03-26,Meppel,119,Drenthe,Overleden,0.0,0.0
2020-03-26,Almelo,141,Overijssel,Overleden,0.0,0.0
2020-03-26,Borne,147,Overijssel,Overleden,3.0,6.0
2020-03-26,Dalfsen,148,Overijssel,Overleden,3.0,6.0
2020-03-26,Deventer,150,Overijssel,Overleden,3.0,6.0
2020-03-26,Enschede,153,Overijssel,Overleden,0.2,3.0
2020-03-26,Haaksbergen,158,Overijssel,Overleden,0.0,0.0
2020-03-26,Hardenberg,160,Overijssel,Overleden,0.0,0.0
2020-03-26,Hellendoorn,163,Overijssel,Overleden,0.0,0.0
2020-03-26,Hengelo,164,Overijssel,Overleden,0.2,3.0
2020-03-26,Kampen,166,Overijssel,Overleden,0.0,0.0
2020-03-26,Losser,168,Overijssel,Overleden,0.0,0.0
2020-03-26,Noordoostpolder,171,Flevoland,Overleden,0.2,3.0
2020-03-26,Oldenzaal,173,Overijssel,Overleden,3.0,6.0
2020-03-26,Ommen,175,Overijssel,Overleden,0.0,0.0
2020-03-26,Raalte,177,Overijssel,Overleden,0.0,0.0
2020-03-26,Staphorst,180,Overijssel,Overleden,0.0,0.0
2020-03-26,Tubbergen,183,Overijssel,Overleden,0.0,0.0
2020-03-26,Urk,184,Flevoland,Overleden,0.0,0.0
2020-03-26,Wierden,189,Overijssel,Overleden,0.0,0.0
2020-03-26,Zwolle,193,Overijssel,Overleden,0.2,3.0
2020-03-26,Aalten,197,Gelderland,Overleden,0.0,0.0
2020-03-26,Apeldoorn,200,Gelderland,Overleden,3.0,6.0
2020-03-26,Arnhem,202,Gelderland,Overleden,0.2,3.0
2020-03-26,Barneveld,203,Gelderland,Overleden,0.2,3.0
2020-03-26,Beuningen,209,Gelderland,Overleden,6.0,9.0
2020-03-26,Brummen,213,Gelderland,Overleden,3.0,6.0
2020-03-26,Buren,214,Gelderland,Overleden,0.0,0.0
2020-03-26,Culemborg,216,Gelderland,Overleden,0.0,0.0
2020-03-26,Doesburg,221,Gelderland,Overleden,9.0,14.0
2020-03-26,Doetinchem,222,Gelderland,Overleden,3.0,6.0
2020-03-26,Druten,225,Gelderland,Overleden,0.0,0.0
2020-03-26,Duiven,226,Gelderland,Overleden,0.0,0.0
2020-03-26,Ede,228,Gelderland,Overleden,0.2,3.0
2020-03-26,Elburg,230,Gelderland,Overleden,0.0,0.0
2020-03-26,Epe,232,Gelderland,Overleden,3.0,6.0
2020-03-26,Ermelo,233,Gelderland,Overleden,3.0,6.0
2020-03-26,Harderwijk,243,Gelderland,Overleden,3.0,6.0
2020-03-26,Hattem,244,Gelderland,Overleden,0.0,0.0
2020-03-26,Heerde,246,Gelderland,Overleden,9.0,14.0
2020-03-26,Heumen,252,Gelderland,Overleden,6.0,9.0
2020-03-26,Lochem,262,Gelderland,Overleden,0.0,0.0
2020-03-26,Maasdriel,263,Gelderland,Overleden,3.0,6.0
2020-03-26,Nijkerk,267,Gelderland,Overleden,0.2,3.0
2020-03-26,Nijmegen,268,Gelderland,Overleden,0.2,3.0
2020-03-26,Oldebroek,269,Gelderland,Overleden,6.0,9.0
2020-03-26,Putten,273,Gelderland,Overleden,0.0,0.0
2020-03-26,Renkum,274,Gelderland,Overleden,0.0,0.0
2020-03-26,Rheden,275,Gelderland,Overleden,0.2,3.0
2020-03-26,Rozendaal,277,Gelderland,Overleden,0.0,0.0
2020-03-26,Scherpenzeel,279,Gelderland,Overleden,0.0,0.0
2020-03-26,Tiel,281,Gelderland,Overleden,3.0,6.0
2020-03-26,Voorst,285,Gelderland,Overleden,0.0,0.0
2020-03-26,Wageningen,289,Gelderland,Overleden,0.0,0.0
2020-03-26,Westervoort,293,Gelderland,Overleden,0.0,0.0
2020-03-26,Winterswijk,294,Gelderland,Overleden,0.0,0.0
2020-03-26,Wijchen,296,Gelderland,Overleden,3.0,6.0
2020-03-26,Zaltbommel,297,Gelderland,Overleden,0.0,0.0
2020-03-26,Zevenaar,299,Gelderland,Overleden,0.2,3.0
2020-03-26,Zutphen,301,Gelderland,Overleden,3.0,6.0
2020-03-26,Nunspeet,302,Gelderland,Overleden,6.0,9.0
2020-03-26,Dronten,303,Flevoland,Overleden,0.2,3.0
2020-03-26,Amersfoort,307,Utrecht,Overleden,0.2,3.0
2020-03-26,Baarn,308,Utrecht,Overleden,0.0,0.0
2020-03-26,De Bilt,310,Utrecht,Overleden,0.0,0.0
2020-03-26,Bunnik,312,Utrecht,Overleden,0.0,0.0
2020-03-26,Bunschoten,313,Utrecht,Overleden,0.0,0.0
2020-03-26,Eemnes,317,Utrecht,Overleden,0.0,0.0
2020-03-26,Houten,321,Utrecht,Overleden,0.0,0.0
2020-03-26,Leusden,327,Utrecht,Overleden,6.0,9.0
2020-03-26,Lopik,331,Utrecht,Overleden,0.0,0.0
2020-03-26,Montfoort,335,Utrecht,Overleden,0.0,0.0
2020-03-26,Renswoude,339,Utrecht,Overleden,0.0,0.0
2020-03-26,Rhenen,340,Utrecht,Overleden,0.0,0.0
2020-03-26,Soest,342,Utrecht,Overleden,0.0,0.0
2020-03-26,Utrecht,344,Utrecht,Overleden,0.2,3.0
2020-03-26,Veenendaal,345,Utrecht,Overleden,0.2,3.0
2020-03-26,Woudenberg,351,Utrecht,Overleden,0.0,0.0
2020-03-26,Wijk bij Duurstede,352,Utrecht,Overleden,0.0,0.0
2020-03-26,IJsselstein,353,Utrecht,Overleden,3.0,6.0
2020-03-26,Zeist,355,Utrecht,Overleden,0.0,0.0
2020-03-26,Nieuwegein,356,Utrecht,Overleden,0.0,0.0
2020-03-26,Aalsmeer,358,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Alkmaar,361,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Amstelveen,362,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Amsterdam,363,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Beemster,370,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Bergen (NH.),373,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Beverwijk,375,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Blaricum,376,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Bloemendaal,377,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Castricum,383,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Diemen,384,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Edam-Volendam,385,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Enkhuizen,388,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Haarlem,392,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Haarlemmermeer,394,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Heemskerk,396,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Heemstede,397,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Heerhugowaard,398,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Heiloo,399,Noord-Holland,Overleden,6.0,9.0
2020-03-26,Den Helder,400,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Hilversum,402,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Hoorn,405,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Huizen,406,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Landsmeer,415,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Langedijk,416,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Laren,417,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Medemblik,420,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Oostzaan,431,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Opmeer,432,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Ouder-Amstel,437,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Purmerend,439,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Schagen,441,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Texel,448,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Uitgeest,450,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Uithoorn,451,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Velsen,453,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Weesp,457,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Zandvoort,473,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Zaanstad,479,Noord-Holland,Overleden,0.2,3.0
2020-03-26,Alblasserdam,482,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Alphen aan den Rijn,484,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Barendrecht,489,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Drechterland,498,Noord-Holland,Overleden,0.0,0.0
2020-03-26,Brielle,501,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Capelle aan den IJssel,502,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Delft,503,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Dordrecht,505,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Gorinchem,512,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Gouda,513,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,'s-Gravenhage,518,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Hardinxveld-Giessendam,523,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Hellevoetsluis,530,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Hendrik-Ido-Ambacht,531,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Stede Broec,532,Noord-Holland,Overleden,3.0,6.0
2020-03-26,Hillegom,534,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Katwijk,537,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Krimpen aan den IJssel,542,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Leiden,546,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Leiderdorp,547,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Lisse,553,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Maassluis,556,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Nieuwkoop,569,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Noordwijk,575,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Oegstgeest,579,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Oudewater,589,Utrecht,Overleden,9.0,14.0
2020-03-26,Papendrecht,590,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Ridderkerk,597,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Rotterdam,599,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Rijswijk,603,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Schiedam,606,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Sliedrecht,610,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Albrandswaard,613,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Westvoorne,614,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Vlaardingen,622,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Voorschoten,626,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Waddinxveen,627,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Wassenaar,629,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Woerden,632,Utrecht,Overleden,0.2,3.0
2020-03-26,Zoetermeer,637,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Zoeterwoude,638,Zuid-Holland,Overleden,0.0,0.0
2020-03-26,Zwijndrecht,642,Zuid-Holland,Overleden,0.2,3.0
2020-03-26,Borsele,654,Zeeland,Overleden,0.0,0.0
2020-03-26,Goes,664,Zeeland,Overleden,0.0,0.0
2020-03-26,West Maas en Waal,668,Gelderland,Overleden,0.0,0.0
2020-03-26,Hulst,677,Zeeland,Overleden,0.0,0.0
2020-03-26,Kapelle,678,Zeeland,Overleden,0.0,0.0
2020-03-26,Middelburg,687,Zeeland,Overleden,0.0,0.0
2020-03-26,Reimerswaal,703,Zeeland,Overleden,3.0,6.0
2020-03-26,Terneuzen,715,Zeeland,Overleden,0.2,3.0
2020-03-26,Tholen,716,Zeeland,Overleden,3.0,6.0
2020-03-26,Veere,717,Zeeland,Overleden,0.0,0.0
2020-03-26,Vlissingen,718,Zeeland,Overleden,0.0,0.0
2020-03-26,De Ronde Venen,736,Utrecht,Overleden,0.0,0.0
2020-03-26,Tytsjerksteradiel,737,Friesland,Overleden,0.0,0.0
2020-03-26,Asten,743,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Baarle-Nassau,744,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Bergen op Zoom,748,Noord-Brabant,Overleden,3.0,6.0
2020-03-26,Best,753,Noord-Brabant,Overleden,3.0,6.0
2020-03-26,Boekel,755,Noord-Brabant,Overleden,14.0,49.0
2020-03-26,Boxmeer,756,Noord-Brabant,Overleden,0.0,0.0
2020-03-26,Boxtel,757,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Breda,758,Noord-Brabant,Overleden,6.0,9.0
2020-03-26,Deurne,762,Noord-Brabant,Overleden,9.0,14.0
2020-03-26,Pekela,765,Groningen,Overleden,0.0,0.0
