Datum,Type,Aantal
2020-02-27,Totaal,3
2020-02-27,Ziekenhuisopname,1
2020-02-27,Overleden,0
2020-02-28,Totaal,4
2020-02-28,Ziekenhuisopname,0
2020-02-28,Overleden,0
2020-02-29,Totaal,12
2020-02-29,Ziekenhuisopname,2
2020-02-29,Overleden,0
2020-03-01,Totaal,13
2020-03-01,Ziekenhuisopname,1
2020-03-01,Overleden,0
2020-03-02,Totaal,47
2020-03-02,Ziekenhuisopname,3
2020-03-02,Overleden,0
2020-03-03,Totaal,40
2020-03-03,Ziekenhuisopname,6
2020-03-03,Overleden,0
2020-03-04,Totaal,41
2020-03-04,Ziekenhuisopname,4
2020-03-04,Overleden,0
2020-03-05,Totaal,41
2020-03-05,Ziekenhuisopname,7
2020-03-05,Overleden,0
2020-03-06,Totaal,32
2020-03-06,Ziekenhuisopname,6
2020-03-06,Overleden,1
2020-03-07,Totaal,45
2020-03-07,Ziekenhuisopname,13
2020-03-07,Overleden,1
2020-03-08,Totaal,72
2020-03-08,Ziekenhuisopname,14
2020-03-08,Overleden,2
2020-03-09,Totaal,77
2020-03-09,Ziekenhuisopname,17
2020-03-09,Overleden,0
2020-03-10,Totaal,137
2020-03-10,Ziekenhuisopname,20
2020-03-10,Overleden,1
2020-03-11,Totaal,169
2020-03-11,Ziekenhuisopname,43
2020-03-11,Overleden,2
2020-03-12,Totaal,187
2020-03-12,Ziekenhuisopname,43
2020-03-12,Overleden,3
2020-03-13,Totaal,221
2020-03-13,Ziekenhuisopname,64
2020-03-13,Overleden,6
2020-03-14,Totaal,222
2020-03-14,Ziekenhuisopname,65
2020-03-14,Overleden,10
2020-03-15,Totaal,234
2020-03-15,Ziekenhuisopname,82
2020-03-15,Overleden,14
2020-03-16,Totaal,271
2020-03-16,Ziekenhuisopname,123
2020-03-16,Overleden,24
2020-03-17,Totaal,373
2020-03-17,Ziekenhuisopname,151
2020-03-17,Overleden,23
2020-03-18,Totaal,462
2020-03-18,Ziekenhuisopname,183
2020-03-18,Overleden,19
2020-03-19,Totaal,516
2020-03-19,Ziekenhuisopname,243
2020-03-19,Overleden,44
2020-03-20,Totaal,698
2020-03-20,Ziekenhuisopname,311
2020-03-20,Overleden,56
2020-03-21,Totaal,669
2020-03-21,Ziekenhuisopname,335
2020-03-21,Overleden,62
2020-03-22,Totaal,542
2020-03-22,Ziekenhuisopname,296
2020-03-22,Overleden,60
2020-03-23,Totaal,621
2020-03-23,Ziekenhuisopname,332
2020-03-23,Overleden,86
2020-03-24,Totaal,1126
2020-03-24,Ziekenhuisopname,579
2020-03-24,Overleden,77
2020-03-25,Totaal,1053
2020-03-25,Ziekenhuisopname,517
2020-03-25,Overleden,112
2020-03-26,Totaal,1056
2020-03-26,Ziekenhuisopname,516
2020-03-26,Overleden,126
2020-03-27,Totaal,1191
2020-03-27,Ziekenhuisopname,561
2020-03-27,Overleden,112
2020-03-28,Totaal,992
2020-03-28,Ziekenhuisopname,508
2020-03-28,Overleden,153
2020-03-29,Totaal,749
2020-03-29,Ziekenhuisopname,416
2020-03-29,Overleden,121
2020-03-30,Totaal,805
2020-03-30,Ziekenhuisopname,357
2020-03-30,Overleden,151
2020-03-31,Totaal,1132
2020-03-31,Ziekenhuisopname,514
2020-03-31,Overleden,174
2020-04-01,Totaal,1043
2020-04-01,Ziekenhuisopname,357
2020-04-01,Overleden,160
2020-04-02,Totaal,1035
2020-04-02,Ziekenhuisopname,356
2020-04-02,Overleden,171
2020-04-03,Totaal,1230
2020-04-03,Ziekenhuisopname,362
2020-04-03,Overleden,162
2020-04-04,Totaal,1099
2020-04-04,Ziekenhuisopname,298
2020-04-04,Overleden,166
2020-04-05,Totaal,858
2020-04-05,Ziekenhuisopname,256
2020-04-05,Overleden,154
2020-04-06,Totaal,778
2020-04-06,Ziekenhuisopname,251
2020-04-06,Overleden,162
2020-04-07,Totaal,1089
2020-04-07,Ziekenhuisopname,283
2020-04-07,Overleden,148
2020-04-08,Totaal,1350
2020-04-08,Ziekenhuisopname,228
2020-04-08,Overleden,146
2020-04-09,Totaal,1313
2020-04-09,Ziekenhuisopname,207
2020-04-09,Overleden,113
2020-04-10,Totaal,1391
2020-04-10,Ziekenhuisopname,204
2020-04-10,Overleden,147
2020-04-11,Totaal,1049
2020-04-11,Ziekenhuisopname,154
2020-04-11,Overleden,138
2020-04-12,Totaal,824
2020-04-12,Ziekenhuisopname,117
2020-04-12,Overleden,141
2020-04-13,Totaal,755
2020-04-13,Ziekenhuisopname,151
2020-04-13,Overleden,129
2020-04-14,Totaal,806
2020-04-14,Ziekenhuisopname,151
