Datum,Provincienaam,Aantal
2020-02-27,Noord-Brabant,1
2020-02-28,Noord-Brabant,1
2020-02-28,Noord-Holland,1
2020-02-29,Noord-Brabant,3
2020-02-29,Noord-Holland,3
2020-02-29,Zuid-Holland,1
2020-03-01,Noord-Holland,3
2020-03-01,Zuid-Holland,1
2020-03-01,Noord-Brabant,5
2020-03-01,Drenthe,1
2020-03-02,Noord-Brabant,5
2020-03-02,,8
2020-03-02,Drenthe,1
2020-03-02,Noord-Holland,3
2020-03-02,Zuid-Holland,1
2020-03-03,Noord-Holland,4
2020-03-03,Utrecht,3
2020-03-03,Zuid-Holland,3
2020-03-03,Noord-Brabant,12
2020-03-03,Drenthe,2
2020-03-04,Noord-Brabant,17
2020-03-04,Drenthe,2
2020-03-04,Zuid-Holland,7
2020-03-04,,1
2020-03-04,Noord-Holland,7
2020-03-04,Utrecht,3
2020-03-04,Gelderland,1
2020-03-05,Zuid-Holland,12
2020-03-05,Overijssel,1
2020-03-05,Noord-Holland,9
2020-03-05,,5
2020-03-05,Utrecht,23
2020-03-05,Flevoland,1
2020-03-05,Gelderland,2
2020-03-05,Limburg,2
2020-03-05,Drenthe,3
2020-03-05,Noord-Brabant,24
2020-03-06,Overijssel,1
2020-03-06,,4
2020-03-06,Zuid-Holland,22
2020-03-06,Noord-Holland,10
2020-03-06,Utrecht,33
2020-03-06,Limburg,9
2020-03-06,Flevoland,2
2020-03-06,Drenthe,3
2020-03-06,Noord-Brabant,34
2020-03-06,Gelderland,10
2020-03-07,Overijssel,4
2020-03-07,,4
2020-03-07,Zuid-Holland,29
2020-03-07,Zeeland,1
2020-03-07,Drenthe,3
2020-03-07,Noord-Holland,17
2020-03-07,Noord-Brabant,57
2020-03-07,Gelderland,13
2020-03-07,Flevoland,2
2020-03-07,Limburg,11
2020-03-07,Utrecht,47
2020-03-08,,2
2020-03-08,Zeeland,1
2020-03-08,Utrecht,52
2020-03-08,Overijssel,9
2020-03-08,Noord-Holland,22
2020-03-08,Noord-Brabant,93
2020-03-08,Limburg,16
2020-03-08,Zuid-Holland,34
2020-03-08,Gelderland,26
2020-03-08,Flevoland,2
2020-03-08,Drenthe,8
2020-03-09,Zeeland,1
2020-03-09,Drenthe,10
2020-03-09,Flevoland,2
2020-03-09,Gelderland,27
2020-03-09,Noord-Brabant,135
2020-03-09,Limburg,23
2020-03-09,Zuid-Holland,37
2020-03-09,,1
2020-03-09,Utrecht,52
2020-03-09,Overijssel,10
2020-03-09,Noord-Holland,23
2020-03-10,Overijssel,10
2020-03-10,,2
2020-03-10,Zuid-Holland,47
2020-03-10,Utrecht,55
2020-03-10,Noord-Holland,30
2020-03-10,Zeeland,3
2020-03-10,Friesland,2
2020-03-10,Gelderland,30
2020-03-10,Limburg,32
2020-03-10,Flevoland,2
2020-03-10,Drenthe,12
2020-03-10,Noord-Brabant,157
2020-03-11,Overijssel,12
2020-03-11,Zeeland,6
2020-03-11,Utrecht,67
2020-03-11,Noord-Holland,35
2020-03-11,,6
2020-03-11,Zuid-Holland,57
2020-03-11,Gelderland,36
2020-03-11,Friesland,3
2020-03-11,Flevoland,3
2020-03-11,Drenthe,12
2020-03-11,Limburg,48
2020-03-11,Noord-Brabant,218
2020-03-12,Zuid-Holland,65
2020-03-12,,12
2020-03-12,Utrecht,80
2020-03-12,Zeeland,9
2020-03-12,Drenthe,13
2020-03-12,Gelderland,48
2020-03-12,Limburg,53
2020-03-12,Flevoland,3
2020-03-12,Overijssel,13
2020-03-12,Groningen,3
2020-03-12,Noord-Brabant,266
2020-03-12,Friesland,6
2020-03-12,Noord-Holland,42
2020-03-13,Flevoland,7
2020-03-13,Friesland,7
2020-03-13,Gelderland,64
2020-03-13,Zuid-Holland,81
2020-03-13,Groningen,4
2020-03-13,Limburg,67
2020-03-13,,28
2020-03-13,Zeeland,9
2020-03-13,Noord-Holland,63
2020-03-13,Noord-Brabant,360
2020-03-13,Drenthe,13
2020-03-13,Overijssel,18
2020-03-13,Utrecht,83
2020-03-14,,37
2020-03-14,Drenthe,15
2020-03-14,Flevoland,14
2020-03-14,Friesland,8
2020-03-14,Gelderland,76
2020-03-14,Noord-Holland,83
2020-03-14,Zuid-Holland,95
2020-03-14,Groningen,4
2020-03-14,Utrecht,87
2020-03-14,Limburg,104
2020-03-14,Zeeland,10
2020-03-14,Noord-Brabant,403
2020-03-14,Overijssel,23
2020-03-15,Groningen,9
2020-03-15,Friesland,10
2020-03-15,Zeeland,12
2020-03-15,Zuid-Holland,110
2020-03-15,Utrecht,109
2020-03-15,Gelderland,100
2020-03-15,Flevoland,19
2020-03-15,Noord-Holland,90
2020-03-15,Limburg,129
2020-03-15,Overijssel,28
2020-03-15,Drenthe,15
2020-03-15,Noord-Brabant,446
2020-03-15,,58
2020-03-16,Noord-Holland,115
2020-03-16,,70
2020-03-16,Zeeland,17
2020-03-16,Limburg,149
2020-03-16,Groningen,10
2020-03-16,Overijssel,36
2020-03-16,Gelderland,135
2020-03-16,Zuid-Holland,136
2020-03-16,Drenthe,16
2020-03-16,Flevoland,22
2020-03-16,Friesland,13
2020-03-16,Utrecht,140
2020-03-16,Noord-Brabant,554
2020-03-17,Friesland,14
2020-03-17,Noord-Holland,151
2020-03-17,Zeeland,20
2020-03-17,Limburg,197
2020-03-17,Overijssel,45
2020-03-17,Zuid-Holland,175
2020-03-17,Noord-Brabant,634
2020-03-17,Groningen,10
2020-03-17,,70
2020-03-17,Flevoland,24
2020-03-17,Drenthe,17
2020-03-17,Gelderland,173
2020-03-17,Utrecht,173
2020-03-18,Friesland,18
2020-03-18,Noord-Holland,173
2020-03-18,Noord-Brabant,728
2020-03-18,Zuid-Holland,232
2020-03-18,,84
2020-03-18,Zeeland,26
2020-03-18,Gelderland,210
2020-03-18,Utrecht,197
2020-03-18,Drenthe,22
2020-03-18,Groningen,15
2020-03-18,Limburg,258
2020-03-18,Flevoland,30
2020-03-18,Overijssel,58
2020-03-19,Drenthe,25
2020-03-19,Noord-Holland,244
2020-03-19,Friesland,20
2020-03-19,Zuid-Holland,303
2020-03-19,Noord-Brabant,842
2020-03-19,Overijssel,73
2020-03-19,Utrecht,237
2020-03-19,Limburg,291
2020-03-19,Zeeland,31
2020-03-19,Flevoland,36
2020-03-19,,89
2020-03-19,Gelderland,240
2020-03-19,Groningen,29
2020-03-20,Utrecht,267
2020-03-20,Gelderland,303
2020-03-20,,112
2020-03-20,Drenthe,32
2020-03-20,Zuid-Holland,395
2020-03-20,Overijssel,98
2020-03-20,Groningen,33
2020-03-20,Noord-Holland,327
2020-03-20,Zeeland,36
2020-03-20,Limburg,357
2020-03-20,Noord-Brabant,971
2020-03-20,Flevoland,41
2020-03-20,Friesland,22
2020-03-21,Zuid-Holland,469
2020-03-21,Gelderland,362
2020-03-21,Noord-Holland,429
2020-03-21,Overijssel,161
2020-03-21,Utrecht,313
2020-03-21,,137
2020-03-21,Drenthe,38
2020-03-21,Noord-Brabant,1139
2020-03-21,Groningen,46
2020-03-21,Flevoland,50
2020-03-21,Zeeland,46
2020-03-21,Limburg,408
2020-03-21,Friesland,33
2020-03-22,Gelderland,421
2020-03-22,Overijssel,187
2020-03-22,Limburg,437
2020-03-22,,155
2020-03-22,Utrecht,344
2020-03-22,Zeeland,48
2020-03-22,Drenthe,41
2020-03-22,Noord-Holland,499
2020-03-22,Zuid-Holland,567
2020-03-22,Flevoland,57
2020-03-22,Friesland,34
2020-03-22,Noord-Brabant,1358
2020-03-22,Groningen,56
2020-03-23,Noord-Brabant,1508
2020-03-23,Zuid-Holland,627
2020-03-23,Limburg,479
2020-03-23,Zeeland,54
2020-03-23,Overijssel,216
2020-03-23,Noord-Holland,560
2020-03-23,Drenthe,48
2020-03-23,,184
2020-03-23,Friesland,39
2020-03-23,Flevoland,64
2020-03-23,Utrecht,401
2020-03-23,Gelderland,502
2020-03-23,Groningen,67
2020-03-24,Flevoland,71
2020-03-24,,200
2020-03-24,Zeeland,62
2020-03-24,Utrecht,458
2020-03-24,Overijssel,247
2020-03-24,Zuid-Holland,733
2020-03-24,Noord-Holland,696
2020-03-24,Friesland,41
2020-03-24,Gelderland,576
2020-03-24,Noord-Brabant,1685
2020-03-24,Drenthe,54
2020-03-24,Limburg,670
2020-03-24,Groningen,67
2020-03-25,Noord-Holland,825
2020-03-25,Overijssel,316
2020-03-25,Gelderland,675
2020-03-25,Flevoland,82
2020-03-25,Zuid-Holland,862
2020-03-25,Zeeland,76
2020-03-25,Limburg,765
2020-03-25,Noord-Brabant,1861
2020-03-25,Drenthe,59
2020-03-25,,213
2020-03-25,Groningen,80
2020-03-25,Friesland,51
2020-03-25,Utrecht,547
2020-03-26,Friesland,68
2020-03-26,Overijssel,385
2020-03-26,Utrecht,628
