Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-02-27,Tilburg,855,Noord-Brabant,1
2020-02-28,Diemen,384,Noord-Holland,1
2020-02-28,Tilburg,855,Noord-Brabant,1
2020-02-29,Diemen,384,Noord-Holland,3
2020-02-29,Delft,503,Zuid-Holland,1
2020-02-29,Tilburg,855,Noord-Brabant,3
2020-03-01,Coevorden,109,Drenthe,1
2020-03-01,Diemen,384,Noord-Holland,3
2020-03-01,Delft,503,Zuid-Holland,1
2020-03-01,Tilburg,855,Noord-Brabant,4
2020-03-01,Altena,1959,Noord-Brabant,1
2020-03-02,,-1,,8
2020-03-02,Coevorden,109,Drenthe,1
2020-03-02,Diemen,384,Noord-Holland,3
2020-03-02,Delft,503,Zuid-Holland,1
2020-03-02,Tilburg,855,Noord-Brabant,4
2020-03-02,Altena,1959,Noord-Brabant,1
2020-03-03,Coevorden,109,Drenthe,2
2020-03-03,Houten,321,Utrecht,1
2020-03-03,Utrecht,344,Utrecht,2
2020-03-03,Diemen,384,Noord-Holland,3
2020-03-03,Haarlem,392,Noord-Holland,1
2020-03-03,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-03,Delft,503,Zuid-Holland,1
2020-03-03,Rotterdam,599,Zuid-Holland,1
2020-03-03,Eindhoven,772,Noord-Brabant,1
2020-03-03,Helmond,794,Noord-Brabant,1
2020-03-03,Loon op Zand,809,Noord-Brabant,4
2020-03-03,Oss,828,Noord-Brabant,1
2020-03-03,Tilburg,855,Noord-Brabant,2
2020-03-03,Altena,1959,Noord-Brabant,3
2020-03-04,,-1,,1
2020-03-04,Coevorden,109,Drenthe,2
2020-03-04,Zaltbommel,297,Gelderland,1
2020-03-04,Houten,321,Utrecht,1
2020-03-04,Utrecht,344,Utrecht,2
2020-03-04,Amsterdam,363,Noord-Holland,1
2020-03-04,Beverwijk,375,Noord-Holland,1
2020-03-04,Blaricum,376,Noord-Holland,1
2020-03-04,Diemen,384,Noord-Holland,2
2020-03-04,Haarlem,392,Noord-Holland,1
2020-03-04,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-04,Delft,503,Zuid-Holland,1
2020-03-04,Hardinxveld-Giessendam,523,Zuid-Holland,1
2020-03-04,Rotterdam,599,Zuid-Holland,3
2020-03-04,Eindhoven,772,Noord-Brabant,1
2020-03-04,Helmond,794,Noord-Brabant,4
2020-03-04,Loon op Zand,809,Noord-Brabant,5
2020-03-04,Oss,828,Noord-Brabant,1
2020-03-04,Tilburg,855,Noord-Brabant,3
2020-03-04,Gooise Meren,1942,Noord-Holland,1
2020-03-04,Altena,1959,Noord-Brabant,3
2020-03-04,Hoeksche Waard,1963,Zuid-Holland,1
2020-03-05,,-1,,5
2020-03-05,Zeewolde,50,Flevoland,1
2020-03-05,Coevorden,109,Drenthe,3
2020-03-05,Borne,147,Overijssel,1
2020-03-05,Culemborg,216,Gelderland,1
2020-03-05,Zaltbommel,297,Gelderland,1
2020-03-05,De Bilt,310,Utrecht,2
2020-03-05,Houten,321,Utrecht,9
2020-03-05,Soest,342,Utrecht,4
2020-03-05,Utrecht,344,Utrecht,6
2020-03-05,Amsterdam,363,Noord-Holland,2
2020-03-05,Beverwijk,375,Noord-Holland,2
2020-03-05,Blaricum,376,Noord-Holland,1
2020-03-05,Diemen,384,Noord-Holland,2
2020-03-05,Haarlem,392,Noord-Holland,1
2020-03-05,Alphen aan den Rijn,484,Zuid-Holland,1
2020-03-05,Delft,503,Zuid-Holland,1
2020-03-05,Hardinxveld-Giessendam,523,Zuid-Holland,2
2020-03-05,Rotterdam,599,Zuid-Holland,5
2020-03-05,Best,753,Noord-Brabant,1
2020-03-05,Dongen,766,Noord-Brabant,1
2020-03-05,Eindhoven,772,Noord-Brabant,3
2020-03-05,Helmond,794,Noord-Brabant,4
2020-03-05,Loon op Zand,809,Noord-Brabant,5
2020-03-05,Oss,828,Noord-Brabant,1
2020-03-05,Sint-Michielsgestel,845,Noord-Brabant,1
2020-03-05,Tilburg,855,Noord-Brabant,3
2020-03-05,Gemert-Bakel,1652,Noord-Brabant,1
2020-03-05,Sittard-Geleen,1883,Limburg,2
2020-03-05,Stichtse Vecht,1904,Utrecht,2
2020-03-05,Pijnacker-Nootdorp,1926,Zuid-Holland,2
2020-03-05,Gooise Meren,1942,Noord-Holland,1
2020-03-05,Altena,1959,Noord-Brabant,4
2020-03-05,Hoeksche Waard,1963,Zuid-Holland,1
2020-03-06,,-1,,4
2020-03-06,Almere,34,Flevoland,1
2020-03-06,Zeewolde,50,Flevoland,1
2020-03-06,Coevorden,109,Drenthe,3
