Gemeente,Aantal,id,Datum
Appingedam,,3,2020-02-27
Delfzijl,,10,2020-02-27
Groningen,,14,2020-02-27
Loppersum,,24,2020-02-27
Almere,,34,2020-02-27
Stadskanaal,,37,2020-02-27
Veendam,,47,2020-02-27
Zeewolde,,50,2020-02-27
Achtkarspelen,,59,2020-02-27
Ameland,,60,2020-02-27
Harlingen,,72,2020-02-27
Heerenveen,,74,2020-02-27
Leeuwarden,,80,2020-02-27
Ooststellingwerf,,85,2020-02-27
Opsterland,,86,2020-02-27
Schiermonnikoog,,88,2020-02-27
Smallingerland,,90,2020-02-27
Terschelling,,93,2020-02-27
Vlieland,,96,2020-02-27
Weststellingwerf,,98,2020-02-27
Assen,,106,2020-02-27
Coevorden,,109,2020-02-27
Emmen,,114,2020-02-27
Hoogeveen,,118,2020-02-27
Meppel,,119,2020-02-27
Almelo,,141,2020-02-27
Borne,,147,2020-02-27
Dalfsen,,148,2020-02-27
Deventer,,150,2020-02-27
Enschede,,153,2020-02-27
Haaksbergen,,158,2020-02-27
Hardenberg,,160,2020-02-27
Hellendoorn,,163,2020-02-27
Hengelo (O),,164,2020-02-27
Kampen,,166,2020-02-27
Losser,,168,2020-02-27
Noordoostpolder,,171,2020-02-27
Oldenzaal,,173,2020-02-27
Ommen,,175,2020-02-27
Raalte,,177,2020-02-27
Staphorst,,180,2020-02-27
Tubbergen,,183,2020-02-27
Urk,,184,2020-02-27
Wierden,,189,2020-02-27
Zwolle,,193,2020-02-27
Aalten,,197,2020-02-27
Apeldoorn,,200,2020-02-27
Arnhem,,202,2020-02-27
Barneveld,,203,2020-02-27
Beuningen,,209,2020-02-27
Brummen,,213,2020-02-27
Buren,,214,2020-02-27
Culemborg,,216,2020-02-27
Doesburg,,221,2020-02-27
Doetinchem,,222,2020-02-27
Druten,,225,2020-02-27
Duiven,,226,2020-02-27
Ede,,228,2020-02-27
Elburg,,230,2020-02-27
Epe,,232,2020-02-27
Ermelo,,233,2020-02-27
Harderwijk,,243,2020-02-27
Hattem,,244,2020-02-27
Heerde,,246,2020-02-27
Heumen,,252,2020-02-27
Lochem,,262,2020-02-27
Maasdriel,,263,2020-02-27
Nijkerk,,267,2020-02-27
Nijmegen,,268,2020-02-27
Oldebroek,,269,2020-02-27
Putten,,273,2020-02-27
Renkum,,274,2020-02-27
Rheden,,275,2020-02-27
Rozendaal,,277,2020-02-27
Scherpenzeel,,279,2020-02-27
Tiel,,281,2020-02-27
Voorst,,285,2020-02-27
Wageningen,,289,2020-02-27
Westervoort,,293,2020-02-27
Winterswijk,,294,2020-02-27
Wijchen,,296,2020-02-27
Zaltbommel,,297,2020-02-27
Zevenaar,,299,2020-02-27
Zutphen,,301,2020-02-27
Nunspeet,,302,2020-02-27
Dronten,,303,2020-02-27
Amersfoort,,307,2020-02-27
Baarn,,308,2020-02-27
De Bilt,,310,2020-02-27
Bunnik,,312,2020-02-27
Bunschoten,,313,2020-02-27
Eemnes,,317,2020-02-27
Houten,,321,2020-02-27
Leusden,,327,2020-02-27
Lopik,,331,2020-02-27
Montfoort,,335,2020-02-27
Renswoude,,339,2020-02-27
Rhenen,,340,2020-02-27
Soest,,342,2020-02-27
Utrecht,,344,2020-02-27
Veenendaal,,345,2020-02-27
Woudenberg,,351,2020-02-27
Wijk bij Duurstede,,352,2020-02-27
IJsselstein,,353,2020-02-27
Zeist,,355,2020-02-27
Nieuwegein,,356,2020-02-27
Aalsmeer,,358,2020-02-27
Alkmaar,,361,2020-02-27
Amstelveen,,362,2020-02-27
Amsterdam,,363,2020-02-27
Beemster,,370,2020-02-27
Bergen (NH),,373,2020-02-27
Beverwijk,,375,2020-02-27
Blaricum,,376,2020-02-27
Bloemendaal,,377,2020-02-27
Castricum,,383,2020-02-27
Diemen,,384,2020-02-27
Edam-Volendam,,385,2020-02-27
Enkhuizen,,388,2020-02-27
Haarlem,,392,2020-02-27
Haarlemmermeer,,394,2020-02-27
Heemskerk,,396,2020-02-27
Heemstede,,397,2020-02-27
Heerhugowaard,,398,2020-02-27
Heiloo,,399,2020-02-27
Den Helder,,400,2020-02-27
Hilversum,,402,2020-02-27
Hoorn,,405,2020-02-27
Huizen,,406,2020-02-27
Landsmeer,,415,2020-02-27
Langedijk,,416,2020-02-27
Laren,,417,2020-02-27
Medemblik,,420,2020-02-27
Oostzaan,,431,2020-02-27
Opmeer,,432,2020-02-27
Ouder-Amstel,,437,2020-02-27
Purmerend,,439,2020-02-27
Schagen,,441,2020-02-27
Texel,,448,2020-02-27
Uitgeest,,450,2020-02-27
Uithoorn,,451,2020-02-27
Velsen,,453,2020-02-27
Weesp,,457,2020-02-27
Zandvoort,,473,2020-02-27
Zaanstad,,479,2020-02-27
Alblasserdam,,482,2020-02-27
Alphen aan den Rijn,,484,2020-02-27
Barendrecht,,489,2020-02-27
Drechterland,,498,2020-02-27
Brielle,,501,2020-02-27
Capelle aan den IJssel,,502,2020-02-27
Delft,,503,2020-02-27
Dordrecht,,505,2020-02-27
Gorinchem,,512,2020-02-27
Gouda,,513,2020-02-27
's-Gravenhage,,518,2020-02-27
Hardinxveld-Giessendam,,523,2020-02-27
Hellevoetsluis,,530,2020-02-27
Hendrik-Ido-Ambacht,,531,2020-02-27
Stede Broec,,532,2020-02-27
Hillegom,,534,2020-02-27
Katwijk,,537,2020-02-27
Krimpen aan den IJssel,,542,2020-02-27
Leiden,,546,2020-02-27
Leiderdorp,,547,2020-02-27
Lisse,,553,2020-02-27
Maassluis,,556,2020-02-27
Nieuwkoop,,569,2020-02-27
Noordwijk,,575,2020-02-27
Oegstgeest,,579,2020-02-27
Oudewater,,589,2020-02-27
Papendrecht,,590,2020-02-27
Ridderkerk,,597,2020-02-27
Rotterdam,,599,2020-02-27
Rijswijk,,603,2020-02-27
Schiedam,,606,2020-02-27
Sliedrecht,,610,2020-02-27
Albrandswaard,,613,2020-02-27
Westvoorne,,614,2020-02-27
Vlaardingen,,622,2020-02-27
Voorschoten,,626,2020-02-27
Waddinxveen,,627,2020-02-27
Wassenaar,,629,2020-02-27
Woerden,,632,2020-02-27
Zoetermeer,,637,2020-02-27
Zoeterwoude,,638,2020-02-27
Zwijndrecht,,642,2020-02-27
Borsele,,654,2020-02-27
Goes,,664,2020-02-27
West Maas en Waal,,668,2020-02-27
Hulst,,677,2020-02-27
Kapelle,,678,2020-02-27
Middelburg,,687,2020-02-27
Reimerswaal,,703,2020-02-27
Terneuzen,,715,2020-02-27
