Datum,Aantal
2020-02-27,1
2020-02-28,2
2020-02-29,7
2020-03-01,10
2020-03-02,18
2020-03-03,24
2020-03-04,38
2020-03-05,82
2020-03-06,128
2020-03-07,188
2020-03-08,265
2020-03-09,321
2020-03-10,382
2020-03-11,503
2020-03-12,613
2020-03-13,804
2020-03-14,959
2020-03-15,1135
2020-03-16,1413
2020-03-17,1703
2020-03-18,2051
2020-03-19,2460
2020-03-20,2994
2020-03-21,3631
2020-03-22,4204
2020-03-23,4749
2020-03-24,5560
2020-03-25,6412
2020-03-26,7431
2020-03-27,8603
2020-03-28,9762
2020-03-29,10866
2020-03-30,11750
2020-03-31,12595
2020-04-01,13614
2020-04-02,14697
2020-04-03,15723
2020-04-04,16627
2020-04-05,17851
2020-04-06,18803
2020-04-07,19580
2020-04-08,20549
2020-04-09,21762
2020-04-10,23097
2020-04-11,24413
2020-04-12,25587
2020-04-13,26551
2020-04-14,27419
2020-04-15,28153
2020-04-16,29214
2020-04-17,30449
2020-04-18,31589
2020-04-19,32655
2020-04-20,33405
2020-04-21,34134
2020-04-22,34842
2020-04-23,35729
2020-04-24,36535
2020-04-25,37190
2020-04-26,37845
2020-04-27,38245
2020-04-28,38416
2020-04-29,38802
2020-04-30,39316
2020-05-01,39791
2020-05-02,40236
2020-05-03,40571
2020-05-04,40770
2020-05-05,41087
2020-05-06,41319
2020-05-07,41774
2020-05-08,42093
2020-05-09,42382
2020-05-10,42627
2020-05-11,42788
2020-05-12,42984
2020-05-13,43211
2020-05-14,43481
2020-05-15,43681
2020-05-16,43870
2020-05-17,43995
2020-05-18,44141
2020-05-19,44249
2020-05-20,44447
2020-05-21,44700
2020-05-22,44888
2020-05-23,45064
2020-05-24,45236
2020-05-25,45445
2020-05-26,45578
2020-05-27,45768
2020-05-28,45950
2020-05-29,46126
2020-05-30,46257
2020-05-31,46442
2020-06-01,46545
2020-06-02,46647
2020-06-03,46733
2020-06-04,46942
2020-06-05,47152
2020-06-06,47335
2020-06-07,47574
2020-06-08,47739
2020-06-09,47903
2020-06-10,48087
2020-06-11,48251
2020-06-12,48461
2020-06-13,48640
