Datum,Aantal
2020-03-12,86
2020-03-13,115
2020-03-14,136
2020-03-15,162
2020-03-16,205
2020-03-17,314
2020-03-18,408
2020-03-19,489
2020-03-20,634
2020-03-21,836
2020-03-22,988
2020-03-23,1230
2020-03-24,1495
2020-03-25,1836
2020-03-26,2151
2020-03-27,2500
2020-03-28,2954
2020-03-29,3483
2020-03-30,3990
2020-03-31,4712
2020-04-01,5159
2020-04-02,5784
2020-04-03,6286
2020-04-04,6622
2020-04-05,6875
2020-04-06,7135
2020-04-07,7427
2020-04-08,7735
2020-04-09,7972
2020-04-10,8197
2020-04-11,8386
2020-04-12,8582
2020-04-13,8729
2020-04-14,8939
2020-04-15,9127
2020-04-16,9309
2020-04-17,9465
2020-04-18,9594
2020-04-19,9704
2020-04-20,9779
2020-04-21,9897
2020-04-22,10021
2020-04-23,10158
