DatumTijd,Persbericht
2020-02-26 09:45:00,"26-2-2020 | 9.45 uur

Duitse coronapatiënt niet ziek tijdens verblijf in Limburg

Op dinsdagavond 25 februari werd bekend dat een Duitse man positief getest is op COVID-19. Hij zou vorige week in Nederland zijn geweest. De GGD is daarom direct gestart met contactonderzoek. 

In de loop van afgelopen nacht is uit dit contactonderzoek gebleken dat de man in het weekend van 8 en 9 februari in Limburg is geweest. Dat is ruim een week eerder dan de klachten in Duitsland zijn ontstaan. Tijdens dit verblijf in Nederland was hij niet ziek en niet besmettelijk. Daarmee is de noodzaak voor verder contactonderzoek voor dit verblijf in Nederland komen te vervallen.  

"
2020-02-26 16:00:00,"26-2-2020 | 16.00 uur

Contactonderzoek patiënt in Duitsland

Het Gesundheidsamt Kreis Heinsberg (Nordrhein-Westfalen) in Duitsland is op dit moment bezig alle contacten rond de patiënt in Duitsland in kaart te brengen. Aangezien dit gebied grenst aan Nederland is het mogelijk dat daar ook Nederlanders bij zitten. De GGD’en van Limburg houden hierover nauw contact met hun Duitse collega’s. Eventuele Nederlandse contacten worden door de GGD direct benaderd om hen hierover te informeren en afspraken te maken over de monitoring van gezondheidsklachten.

Omdat het contactonderzoek van deze patiënt nog gaande is, heeft het Gesundheidsamt Kreis Heinsberg uit voorzorg een aantal maatregelen genomen om verspreiding van het virus te voorkomen. Zo zijn tot 2 maart alle scholen en kinderdagverblijven gesloten en is mensen gevraagd zoveel mogelijk thuis te blijven en geen bezoek te brengen aan ziekenhuizen en zorginstellingen.  Er is geen reden om deze maatregelen ook in Limburg in te stellen.

"
2020-02-27 21:15:00,"27-2-2020 | 21.15 uur

Patiënt met nieuw coronavirus in Nederland

Vanavond werd bekend dat er een patiënt in Nederland met COVID-19 is gevonden. Met labonderzoek is dit vastgesteld. De patiënt, die kort geleden in de regio Lombardije (Italië) is geweest, zit in isolatie. De GGD brengt contacten van deze patiënt in kaart voor contactonderzoek. 

"
2020-02-28 10:50:00,"28-2-2020 | 10.50 uur

Tweede patiënt in Nederland met COVID-19

Vannacht is een tweede patiënt met COVID-19 gediagnosticeerd. Met labonderzoek in het AmsterdamUMC werd dit vastgesteld, waarna het resultaat in het laboratorium van het RIVM Rijksinstituut voor Volksgezondheid en Milieu  werd bevestigd. De patiënt heeft geen link met de eerste patiënt. De tweede patiënt, een inwoner van Amsterdam was vorige week in Lombardije (Italië). Zij zit in thuisisolatie in Diemen. De GGD Gemeentelijke Gezondheidsdienst  Amsterdam brengt in kaart met wie deze patiënt contact heeft gehad door middel van contactonderzoek.

"
2020-02-29 13:00:00,"29-2-2020 | 13.00 uur

Twee contacten testten positief voor het nieuwe coronavirus

Vannacht testten directe contacten van de patiënt in Diemen positief voor het nieuwe coronavirus (COVID-19). Doordat het contactonderzoek van de GGD Gemeentelijke Gezondheidsdienst  Amsterdam meteen werd opgestart na het vinden van de eerste patiënt, werden deze nieuwe patiënten snel gevonden. Ook van deze nieuwe patiënten worden alle contacten nu in kaart gebracht.

"
2020-02-29 16:25:00,"29-2-2020 | 16.25 uur

Ook enkele contacten van Tilburgse patiënt testten positief voor COVID-19

Vanochtend werd bekend dat de dochter en echtgenote van de patiënt die in Tilburg verblijft, positief testten op het nieuwe coronavirus. De resultaten van enkele andere contacten waren negatief. 

"
2020-02-29 21:47:00,"29-02-2020  | 21.47 uur

Patiënt met COVID-19 in Delft

Vanavond is een inwoner van Delft met COVID-19 gediagnosticeerd. Na laboratoriumonderzoek in 2 labs stelde het RIVM Rijksinstituut voor Volksgezondheid en Milieu  dit resultaat vast. De patiënt, die geen link heeft met de eerder gevonden patiënten, was vorige week in Lombardije (Italië). 

"
2020-03-01 13:20:00,"01-03-2020  | 13.20 uur

Persconferentie

Om 15.30 uur houdt het RIVM een persconferentie met nieuws rondom COVID-19. Uitzending gemist? Het coronavirus: Feiten en fabels 

"
2020-03-01 15:30:00,"01-03-2020  | 15.30 uur

Drie nieuwe patiënten met COVID-19

Vandaag zijn er drie nieuwe patiënten met COVID-19 gediagnosticeerd. Daarmee zijn er op dit moment 10 patiënten in Nederland. Eén patiënt heeft in het Beatrixziekenhuis in Gorinchem gelegen. Het ziekenhuis wordt uit voorzorg tijdelijk gesloten. Dit werd vandaag bekendgemaakt tijdens een persconferentie. Bekijk de persconferentie terug op YouTube.

"
2020-03-02 13:10:00,"02-03-2020 | 13:10

Acht nieuwe patiënten, opnamestop IC-afdeling Maasstad Ziekenhuis

Tot maandag 2 maart zijn 8 nieuwe patiënten bij het RIVM gemeld. Hiermee komt het totaal aantal positieve testen in Nederland op 18. Bijna alle nieuwe personen bij wie het nieuwe coronavirus is vastgesteld zijn reizigers afkomstig uit Noord-Italië of zijn gezinscontacten van een eerdere patiënt. Als de bron van de besmetting van de patiënt nog onbekend is, wordt dat ook uitgezocht. 

INFORMATIE VOOR REDACTIES

Vanaf maandag 2 maart geeft het RIVM één dagelijkse update met nieuwe ontwikkelingen rond het nieuwe coronavirus. Als er bijzondere ontwikkelingen zijn zullen we die vanzelfsprekend tussentijds melden. 

"
