"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,158,"NLD","Netherlands",1,"Drenthe","Provincie","Province",NA,NA
2,158,"NLD","Netherlands",2,"Flevoland","Provincie","Province",NA,NA
3,158,"NLD","Netherlands",3,"Friesland","Provincie","Province",NA,"Frise|Frisia|Frísia"
4,158,"NLD","Netherlands",4,"Gelderland","Provincie","Province",NA,"Geldern|Gheldria|Guelders|Gueldre"
5,158,"NLD","Netherlands",5,"Groningen","Provincie","Province",NA,"Groninga|Groningue"
6,158,"NLD","Netherlands",6,"IJsselmeer","Water body","Water body",NA,NA
7,158,"NLD","Netherlands",7,"Limburg","Provincie","Province",NA,"Limbourg|Limburgo"
8,158,"NLD","Netherlands",8,"Noord-Brabant","Provincie","Province",NA,"Brabante del Norte|Brabante do Norte|Brabante settentrionale|Brabant-septentrional|Nord-Brabant|Nort"
9,158,"NLD","Netherlands",9,"Noord-Holland","Provincie","Province",NA,"Holanda do Norte|Hollande-septentrionale|North Holland"
10,158,"NLD","Netherlands",10,"Overijssel","Provincie","Province",NA,NA
11,158,"NLD","Netherlands",11,"Utrecht","Provincie","Province",NA,NA
12,158,"NLD","Netherlands",12,"Zeeland","Provincie","Province",NA,"Zelanda|Zélande|Zelândia"
13,158,"NLD","Netherlands",13,"Zeeuwse meren","Water body","Water body",NA,NA
14,158,"NLD","Netherlands",14,"Zuid-Holland","Provincie","Province",NA,"Hollande-méridionale|South Holland"
