Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
-1;* postcode ontbreekt bij 84 pt en 1 woont in buitenland;99;;
518;'s-Gravenhage;21;537833;3.9
796;'s-Hertogenbosch;30;154205;19.5
1680;Aa en Hunze;0;25386;0
358;Aalsmeer;3;31728;9.5
197;Aalten;0;27011;0
59;Achtkarspelen;0;27852;0
482;Alblasserdam;1;20069;5
613;Albrandswaard;4;25271;15.8
361;Alkmaar;5;108558;4.6
141;Almelo;1;72849;1.4
34;Almere;4;207904;1.9
484;Alphen aan den Rijn;9;110986;8.1
1723;Alphen-Chaam;6;10149;59.1
1959;Altena;15;55386;27.1
60;Ameland;0;3673;0
307;Amersfoort;23;156286;14.7
362;Amstelveen;7;90838;7.7
363;Amsterdam;61;862965;7.1
200;Apeldoorn;10;162445;6.2
3;Appingedam;0;11721;0
202;Arnhem;9;159265;5.7
106;Assen;0;67963;0
743;Asten;2;16710;12
744;Baarle-Nassau;0;6847;0
308;Baarn;0;24767;0
489;Barendrecht;3;48673;6.2
203;Barneveld;5;57971;8.6
888;Beek;3;15929;18.8
1954;Beekdaelen;18;35727;50.4
370;Beemster;0;9748;0
889;Beesel;0;13519;0
1945;Berg en Dal;14;34798;40.2
1724;Bergeijk;1;18491;5.4
893;Bergen (L);1;13140;7.6
373;Bergen (NH);2;29974;6.7
748;Bergen op Zoom;5;66811;7.5
1859;Berkelland;0;43904;0
1721;Bernheze;26;30806;84.4
753;Best;6;29821;20.1
209;Beuningen;6;25882;23.2
375;Beverwijk;6;41176;14.6
1728;Bladel;2;20175;9.9
376;Blaricum;2;11202;17.9
377;Bloemendaal;3;23410;12.8
1901;Bodegraven-Reeuwijk;1;34462;2.9
755;Boekel;19;10588;179.4
1681;Borger-Odoorn;0;25372;0
147;Borne;3;23210;12.9
654;Borsele;2;22800;8.8
756;Boxmeer;2;29065;6.9
757;Boxtel;5;30747;16.3
758;Breda;105;183873;57.1
501;Brielle;0;17182;0
1876;Bronckhorst;2;36212;5.5
213;Brummen;0;20698;0
899;Brunssum;4;28103;14.2
312;Bunnik;0;15192;0
313;Bunschoten;0;21576;0
214;Buren;4;26568;15.1
502;Capelle aan den IJssel;1;66818;1.5
383;Castricum;5;35772;14
109;Coevorden;12;35483;33.8
1706;Cranendonck;6;20440;29.4
1684;Cuijk;2;24931;8
216;Culemborg;4;28555;14
148;Dalfsen;1;28499;3.5
1891;Dantumadiel;0;18923;0
310;De Bilt;16;42824;37.4
1940;De Fryske Marren;5;51430;9.7
736;De Ronde Venen;2;44059;4.5
1690;De Wolden;1;24110;4.1
503;Delft;4;103163;3.9
10;Delfzijl;0;24716;0
400;Den Helder;1;55604;1.8
762;Deurne;8;32362;24.7
150;Deventer;5;99957;5
384;Diemen;2;29196;6.9
1774;Dinkelland;6;26350;22.8
221;Doesburg;1;11148;9
222;Doetinchem;0;57555;0
766;Dongen;5;26051;19.2
505;Dordrecht;4;118654;3.4
498;Drechterland;0;19597;0
1719;Drimmelen;12;27150;44.2
303;Dronten;8;40815;19.6
225;Druten;5;18797;26.6
226;Duiven;2;25332;7.9
1711;Echt-Susteren;6;31638;19
385;Edam-Volendam;0;36099;0
228;Ede;5;115710;4.3
317;Eemnes;1;9113;11
770;Eersel;4;19110;20.9
1903;Eijsden-Margraten;4;25658;15.6
772;Eindhoven;23;231642;9.9
230;Elburg;1;23086;4.3
114;Emmen;2;107113;1.9
388;Enkhuizen;1;18507;5.4
153;Enschede;4;158986;2.5
232;Epe;4;33145;12.1
233;Ermelo;8;26858;29.8
777;Etten-Leur;13;43774;29.7
779;Geertruidenberg;7;21515;32.5
1771;Geldrop-Mierlo;3;39595;7.6
1652;Gemert-Bakel;26;30447;85.4
907;Gennep;2;17071;11.7
784;Gilze en Rijen;3;26431;11.4
1924;Goeree-Overflakkee;7;49611;14.1
664;Goes;3;37653;8
785;Goirle;9;23793;37.8
1942;Gooise Meren;9;57715;15.6
512;Gorinchem;0;36682;0
513;Gouda;7;73181;9.6
786;Grave;1;12483;8
14;Groningen;11;231299;4.8
1729;Gulpen-Wittem;2;14246;14
158;Haaksbergen;1;24277;4.1
788;Haaren;9;14195;63.4
392;Haarlem;7;161265;4.3
394;Haarlemmermeer;4;154235;2.6
1655;Halderberge;2;30194;6.6
160;Hardenberg;0;60574;0
243;Harderwijk;5;47581;10.5
523;Hardinxveld-Giessendam;5;18051;27.7
72;Harlingen;1;15758;6.3
244;Hattem;0;12173;0
396;Heemskerk;2;39164;5.1
397;Heemstede;5;27286;18.3
246;Heerde;3;18546;16.2
74;Heerenveen;0;50257;0
398;Heerhugowaard;2;56742;3.5
917;Heerlen;14;86832;16.1
1658;Heeze-Leende;4;15964;25.1
399;Heiloo;3;23464;12.8
163;Hellendoorn;2;35808;5.6
530;Hellevoetsluis;1;40049;2.5
794;Helmond;20;91524;21.9
531;Hendrik-Ido-Ambacht;0;30966;0
164;Hengelo (O);4;80683;5
1966;Het Hogeland;0;47888;0
252;Heumen;5;16486;30.3
797;Heusden;5;44135;11.3
534;Hillegom;1;21966;4.6
798;Hilvarenbeek;4;15334;26.1
402;Hilversum;3;90238;3.3
1963;Hoeksche Waard;8;86656;9.2
1735;Hof van Twente;3;34940;8.6
1911;Hollands Kroon;1;47815;2.1
118;Hoogeveen;3;55662;5.4
405;Hoorn;1;73004;1.4
1507;Horst aan de Maas;8;42291;18.9
321;Houten;14;49911;28
406;Huizen;2;41273;4.8
677;Hulst;0;27524;0
353;IJsselstein;7;34160;20.5
1884;Kaag en Braassem;0;26866;0
166;Kampen;2;53779;3.7
678;Kapelle;2;12785;15.6
537;Katwijk;2;65302;3.1
928;Kerkrade;3;45642;6.6
1598;Koggenland;1;22738;4.4
542;Krimpen aan den IJssel;1;29376;3.4
1931;Krimpenerwaard;4;56048;7.1
1659;Laarbeek;2;22333;9
1685;Landerd;16;15529;103
882;Landgraaf;7;37591;18.6
415;Landsmeer;3;11488;26.1
416;Langedijk;4;27992;14.3
1621;Lansingerland;10;61601;16.2
417;Laren;0;11195;0
80;Leeuwarden;4;123107;3.2
546;Leiden;11;124899;8.8
547;Leiderdorp;2;27109;7.4
1916;Leidschendam-Voorburg;6;75425;8
995;Lelystad;12;77893;15.4
1640;Leudal;11;35681;30.8
327;Leusden;3;30030;10
1705;Lingewaard;4;46475;8.6
553;Lisse;0;22800;0
262;Lochem;1;33590;3
809;Loon op Zand;9;23327;38.6
331;Lopik;3;14473;20.7
24;Loppersum;0;9614;0
168;Losser;0;22622;0
263;Maasdriel;1;24693;4
1641;Maasgouw;4;23716;16.9
556;Maassluis;2;32768;6.1
935;Maastricht;41;121565;33.7
420;Medemblik;0;44809;0
938;Meerssen;2;18923;10.6
1948;Meierijstad;60;80815;74.2
119;Meppel;0;33564;0
687;Middelburg;2;48544;4.1
1842;Midden-Delfland;0;19391;0
1731;Midden-Drenthe;0;33178;0
1952;Midden-Groningen;2;60899;3.3
815;Mill en Sint Hubert;1;10891;9.2
1709;Moerdijk;1;36961;2.7
1978;Molenlanden;7;43858;16
1955;Montferland;1;36026;2.8
335;Montfoort;0;13996;0
944;Mook en Middelaar;0;7806;0
1740;Neder-Betuwe;4;24034;16.6
946;Nederweert;7;17001;41.2
356;Nieuwegein;4;63036;6.3
569;Nieuwkoop;1;28628;3.5
267;Nijkerk;2;42943;4.7
268;Nijmegen;41;176731;23.2
1930;Nissewaard;4;84797;4.7
1970;Noardeast-Fryslân;0;45181;0
1695;Noord-Beveland;0;7308;0
1699;Noordenveld;1;31290;3.2
171;Noordoostpolder;2;46849;4.3
575;Noordwijk;2;42859;4.7
820;Nuenen, Gerwen en Nederwetten;1;23186;4.3
302;Nunspeet;3;27481;10.9
579;Oegstgeest;4;24426;16.4
823;Oirschot;1;18623;5.4
824;Oisterwijk;10;26140;38.3
1895;Oldambt;0;38129;0
269;Oldebroek;5;23598;21.2
173;Oldenzaal;2;31840;6.3
1773;Olst-Wijhe;0;18071;0
175;Ommen;2;17813;11.2
1586;Oost Gelre;0;29704;0
826;Oosterhout;9;55616;16.2
85;Ooststellingwerf;0;25497;0
431;Oostzaan;2;9757;20.5
432;Opmeer;0;11779;0
86;Opsterland;2;29723;6.7
828;Oss;20;91451;21.9
1509;Oude IJsselstreek;2;39473;5.1
437;Ouder-Amstel;3;13916;21.6
589;Oudewater;1;10201;9.8
1734;Overbetuwe;9;47543;18.9
590;Papendrecht;0;32290;0
1894;Peel en Maas;36;43311;83.1
765;Pekela;1;12214;8.2
1926;Pijnacker-Nootdorp;11;54331;20.2
439;Purmerend;4;80117;5
273;Putten;2;24198;8.3
177;Raalte;3;37511;8
703;Reimerswaal;3;22678;13.2
274;Renkum;8;31302;25.6
339;Renswoude;0;5259;0
1667;Reusel-De Mierden;0;13060;0
275;Rheden;3;43640;6.9
340;Rhenen;0;20004;0
597;Ridderkerk;1;46241;2.2
1742;Rijssen-Holten;0;38300;0
603;Rijswijk;3;53467;5.6
1669;Roerdalen;1;20615;4.9
957;Roermond;6;58209;10.3
1674;Roosendaal;6;77032;7.8
599;Rotterdam;58;644618;9
277;Rozendaal;2;1654;120.9
840;Rucphen;1;22572;4.4
441;Schagen;5;46553;10.7
279;Scherpenzeel;0;9873;0
606;Schiedam;1;77999;1.3
