report_date,date,province,value
2020-04-30,2020-02-27,Groningen,0
2020-04-30,2020-02-28,Groningen,0
2020-04-30,2020-02-29,Groningen,0
2020-04-30,2020-03-01,Groningen,0
2020-04-30,2020-03-02,Groningen,0
2020-04-30,2020-03-03,Groningen,0
2020-04-30,2020-03-04,Groningen,0
2020-04-30,2020-03-05,Groningen,0
2020-04-30,2020-03-06,Groningen,0
2020-04-30,2020-03-07,Groningen,0
2020-04-30,2020-03-08,Groningen,0
2020-04-30,2020-03-09,Groningen,0
2020-04-30,2020-03-10,Groningen,0
2020-04-30,2020-03-11,Groningen,3
2020-04-30,2020-03-12,Groningen,1
2020-04-30,2020-03-13,Groningen,1
2020-04-30,2020-03-14,Groningen,6
2020-04-30,2020-03-15,Groningen,1
2020-04-30,2020-03-16,Groningen,0
2020-04-30,2020-03-17,Groningen,4
2020-04-30,2020-03-18,Groningen,12
2020-04-30,2020-03-19,Groningen,7
2020-04-30,2020-03-20,Groningen,19
2020-04-30,2020-03-21,Groningen,13
2020-04-30,2020-03-22,Groningen,5
2020-04-30,2020-03-23,Groningen,3
2020-04-30,2020-03-24,Groningen,26
2020-04-30,2020-03-25,Groningen,15
2020-04-30,2020-03-26,Groningen,12
2020-04-30,2020-03-27,Groningen,12
2020-04-30,2020-03-28,Groningen,8
2020-04-30,2020-03-29,Groningen,5
2020-04-30,2020-03-30,Groningen,9
2020-04-30,2020-03-31,Groningen,8
2020-04-30,2020-04-01,Groningen,8
2020-04-30,2020-04-02,Groningen,6
2020-04-30,2020-04-03,Groningen,8
2020-04-30,2020-04-04,Groningen,13
2020-04-30,2020-04-05,Groningen,3
2020-04-30,2020-04-06,Groningen,9
2020-04-30,2020-04-07,Groningen,10
2020-04-30,2020-04-08,Groningen,10
2020-04-30,2020-04-09,Groningen,15
2020-04-30,2020-04-10,Groningen,14
2020-04-30,2020-04-11,Groningen,14
2020-04-30,2020-04-12,Groningen,4
2020-04-30,2020-04-13,Groningen,1
2020-04-30,2020-04-14,Groningen,4
2020-04-30,2020-04-15,Groningen,4
2020-04-30,2020-04-16,Groningen,5
2020-04-30,2020-04-17,Groningen,4
2020-04-30,2020-04-18,Groningen,6
2020-04-30,2020-04-19,Groningen,3
2020-04-30,2020-04-20,Groningen,2
2020-04-30,2020-04-21,Groningen,5
2020-04-30,2020-04-22,Groningen,6
2020-04-30,2020-04-23,Groningen,6
2020-04-30,2020-04-24,Groningen,3
2020-04-30,2020-04-25,Groningen,0
2020-04-30,2020-04-26,Groningen,0
2020-04-30,2020-04-27,Groningen,0
2020-04-30,2020-04-28,Groningen,2
2020-04-30,2020-04-29,Groningen,2
2020-04-30,2020-04-30,Groningen,1
2020-04-30,2020-02-27,Flevoland,0
2020-04-30,2020-02-28,Flevoland,0
2020-04-30,2020-02-29,Flevoland,0
2020-04-30,2020-03-01,Flevoland,0
2020-04-30,2020-03-02,Flevoland,1
2020-04-30,2020-03-03,Flevoland,1
2020-04-30,2020-03-04,Flevoland,0
2020-04-30,2020-03-05,Flevoland,0
2020-04-30,2020-03-06,Flevoland,0
2020-04-30,2020-03-07,Flevoland,0
2020-04-30,2020-03-08,Flevoland,0
2020-04-30,2020-03-09,Flevoland,0
2020-04-30,2020-03-10,Flevoland,1
2020-04-30,2020-03-11,Flevoland,1
2020-04-30,2020-03-12,Flevoland,4
2020-04-30,2020-03-13,Flevoland,5
2020-04-30,2020-03-14,Flevoland,4
2020-04-30,2020-03-15,Flevoland,2
2020-04-30,2020-03-16,Flevoland,3
