id;Gemeente;Indicator;Aantal
1680,00;Aa en Hunze;Aantal;
358,00;Aalsmeer;Aantal;
197,00;Aalten;Aantal;
59,00;Achtkarspelen;Aantal;
482,00;Alblasserdam;Aantal;
613,00;Albrandswaard;Aantal;
361,00;Alkmaar;Aantal;
141,00;Almelo;Aantal;
34,00;Almere;Aantal;
484,00;Alphen aan den Rijn;Aantal;1
1723,00;Alphen-Chaam;Aantal;
1959,00;Altena;Aantal;3
60,00;Ameland;Aantal;
307,00;Amersfoort;Aantal;
362,00;Amstelveen;Aantal;
363,00;Amsterdam;Aantal;1
200,00;Apeldoorn;Aantal;
3,00;Appingedam;Aantal;
202,00;Arnhem;Aantal;
106,00;Assen;Aantal;
743,00;Asten;Aantal;
744,00;Baarle-Nassau;Aantal;
308,00;Baarn;Aantal;
489,00;Barendrecht;Aantal;
203,00;Barneveld;Aantal;
888,00;Beek;Aantal;
1954,00;Beekdaelen;Aantal;
370,00;Beemster;Aantal;
889,00;Beesel;Aantal;
1945,00;Berg en Dal;Aantal;
1724,00;Bergeijk;Aantal;
893,00;Bergen (L);Aantal;
373,00;Bergen (NH);Aantal;
748,00;Bergen op Zoom;Aantal;
1859,00;Berkelland;Aantal;
1721,00;Bernheze;Aantal;
753,00;Best;Aantal;
209,00;Beuningen;Aantal;
375,00;Beverwijk;Aantal;1
1728,00;Bladel;Aantal;
376,00;Blaricum;Aantal;1
377,00;Bloemendaal;Aantal;
1901,00;Bodegraven-Reeuwijk;Aantal;
755,00;Boekel;Aantal;
1681,00;Borger-Odoorn;Aantal;
147,00;Borne;Aantal;
654,00;Borsele;Aantal;
756,00;Boxmeer;Aantal;
757,00;Boxtel;Aantal;
758,00;Breda;Aantal;
501,00;Brielle;Aantal;
1876,00;Bronckhorst;Aantal;
213,00;Brummen;Aantal;
899,00;Brunssum;Aantal;
312,00;Bunnik;Aantal;
313,00;Bunschoten;Aantal;
214,00;Buren;Aantal;
502,00;Capelle aan den IJssel;Aantal;
383,00;Castricum;Aantal;
109,00;Coevorden;Aantal;2
1706,00;Cranendonck;Aantal;
1684,00;Cuijk;Aantal;
216,00;Culemborg;Aantal;
148,00;Dalfsen;Aantal;
1891,00;Dantumadiel;Aantal;
310,00;De Bilt;Aantal;
1940,00;De Fryske Marren;Aantal;
736,00;De Ronde Venen;Aantal;
1690,00;De Wolden;Aantal;
503,00;Delft;Aantal;1
10,00;Delfzijl;Aantal;
400,00;Den Helder;Aantal;
762,00;Deurne;Aantal;
150,00;Deventer;Aantal;
384,00;Diemen;Aantal;2
1774,00;Dinkelland;Aantal;
221,00;Doesburg;Aantal;
222,00;Doetinchem;Aantal;
766,00;Dongen;Aantal;
505,00;Dordrecht;Aantal;
498,00;Drechterland;Aantal;
1719,00;Drimmelen;Aantal;
303,00;Dronten;Aantal;
225,00;Druten;Aantal;
226,00;Duiven;Aantal;
1711,00;Echt-Susteren;Aantal;
385,00;Edam-Volendam;Aantal;
228,00;Ede;Aantal;
317,00;Eemnes;Aantal;
770,00;Eersel;Aantal;
1903,00;Eijsden-Margraten;Aantal;
772,00;Eindhoven;Aantal;1
230,00;Elburg;Aantal;
114,00;Emmen;Aantal;
388,00;Enkhuizen;Aantal;
153,00;Enschede;Aantal;
232,00;Epe;Aantal;
233,00;Ermelo;Aantal;
777,00;Etten-Leur;Aantal;
779,00;Geertruidenberg;Aantal;
1771,00;Geldrop-Mierlo;Aantal;
1652,00;Gemert-Bakel;Aantal;
907,00;Gennep;Aantal;
784,00;Gilze en Rijen;Aantal;
1924,00;Goeree-Overflakkee;Aantal;
664,00;Goes;Aantal;
785,00;Goirle;Aantal;
1942,00;Gooise Meren;Aantal;1
512,00;Gorinchem;Aantal;
513,00;Gouda;Aantal;
786,00;Grave;Aantal;
14,00;Groningen;Aantal;
1729,00;Gulpen-Wittem;Aantal;
158,00;Haaksbergen;Aantal;
788,00;Haaren;Aantal;
392,00;Haarlem;Aantal;1
394,00;Haarlemmermeer;Aantal;
1655,00;Halderberge;Aantal;
160,00;Hardenberg;Aantal;
243,00;Harderwijk;Aantal;
523,00;Hardinxveld-Giessendam;Aantal;1
72,00;Harlingen;Aantal;
244,00;Hattem;Aantal;
396,00;Heemskerk;Aantal;
397,00;Heemstede;Aantal;
246,00;Heerde;Aantal;
74,00;Heerenveen;Aantal;
398,00;Heerhugowaard;Aantal;
917,00;Heerlen;Aantal;
1658,00;Heeze-Leende;Aantal;
399,00;Heiloo;Aantal;
163,00;Hellendoorn;Aantal;
530,00;Hellevoetsluis;Aantal;
794,00;Helmond;Aantal;4
531,00;Hendrik-Ido-Ambacht;Aantal;
164,00;Hengelo (O);Aantal;
1966,00;Het Hogeland;Aantal;
252,00;Heumen;Aantal;
