id;Gemeente;Indicator;Aantal
1680;Aa en Hunze;Aantal;
358;Aalsmeer;Aantal;
197;Aalten;Aantal;
59;Achtkarspelen;Aantal;
482;Alblasserdam;Aantal;
613;Albrandswaard;Aantal;
361;Alkmaar;Aantal;
141;Almelo;Aantal;
34;Almere;Aantal;1
484;Alphen aan den Rijn;Aantal;1
1723;Alphen-Chaam;Aantal;
1959;Altena;Aantal;4
60;Ameland;Aantal;
307;Amersfoort;Aantal;
362;Amstelveen;Aantal;
363;Amsterdam;Aantal;2
200;Apeldoorn;Aantal;
3;Appingedam;Aantal;
202;Arnhem;Aantal;1
106;Assen;Aantal;
743;Asten;Aantal;
744;Baarle-Nassau;Aantal;
308;Baarn;Aantal;
489;Barendrecht;Aantal;
203;Barneveld;Aantal;
888;Beek;Aantal;
1954;Beekdaelen;Aantal;1
370;Beemster;Aantal;
889;Beesel;Aantal;
1945;Berg en Dal;Aantal;
1724;Bergeijk;Aantal;
893;Bergen (L);Aantal;
373;Bergen (NH);Aantal;
748;Bergen op Zoom;Aantal;
1859;Berkelland;Aantal;
1721;Bernheze;Aantal;
753;Best;Aantal;1
209;Beuningen;Aantal;1
375;Beverwijk;Aantal;2
1728;Bladel;Aantal;
376;Blaricum;Aantal;1
377;Bloemendaal;Aantal;
1901;Bodegraven-Reeuwijk;Aantal;
755;Boekel;Aantal;
1681;Borger-Odoorn;Aantal;
147;Borne;Aantal;1
654;Borsele;Aantal;
756;Boxmeer;Aantal;
757;Boxtel;Aantal;
758;Breda;Aantal;2
501;Brielle;Aantal;
1876;Bronckhorst;Aantal;1
213;Brummen;Aantal;
899;Brunssum;Aantal;
312;Bunnik;Aantal;
313;Bunschoten;Aantal;
214;Buren;Aantal;
502;Capelle aan den IJssel;Aantal;
383;Castricum;Aantal;
109;Coevorden;Aantal;3
1706;Cranendonck;Aantal;
1684;Cuijk;Aantal;
216;Culemborg;Aantal;1
148;Dalfsen;Aantal;
1891;Dantumadiel;Aantal;
310;De Bilt;Aantal;3
1940;De Fryske Marren;Aantal;
736;De Ronde Venen;Aantal;
1690;De Wolden;Aantal;
503;Delft;Aantal;1
10;Delfzijl;Aantal;
400;Den Helder;Aantal;
762;Deurne;Aantal;
150;Deventer;Aantal;
384;Diemen;Aantal;2
1774;Dinkelland;Aantal;
221;Doesburg;Aantal;
222;Doetinchem;Aantal;
766;Dongen;Aantal;1
505;Dordrecht;Aantal;
498;Drechterland;Aantal;
1719;Drimmelen;Aantal;
303;Dronten;Aantal;
225;Druten;Aantal;
226;Duiven;Aantal;
1711;Echt-Susteren;Aantal;
385;Edam-Volendam;Aantal;
228;Ede;Aantal;
317;Eemnes;Aantal;
770;Eersel;Aantal;
1903;Eijsden-Margraten;Aantal;
772;Eindhoven;Aantal;4
230;Elburg;Aantal;
114;Emmen;Aantal;
388;Enkhuizen;Aantal;
153;Enschede;Aantal;
232;Epe;Aantal;
233;Ermelo;Aantal;
777;Etten-Leur;Aantal;
779;Geertruidenberg;Aantal;
1771;Geldrop-Mierlo;Aantal;
1652;Gemert-Bakel;Aantal;1
907;Gennep;Aantal;
784;Gilze en Rijen;Aantal;
1924;Goeree-Overflakkee;Aantal;
664;Goes;Aantal;
785;Goirle;Aantal;
1942;Gooise Meren;Aantal;2
512;Gorinchem;Aantal;
513;Gouda;Aantal;
786;Grave;Aantal;
14;Groningen;Aantal;
1729;Gulpen-Wittem;Aantal;
158;Haaksbergen;Aantal;
788;Haaren;Aantal;
392;Haarlem;Aantal;1
394;Haarlemmermeer;Aantal;
1655;Halderberge;Aantal;
160;Hardenberg;Aantal;
243;Harderwijk;Aantal;
523;Hardinxveld-Giessendam;Aantal;4
72;Harlingen;Aantal;
244;Hattem;Aantal;
396;Heemskerk;Aantal;
397;Heemstede;Aantal;
246;Heerde;Aantal;
74;Heerenveen;Aantal;
398;Heerhugowaard;Aantal;
917;Heerlen;Aantal;
1658;Heeze-Leende;Aantal;
399;Heiloo;Aantal;
163;Hellendoorn;Aantal;
530;Hellevoetsluis;Aantal;
794;Helmond;Aantal;4
531;Hendrik-Ido-Ambacht;Aantal;
164;Hengelo (O);Aantal;
1966;Het Hogeland;Aantal;
252;Heumen;Aantal;
797;Heusden;Aantal;
534;Hillegom;Aantal;
798;Hilvarenbeek;Aantal;
402;Hilversum;Aantal;
1963;Hoeksche Waard;Aantal;1
1735;Hof van Twente;Aantal;
1911;Hollands Kroon;Aantal;
118;Hoogeveen;Aantal;
405;Hoorn;Aantal;
1507;Horst aan de Maas;Aantal;
321;Houten;Aantal;9
406;Huizen;Aantal;
677;Hulst;Aantal;
353;IJsselstein;Aantal;
1884;Kaag en Braassem;Aantal;
166;Kampen;Aantal;
678;Kapelle;Aantal;
537;Katwijk;Aantal;
928;Kerkrade;Aantal;
1598;Koggenland;Aantal;
542;Krimpen aan den IJssel;Aantal;
1931;Krimpenerwaard;Aantal;
1659;Laarbeek;Aantal;
1685;Landerd;Aantal;
882;Landgraaf;Aantal;
415;Landsmeer;Aantal;
416;Langedijk;Aantal;
1621;Lansingerland;Aantal;1
417;Laren;Aantal;
80;Leeuwarden;Aantal;
546;Leiden;Aantal;
547;Leiderdorp;Aantal;
1916;Leidschendam-Voorburg;Aantal;
995;Lelystad;Aantal;
1640;Leudal;Aantal;
327;Leusden;Aantal;
1705;Lingewaard;Aantal;1
553;Lisse;Aantal;
262;Lochem;Aantal;
809;Loon op Zand;Aantal;5
331;Lopik;Aantal;
24;Loppersum;Aantal;
168;Losser;Aantal;
263;Maasdriel;Aantal;
1641;Maasgouw;Aantal;
556;Maassluis;Aantal;
935;Maastricht;Aantal;2
420;Medemblik;Aantal;
938;Meerssen;Aantal;
1948;Meierijstad;Aantal;
119;Meppel;Aantal;
687;Middelburg;Aantal;
1842;Midden-Delfland;Aantal;
1731;Midden-Drenthe;Aantal;
1952;Midden-Groningen;Aantal;
815;Mill en Sint Hubert;Aantal;
1709;Moerdijk;Aantal;
1978;Molenlanden;Aantal;
1955;Montferland;Aantal;
335;Montfoort;Aantal;
944;Mook en Middelaar;Aantal;
1740;Neder-Betuwe;Aantal;
946;Nederweert;Aantal;
356;Nieuwegein;Aantal;
569;Nieuwkoop;Aantal;
267;Nijkerk;Aantal;
268;Nijmegen;Aantal;1
1930;Nissewaard;Aantal;
1970;Noardeast-Fryslân;Aantal;
1695;Noord-Beveland;Aantal;
1699;Noordenveld;Aantal;
171;Noordoostpolder;Aantal;
575;Noordwijk;Aantal;
820;Nuenen, Gerwen en Nederwetten;Aantal;
302;Nunspeet;Aantal;
579;Oegstgeest;Aantal;
823;Oirschot;Aantal;
824;Oisterwijk;Aantal;1
1895;Oldambt;Aantal;
269;Oldebroek;Aantal;
173;Oldenzaal;Aantal;
1773;Olst-Wijhe;Aantal;
175;Ommen;Aantal;
1586;Oost Gelre;Aantal;
826;Oosterhout;Aantal;
85;Ooststellingwerf;Aantal;
431;Oostzaan;Aantal;
432;Opmeer;Aantal;
86;Opsterland;Aantal;
828;Oss;Aantal;1
1509;Oude IJsselstreek;Aantal;
437;Ouder-Amstel;Aantal;
589;Oudewater;Aantal;
1734;Overbetuwe;Aantal;
590;Papendrecht;Aantal;
1894;Peel en Maas;Aantal;
765;Pekela;Aantal;
1926;Pijnacker-Nootdorp;Aantal;2
439;Purmerend;Aantal;
273;Putten;Aantal;
177;Raalte;Aantal;
703;Reimerswaal;Aantal;
274;Renkum;Aantal;1
339;Renswoude;Aantal;
1667;Reusel-De Mierden;Aantal;
275;Rheden;Aantal;
340;Rhenen;Aantal;
597;Ridderkerk;Aantal;
1742;Rijssen-Holten;Aantal;
603;Rijswijk;Aantal;
1669;Roerdalen;Aantal;
957;Roermond;Aantal;
1674;Roosendaal;Aantal;
599;Rotterdam;Aantal;9
277;Rozendaal;Aantal;
840;Rucphen;Aantal;
441;Schagen;Aantal;
279;Scherpenzeel;Aantal;
606;Schiedam;Aantal;
88;Schiermonnikoog;Aantal;
1676;Schouwen-Duiveland;Aantal;
518;'s-Gravenhage;Aantal;2
796;'s-Hertogenbosch;Aantal;
965;Simpelveld;Aantal;2
1702;Sint Anthonis;Aantal;
845;Sint-Michielsgestel;Aantal;2
1883;Sittard-Geleen;Aantal;4
610;Sliedrecht;Aantal;
1714;Sluis;Aantal;
90;Smallingerland;Aantal;
342;Soest;Aantal;6
847;Someren;Aantal;
848;Son en Breugel;Aantal;
37;Stadskanaal;Aantal;
180;Staphorst;Aantal;
532;Stede Broec;Aantal;
851;Steenbergen;Aantal;
1708;Steenwijkerland;Aantal;
971;Stein;Aantal;
1904;Stichtse Vecht;Aantal;3
1900;Súdwest-Fryslân;Aantal;
715;Terneuzen;Aantal;
93;Terschelling;Aantal;
448;Texel;Aantal;
1525;Teylingen;Aantal;
716;Tholen;Aantal;
281;Tiel;Aantal;
855;Tilburg;Aantal;4
183;Tubbergen;Aantal;
1700;Twenterand;Aantal;
1730;Tynaarlo;Aantal;
737;Tytsjerksteradiel;Aantal;
856;Uden;Aantal;2
450;Uitgeest;Aantal;
451;Uithoorn;Aantal;
184;Urk;Aantal;
344;Utrecht;Aantal;8
1581;Utrechtse Heuvelrug;Aantal;1
981;Vaals;Aantal;
994;Valkenburg aan de Geul;Aantal;
858;Valkenswaard;Aantal;
47;Veendam;Aantal;
345;Veenendaal;Aantal;
717;Veere;Aantal;
861;Veldhoven;Aantal;
453;Velsen;Aantal;
983;Venlo;Aantal;
984;Venray;Aantal;
1961;Vijfheerenlanden;Aantal;
622;Vlaardingen;Aantal;
96;Vlieland;Aantal;
718;Vlissingen;Aantal;
986;Voerendaal;Aantal;
626;Voorschoten;Aantal;
285;Voorst;Aantal;
865;Vught;Aantal;
1949;Waadhoeke;Aantal;
866;Waalre;Aantal;1
867;Waalwijk;Aantal;1
627;Waddinxveen;Aantal;
289;Wageningen;Aantal;
629;Wassenaar;Aantal;
852;Waterland;Aantal;
988;Weert;Aantal;
457;Weesp;Aantal;
1960;West Betuwe;Aantal;1
668;West Maas en Waal;Aantal;1
1969;Westerkwartier;Aantal;
1701;Westerveld;Aantal;
293;Westervoort;Aantal;
1950;Westerwolde;Aantal;
1783;Westland;Aantal;
98;Weststellingwerf;Aantal;
614;Westvoorne;Aantal;1
189;Wierden;Aantal;
296;Wijchen;Aantal;
1696;Wijdemeren;Aantal;
352;Wijk bij Duurstede;Aantal;1
294;Winterswijk;Aantal;
873;Woensdrecht;Aantal;
632;Woerden;Aantal;2
880;Wormerland;Aantal;
351;Woudenberg;Aantal;
479;Zaanstad;Aantal;
297;Zaltbommel;Aantal;1
473;Zandvoort;Aantal;
50;Zeewolde;Aantal;1
355;Zeist;Aantal;
299;Zevenaar;Aantal;
637;Zoetermeer;Aantal;
638;Zoeterwoude;Aantal;
1892;Zuidplas;Aantal;
879;Zundert;Aantal;
301;Zutphen;Aantal;
1896;Zwartewaterland;Aantal;
642;Zwijndrecht;Aantal;
193;Zwolle;Aantal;
