id;Gemeente;Indicator;Aantal
1680;Aa en Hunze;Aantal gevallen;
358;Aalsmeer;Aantal gevallen;2
197;Aalten;Aantal gevallen;
59;Achtkarspelen;Aantal gevallen;
482;Alblasserdam;Aantal gevallen;
613;Albrandswaard;Aantal gevallen;1
361;Alkmaar;Aantal gevallen;1
141;Almelo;Aantal gevallen;1
34;Almere;Aantal gevallen;1
484;Alphen aan den Rijn;Aantal gevallen;1
1723;Alphen-Chaam;Aantal gevallen;
1959;Altena;Aantal gevallen;4
60;Ameland;Aantal gevallen;
307;Amersfoort;Aantal gevallen;
362;Amstelveen;Aantal gevallen;2
363;Amsterdam;Aantal gevallen;8
200;Apeldoorn;Aantal gevallen;
3;Appingedam;Aantal gevallen;
202;Arnhem;Aantal gevallen;2
106;Assen;Aantal gevallen;
743;Asten;Aantal gevallen;
744;Baarle-Nassau;Aantal gevallen;
308;Baarn;Aantal gevallen;
489;Barendrecht;Aantal gevallen;
203;Barneveld;Aantal gevallen;
888;Beek;Aantal gevallen;
1954;Beekdaelen;Aantal gevallen;5
370;Beemster;Aantal gevallen;
889;Beesel;Aantal gevallen;
1945;Berg en Dal;Aantal gevallen;1
1724;Bergeijk;Aantal gevallen;
893;Bergen (L);Aantal gevallen;
373;Bergen (NH);Aantal gevallen;
748;Bergen op Zoom;Aantal gevallen;1
1859;Berkelland;Aantal gevallen;
1721;Bernheze;Aantal gevallen;2
753;Best;Aantal gevallen;2
209;Beuningen;Aantal gevallen;3
375;Beverwijk;Aantal gevallen;4
1728;Bladel;Aantal gevallen;
376;Blaricum;Aantal gevallen;1
377;Bloemendaal;Aantal gevallen;1
1901;Bodegraven-Reeuwijk;Aantal gevallen;
755;Boekel;Aantal gevallen;2
1681;Borger-Odoorn;Aantal gevallen;
147;Borne;Aantal gevallen;3
654;Borsele;Aantal gevallen;
756;Boxmeer;Aantal gevallen;
757;Boxtel;Aantal gevallen;
758;Breda;Aantal gevallen;27
501;Brielle;Aantal gevallen;
1876;Bronckhorst;Aantal gevallen;2
213;Brummen;Aantal gevallen;
899;Brunssum;Aantal gevallen;
312;Bunnik;Aantal gevallen;
313;Bunschoten;Aantal gevallen;
214;Buren;Aantal gevallen;
502;Capelle aan den IJssel;Aantal gevallen;
383;Castricum;Aantal gevallen;
109;Coevorden;Aantal gevallen;11
1706;Cranendonck;Aantal gevallen;
1684;Cuijk;Aantal gevallen;
216;Culemborg;Aantal gevallen;1
148;Dalfsen;Aantal gevallen;
1891;Dantumadiel;Aantal gevallen;
310;De Bilt;Aantal gevallen;6
1940;De Fryske Marren;Aantal gevallen;
736;De Ronde Venen;Aantal gevallen;
1690;De Wolden;Aantal gevallen;
503;Delft;Aantal gevallen;1
10;Delfzijl;Aantal gevallen;
400;Den Helder;Aantal gevallen;
762;Deurne;Aantal gevallen;1
150;Deventer;Aantal gevallen;
384;Diemen;Aantal gevallen;2
1774;Dinkelland;Aantal gevallen;2
221;Doesburg;Aantal gevallen;
222;Doetinchem;Aantal gevallen;
766;Dongen;Aantal gevallen;3
505;Dordrecht;Aantal gevallen;
498;Drechterland;Aantal gevallen;
1719;Drimmelen;Aantal gevallen;
303;Dronten;Aantal gevallen;
225;Druten;Aantal gevallen;
226;Duiven;Aantal gevallen;
1711;Echt-Susteren;Aantal gevallen;
385;Edam-Volendam;Aantal gevallen;
228;Ede;Aantal gevallen;
317;Eemnes;Aantal gevallen;
770;Eersel;Aantal gevallen;
1903;Eijsden-Margraten;Aantal gevallen;
772;Eindhoven;Aantal gevallen;8
230;Elburg;Aantal gevallen;
114;Emmen;Aantal gevallen;1
388;Enkhuizen;Aantal gevallen;
153;Enschede;Aantal gevallen;
232;Epe;Aantal gevallen;
233;Ermelo;Aantal gevallen;1
777;Etten-Leur;Aantal gevallen;3
779;Geertruidenberg;Aantal gevallen;
1771;Geldrop-Mierlo;Aantal gevallen;
1652;Gemert-Bakel;Aantal gevallen;2
907;Gennep;Aantal gevallen;
784;Gilze en Rijen;Aantal gevallen;
1924;Goeree-Overflakkee;Aantal gevallen;
664;Goes;Aantal gevallen;1
785;Goirle;Aantal gevallen;4
1942;Gooise Meren;Aantal gevallen;2
512;Gorinchem;Aantal gevallen;
513;Gouda;Aantal gevallen;1
786;Grave;Aantal gevallen;
14;Groningen;Aantal gevallen;
1729;Gulpen-Wittem;Aantal gevallen;
158;Haaksbergen;Aantal gevallen;
788;Haaren;Aantal gevallen;2
392;Haarlem;Aantal gevallen;1
394;Haarlemmermeer;Aantal gevallen;
1655;Halderberge;Aantal gevallen;
160;Hardenberg;Aantal gevallen;
243;Harderwijk;Aantal gevallen;
523;Hardinxveld-Giessendam;Aantal gevallen;5
72;Harlingen;Aantal gevallen;
244;Hattem;Aantal gevallen;
396;Heemskerk;Aantal gevallen;
397;Heemstede;Aantal gevallen;1
246;Heerde;Aantal gevallen;
74;Heerenveen;Aantal gevallen;
398;Heerhugowaard;Aantal gevallen;
917;Heerlen;Aantal gevallen;
1658;Heeze-Leende;Aantal gevallen;
399;Heiloo;Aantal gevallen;
163;Hellendoorn;Aantal gevallen;2
530;Hellevoetsluis;Aantal gevallen;
794;Helmond;Aantal gevallen;11
531;Hendrik-Ido-Ambacht;Aantal gevallen;
164;Hengelo (O);Aantal gevallen;
1966;Het Hogeland;Aantal gevallen;
252;Heumen;Aantal gevallen;
797;Heusden;Aantal gevallen;1
534;Hillegom;Aantal gevallen;
798;Hilvarenbeek;Aantal gevallen;
402;Hilversum;Aantal gevallen;
1963;Hoeksche Waard;Aantal gevallen;2
1735;Hof van Twente;Aantal gevallen;
1911;Hollands Kroon;Aantal gevallen;
118;Hoogeveen;Aantal gevallen;
405;Hoorn;Aantal gevallen;
1507;Horst aan de Maas;Aantal gevallen;
321;Houten;Aantal gevallen;13
406;Huizen;Aantal gevallen;1
677;Hulst;Aantal gevallen;
353;IJsselstein;Aantal gevallen;1
1884;Kaag en Braassem;Aantal gevallen;
166;Kampen;Aantal gevallen;
678;Kapelle;Aantal gevallen;
537;Katwijk;Aantal gevallen;
928;Kerkrade;Aantal gevallen;
1598;Koggenland;Aantal gevallen;
542;Krimpen aan den IJssel;Aantal gevallen;
1931;Krimpenerwaard;Aantal gevallen;1
1659;Laarbeek;Aantal gevallen;
1685;Landerd;Aantal gevallen;1
882;Landgraaf;Aantal gevallen;
415;Landsmeer;Aantal gevallen;
416;Langedijk;Aantal gevallen;
1621;Lansingerland;Aantal gevallen;4
417;Laren;Aantal gevallen;
80;Leeuwarden;Aantal gevallen;
546;Leiden;Aantal gevallen;1
547;Leiderdorp;Aantal gevallen;
1916;Leidschendam-Voorburg;Aantal gevallen;2
995;Lelystad;Aantal gevallen;
1640;Leudal;Aantal gevallen;2
327;Leusden;Aantal gevallen;
1705;Lingewaard;Aantal gevallen;2
553;Lisse;Aantal gevallen;
262;Lochem;Aantal gevallen;
809;Loon op Zand;Aantal gevallen;7
331;Lopik;Aantal gevallen;
24;Loppersum;Aantal gevallen;
168;Losser;Aantal gevallen;
263;Maasdriel;Aantal gevallen;1
1641;Maasgouw;Aantal gevallen;
556;Maassluis;Aantal gevallen;
935;Maastricht;Aantal gevallen;7
420;Medemblik;Aantal gevallen;
938;Meerssen;Aantal gevallen;
1948;Meierijstad;Aantal gevallen;11
119;Meppel;Aantal gevallen;
687;Middelburg;Aantal gevallen;
1842;Midden-Delfland;Aantal gevallen;
1731;Midden-Drenthe;Aantal gevallen;
1952;Midden-Groningen;Aantal gevallen;
815;Mill en Sint Hubert;Aantal gevallen;
1709;Moerdijk;Aantal gevallen;
1978;Molenlanden;Aantal gevallen;
1955;Montferland;Aantal gevallen;
335;Montfoort;Aantal gevallen;
944;Mook en Middelaar;Aantal gevallen;
1740;Neder-Betuwe;Aantal gevallen;1
946;Nederweert;Aantal gevallen;
356;Nieuwegein;Aantal gevallen;
569;Nieuwkoop;Aantal gevallen;
267;Nijkerk;Aantal gevallen;
268;Nijmegen;Aantal gevallen;3
1930;Nissewaard;Aantal gevallen;
1970;Noardeast-Fryslân;Aantal gevallen;
1695;Noord-Beveland;Aantal gevallen;
1699;Noordenveld;Aantal gevallen;
171;Noordoostpolder;Aantal gevallen;
575;Noordwijk;Aantal gevallen;2
820;Nuenen, Gerwen en Nederwetten;Aantal gevallen;1
302;Nunspeet;Aantal gevallen;
579;Oegstgeest;Aantal gevallen;1
823;Oirschot;Aantal gevallen;
824;Oisterwijk;Aantal gevallen;3
1895;Oldambt;Aantal gevallen;
269;Oldebroek;Aantal gevallen;
173;Oldenzaal;Aantal gevallen;
1773;Olst-Wijhe;Aantal gevallen;
175;Ommen;Aantal gevallen;
1586;Oost Gelre;Aantal gevallen;
826;Oosterhout;Aantal gevallen;
85;Ooststellingwerf;Aantal gevallen;
431;Oostzaan;Aantal gevallen;
432;Opmeer;Aantal gevallen;
86;Opsterland;Aantal gevallen;2
828;Oss;Aantal gevallen;1
1509;Oude IJsselstreek;Aantal gevallen;
437;Ouder-Amstel;Aantal gevallen;
589;Oudewater;Aantal gevallen;
1734;Overbetuwe;Aantal gevallen;
590;Papendrecht;Aantal gevallen;
1894;Peel en Maas;Aantal gevallen;1
765;Pekela;Aantal gevallen;
1926;Pijnacker-Nootdorp;Aantal gevallen;4
439;Purmerend;Aantal gevallen;
273;Putten;Aantal gevallen;
177;Raalte;Aantal gevallen;
703;Reimerswaal;Aantal gevallen;
274;Renkum;Aantal gevallen;5
339;Renswoude;Aantal gevallen;
1667;Reusel-De Mierden;Aantal gevallen;
275;Rheden;Aantal gevallen;1
340;Rhenen;Aantal gevallen;
597;Ridderkerk;Aantal gevallen;1
1742;Rijssen-Holten;Aantal gevallen;
603;Rijswijk;Aantal gevallen;
1669;Roerdalen;Aantal gevallen;
957;Roermond;Aantal gevallen;1
1674;Roosendaal;Aantal gevallen;
599;Rotterdam;Aantal gevallen;15
277;Rozendaal;Aantal gevallen;
840;Rucphen;Aantal gevallen;
441;Schagen;Aantal gevallen;1
279;Scherpenzeel;Aantal gevallen;
606;Schiedam;Aantal gevallen;
88;Schiermonnikoog;Aantal gevallen;
1676;Schouwen-Duiveland;Aantal gevallen;2
518;'s-Gravenhage;Aantal gevallen;3
796;'s-Hertogenbosch;Aantal gevallen;4
965;Simpelveld;Aantal gevallen;2
1702;Sint Anthonis;Aantal gevallen;
845;Sint-Michielsgestel;Aantal gevallen;5
1883;Sittard-Geleen;Aantal gevallen;13
610;Sliedrecht;Aantal gevallen;
1714;Sluis;Aantal gevallen;
90;Smallingerland;Aantal gevallen;
342;Soest;Aantal gevallen;8
847;Someren;Aantal gevallen;
848;Son en Breugel;Aantal gevallen;
37;Stadskanaal;Aantal gevallen;
180;Staphorst;Aantal gevallen;
532;Stede Broec;Aantal gevallen;
851;Steenbergen;Aantal gevallen;
1708;Steenwijkerland;Aantal gevallen;
971;Stein;Aantal gevallen;
1904;Stichtse Vecht;Aantal gevallen;5
1900;Súdwest-Fryslân;Aantal gevallen;
715;Terneuzen;Aantal gevallen;
93;Terschelling;Aantal gevallen;
448;Texel;Aantal gevallen;
1525;Teylingen;Aantal gevallen;
716;Tholen;Aantal gevallen;
281;Tiel;Aantal gevallen;1
855;Tilburg;Aantal gevallen;29
183;Tubbergen;Aantal gevallen;1
1700;Twenterand;Aantal gevallen;
1730;Tynaarlo;Aantal gevallen;
737;Tytsjerksteradiel;Aantal gevallen;
856;Uden;Aantal gevallen;13
450;Uitgeest;Aantal gevallen;
451;Uithoorn;Aantal gevallen;
184;Urk;Aantal gevallen;
344;Utrecht;Aantal gevallen;14
1581;Utrechtse Heuvelrug;Aantal gevallen;2
981;Vaals;Aantal gevallen;
994;Valkenburg aan de Geul;Aantal gevallen;
858;Valkenswaard;Aantal gevallen;
47;Veendam;Aantal gevallen;
345;Veenendaal;Aantal gevallen;
717;Veere;Aantal gevallen;
861;Veldhoven;Aantal gevallen;1
453;Velsen;Aantal gevallen;
