"Datum van overlijden";"nieuw";"tot en met gisteren"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;44
"20 mrt";0;56
"21 mrt";0;64
"22 mrt";0;61
"23 mrt";0;86
"24 mrt";0;77
"25 mrt";0;114
"26 mrt";0;124
"27 mrt";0;113
"28 mrt";0;153
"29 mrt";0;123
"30 mrt";0;153
"31 mrt";0;175
"1 apr";0;162
"2 apr";0;173
"3 apr";0;172
"4 apr";0;169
"5 apr";0;162
"6 apr";1;166
"7 apr";0;151
"8 apr";0;150
"9 apr";0;118
"10 apr";0;157
"11 apr";0;140
"12 apr";0;143
"13 apr";0;129
"14 apr";0;130
"15 apr";0;124
"16 apr";0;137
"17 apr";0;129
"18 apr";0;117
"19 apr";0;114
"20 apr";0;95
"21 apr";0;128
"22 apr";0;117
"23 apr";0;104
"24 apr";0;92
"25 apr";0;81
"26 apr";0;78
"27 apr";0;75
"28 apr";0;70
"29 apr";0;58
"30 apr";0;67
"1 mei";0;53
"2 mei";0;55
"3 mei";0;45
"4 mei";0;57
"5 mei";0;35
"6 mei";0;53
"7 mei";0;44
"8 mei";0;40
"9 mei";0;39
"10 mei";0;25
"11 mei";0;33
"12 mei";0;33
"13 mei";0;26
"14 mei";0;21
"15 mei";0;23
"16 mei";0;20
"17 mei";0;16
"18 mei";0;15
"19 mei";0;19
"20 mei";0;22
"21 mei";0;11
"22 mei";0;20
"23 mei";0;18
"24 mei";0;13
"25 mei";0;15
"26 mei";0;19
"27 mei";0;16
"28 mei";0;5
"29 mei";0;11
"30 mei";0;11
"31 mei";0;13
"1 jun";0;7
"2 jun";0;8
"3 jun";0;6
"4 jun";0;7
"5 jun";0;9
"6 jun";0;7
"7 jun";0;9
"8 jun";0;2
"9 jun";0;5
"10 jun";0;6
"11 jun";0;5
"12 jun";0;5
"13 jun";0;1
"14 jun";0;4
"15 jun";1;4
"16 jun";0;2
"17 jun";0;4
"18 jun";5;0
"19 jun";1;0
"20 jun";0;0
