Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
796;'s-Hertogenbosch;69;155113;44.5
1680;Aa en Hunze;1;25453;3.9
358;Aalsmeer;5;31857;15.7
197;Aalten;1;27117;3.7
59;Achtkarspelen;0;27836;0
482;Alblasserdam;2;20165;9.9
613;Albrandswaard;5;25589;19.5
361;Alkmaar;21;109444;19.2
141;Almelo;10;73080;13.7
34;Almere;50;211840;23.6
484;Alphen aan den Rijn;32;111889;28.6
1723;Alphen-Chaam;9;10213;88.1
1959;Altena;19;55980;33.9
60;Ameland;0;3718;0
307;Amersfoort;24;157279;15.3
362;Amstelveen;31;91691;33.8
363;Amsterdam;246;872779;28.2
200;Apeldoorn;22;163829;13.4
3;Appingedam;1;11644;8.6
202;Arnhem;30;161368;18.6
106;Assen;7;68606;10.2
743;Asten;5;16734;29.9
744;Baarle-Nassau;1;6860;14.6
308;Baarn;2;24873;8
489;Barendrecht;17;48713;34.9
203;Barneveld;8;59077;13.5
888;Beek;0;15868;0
1954;Beekdaelen;12;35976;33.4
370;Beemster;2;10025;20
889;Beesel;10;13483;74.2
1945;Berg en Dal;17;34990;48.6
1724;Bergeijk;5;18638;26.8
893;Bergen (L.);3;13085;22.9
373;Bergen (NH.);10;29844;33.5
748;Bergen op Zoom;13;67489;19.3
1859;Berkelland;1;43748;2.3
1721;Bernheze;61;31247;195.2
753;Best;19;29985;63.4
209;Beuningen;12;25891;46.3
375;Beverwijk;7;41613;16.8
1728;Bladel;10;20395;49
376;Blaricum;2;11536;17.3
377;Bloemendaal;3;23570;12.7
1901;Bodegraven-Reeuwijk;3;34869;8.6
755;Boekel;23;10784;213.3
1681;Borger-Odoorn;1;25558;3.9
147;Borne;10;23313;42.9
654;Borsele;3;22738;13.2
756;Boxmeer;10;29371;34
757;Boxtel;9;30803;29.2
758;Breda;118;184271;64
501;Brielle;5;17282;28.9
1876;Bronckhorst;1;36052;2.8
213;Brummen;4;20756;19.3
899;Brunssum;9;27817;32.4
312;Bunnik;4;15191;26.3
313;Bunschoten;2;21867;9.1
214;Buren;5;26742;18.7
502;Capelle aan den IJssel;22;67151;32.8
383;Castricum;8;35988;22.2
109;Coevorden;6;35296;17
1706;Cranendonck;35;21166;165.4
1684;Cuijk;6;25139;23.9
216;Culemborg;15;28956;51.8
148;Dalfsen;7;28585;24.5
1891;Dantumadiel;0;18916;0
310;De Bilt;13;43124;30.1
1940;De Fryske Marren;11;51567;21.3
736;De Ronde Venen;12;44457;27
1690;De Wolden;2;24327;8.2
503;Delft;22;103659;21.2
10;Delfzijl;4;24666;16.2
400;Den Helder;6;56305;10.7
762;Deurne;37;32474;113.9
150;Deventer;22;100718;21.8
384;Diemen;4;30781;13
1774;Dinkelland;13;26470;49.1
221;Doesburg;3;11078;27.1
222;Doetinchem;5;58009;8.6
