Gemnr;Gemeente;Meldingen;Zkh opname;BevAant;Meldingen per 100.000;Zkh opname per 100.000
796;'s-Hertogenbosch;244;102;155113;157.3;65.8
1680;Aa en Hunze;7;1;25453;27.5;3.9
358;Aalsmeer;25;8;31857;78.5;25.1
197;Aalten;18;1;27117;66.4;3.7
59;Achtkarspelen;5;0;27836;18;0
482;Alblasserdam;18;7;20165;89.3;34.7
613;Albrandswaard;46;6;25589;179.8;23.4
361;Alkmaar;130;40;109444;118.8;36.5
141;Almelo;51;16;73080;69.8;21.9
34;Almere;137;84;211840;64.7;39.7
484;Alphen aan den Rijn;82;46;111889;73.3;41.1
1723;Alphen-Chaam;39;15;10213;381.9;146.9
1959;Altena;70;24;55980;125;42.9
60;Ameland;0;0;3718;0;0
307;Amersfoort;103;43;157279;65.5;27.3
362;Amstelveen;166;40;91691;181;43.6
363;Amsterdam;990;344;872779;113.4;39.4
200;Apeldoorn;133;33;163829;81.2;20.1
3;Appingedam;2;2;11644;17.2;17.2
202;Arnhem;115;49;161368;71.3;30.4
106;Assen;26;9;68606;37.9;13.1
743;Asten;31;9;16734;185.3;53.8
744;Baarle-Nassau;3;1;6860;43.7;14.6
308;Baarn;21;7;24873;84.4;28.1
489;Barendrecht;57;24;48713;117;49.3
203;Barneveld;57;11;59077;96.5;18.6
888;Beek;25;12;15868;157.5;75.6
1954;Beekdaelen;60;37;35976;166.8;102.8
370;Beemster;8;4;10025;79.8;39.9
889;Beesel;25;15;13483;185.4;111.3
1945;Berg en Dal;109;27;34990;311.5;77.2
1724;Bergeijk;29;9;18638;155.6;48.3
893;Bergen (L.);9;5;13085;68.8;38.2
373;Bergen (NH.);38;16;29844;127.3;53.6
748;Bergen op Zoom;42;16;67489;62.2;23.7
1859;Berkelland;18;2;43748;41.1;4.6
1721;Bernheze;174;75;31247;556.9;240
753;Best;44;25;29985;146.7;83.4
209;Beuningen;36;17;25891;139;65.7
375;Beverwijk;50;10;41613;120.2;24
1728;Bladel;35;13;20395;171.6;63.7
376;Blaricum;11;5;11536;95.4;43.3
377;Bloemendaal;34;5;23570;144.3;21.2
1901;Bodegraven-Reeuwijk;20;6;34869;57.4;17.2
755;Boekel;73;28;10784;676.9;259.6
1681;Borger-Odoorn;3;2;25558;11.7;7.8
147;Borne;34;13;23313;145.8;55.8
654;Borsele;14;4;22738;61.6;17.6
756;Boxmeer;51;16;29371;173.6;54.5
757;Boxtel;36;15;30803;116.9;48.7
758;Breda;327;132;184271;177.5;71.6
501;Brielle;21;9;17282;121.5;52.1
1876;Bronckhorst;19;4;36052;52.7;11.1
213;Brummen;18;8;20756;86.7;38.5
899;Brunssum;47;29;27817;169;104.3
312;Bunnik;18;7;15191;118.5;46.1
313;Bunschoten;20;4;21867;91.5;18.3
214;Buren;19;7;26742;71;26.2
502;Capelle aan den IJssel;126;27;67151;187.6;40.2
383;Castricum;48;13;35988;133.4;36.1
109;Coevorden;33;9;35296;93.5;25.5
1706;Cranendonck;96;48;21166;453.6;226.8
1684;Cuijk;32;9;25139;127.3;35.8
216;Culemborg;36;20;28956;124.3;69.1
148;Dalfsen;38;15;28585;132.9;52.5
1891;Dantumadiel;6;2;18916;31.7;10.6
310;De Bilt;69;19;43124;160;44.1
1940;De Fryske Marren;37;12;51567;71.8;23.3
736;De Ronde Venen;52;24;44457;117;54
1690;De Wolden;20;7;24327;82.2;28.8
503;Delft;68;33;103659;65.6;31.8
10;Delfzijl;13;5;24666;52.7;20.3
400;Den Helder;18;8;56305;32;14.2
762;Deurne;95;46;32474;292.5;141.7
150;Deventer;89;32;100718;88.4;31.8
384;Diemen;17;4;30781;55.2;13
1774;Dinkelland;56;16;26470;211.6;60.4
221;Doesburg;11;4;11078;99.3;36.1
222;Doetinchem;42;9;58009;72.4;15.5
766;Dongen;47;14;26226;179.2;53.4
505;Dordrecht;124;60;119300;103.9;50.3
498;Drechterland;26;2;19717;131.9;10.1
1719;Drimmelen;36;16;27274;132;58.7
303;Dronten;39;18;41569;93.8;43.3
225;Druten;38;17;18918;200.9;89.9
226;Duiven;23;9;25124;91.5;35.8
1711;Echt-Susteren;52;32;31618;164.5;101.2
385;Edam-Volendam;33;17;36201;91.2;47
228;Ede;109;46;117166;93;39.3
317;Eemnes;7;1;9247;75.7;10.8
770;Eersel;36;18;19314;186.4;93.2
1903;Eijsden-Margraten;93;41;25753;361.1;159.2
772;Eindhoven;256;95;234456;109.2;40.5
230;Elburg;47;10;23161;202.9;43.2
114;Emmen;39;13;107055;36.4;12.1
388;Enkhuizen;24;16;18592;129.1;86.1
153;Enschede;119;43;159734;74.5;26.9
232;Epe;56;14;33186;168.7;42.2
233;Ermelo;49;15;27005;181.4;55.5
777;Etten-Leur;93;33;43880;211.9;75.2
779;Geertruidenberg;17;9;21538;78.9;41.8
1771;Geldrop-Mierlo;58;20;39733;146;50.3
1652;Gemert-Bakel;122;63;30725;397.1;205
907;Gennep;34;13;16924;200.9;76.8
784;Gilze en Rijen;46;16;26438;174;60.5
1924;Goeree-Overflakkee;193;40;50049;385.6;79.9
664;Goes;36;9;38080;94.5;23.6
785;Goirle;51;24;23906;213.3;100.4
1942;Gooise Meren;56;20;58041;96.5;34.5
512;Gorinchem;88;14;37009;237.8;37.8
513;Gouda;99;27;73443;134.8;36.8
786;Grave;37;16;12437;297.5;128.6
14;Groningen;120;14;232922;51.5;6
1729;Gulpen-Wittem;32;13;14176;225.7;91.7
158;Haaksbergen;25;12;24309;102.8;49.4
788;Haaren;29;15;14371;201.8;104.4
392;Haarlem;188;47;162961;115.4;28.8
394;Haarlemmermeer;138;46;156039;88.4;29.5
1655;Halderberge;35;9;30277;115.6;29.7
160;Hardenberg;84;17;60940;137.8;27.9
243;Harderwijk;51;12;48429;105.3;24.8
523;Hardinxveld-Giessendam;18;1;18295;98.4;5.5
72;Harlingen;7;2;15720;44.5;12.7
244;Hattem;28;9;12213;229.3;73.7
396;Heemskerk;62;20;39188;158.2;51
