Gemeente;Gemnr;Aantal
peildatum 13 maart 14:00;-2;
* postcode ontbreekt bij 28 pt en 1 woont in buitenland;-1;13
's-Gravenhage;518;8;1
's-Hertogenbosch;796;11;1,4
Aalsmeer;358;3;0,4
Albrandswaard;613;1;0,1
Alkmaar;361;1;0,1
Almelo;141;1;0,1
Almere;34;1;0,1
Alphen aan den Rijn;484;4;0,5
Altena;1959;8;1
Amersfoort;307;4;0,5
Amstelveen;362;3;0,4
Amsterdam;363;20;2,5
Apeldoorn;200;2;0,2
Arnhem;202;4;0,5
Barendrecht;489;1;0,1
Beekdaelen;1954;8;1
Berg en Dal;1945;5;0,6
Bergeijk;1724;1;0,1
Bergen op Zoom;748;1;0,1
Bernheze;1721;13;1,6
Best;753;3;0,4
Beuningen;209;3;0,4
Beverwijk;375;5;0,6
Blaricum;376;1;0,1
Bloemendaal;377;1;0,1
Bodegraven-Reeuwijk;1901;1;0,1
Boekel;755;11;1,4
Borne;147;3;0,4
Borsele;654;1;0,1
Boxmeer;756;1;0,1
Boxtel;757;1;0,1
Breda;758;53;6,6
Bronckhorst;1876;2;0,2
Buren;214;2;0,2
Coevorden;109;11;1,4
Cranendonck;1706;2;0,2
Cuijk;1684;2;0,2
Culemborg;216;2;0,2
De Bilt;310;11;1,4
De Fryske Marren;1940;2;0,2
Delft;503;2;0,2
Den Helder;400;1;0,1
Deurne;762;3;0,4
Diemen;384;2;0,2
Dinkelland;1774;3;0,4
Dongen;766;4;0,5
Dordrecht;505;1;0,1
Drimmelen;1719;5;0,6
Dronten;303;2;0,2
Druten;225;1;0,1
Duiven;226;1;0,1
Eersel;770;1;0,1
Eindhoven;772;12;1,5
Elburg;230;1;0,1
Emmen;114;1;0,1
Enschede;153;3;0,4
Ermelo;233;4;0,5
Etten-Leur;777;6;0,7
Geertruidenberg;779;1;0,1
Geldrop-Mierlo;1771;2;0,2
Gemert-Bakel;1652;11;1,4
Gennep;907;1;0,1
Gilze en Rijen;784;1;0,1
Goeree-Overflakkee;1924;1;0,1
Goes;664;2;0,2
