Gemnr;Gemeente;Meldingen;Zkh opname;Overleden;BevAant;Meldingen per 100.000;Zkh opname per 100.000;Overleden per 100.000
796;'s-Hertogenbosch;366;115;59;155113;236;74.1;38
1680;Aa en Hunze;13;1;0;25453;51.1;3.9;0
358;Aalsmeer;35;8;2;31857;109.9;25.1;6.3
197;Aalten;45;4;3;27117;165.9;14.8;11.1
59;Achtkarspelen;7;0;0;27836;25.1;0;0
482;Alblasserdam;36;8;2;20165;178.5;39.7;9.9
613;Albrandswaard;73;9;5;25589;285.3;35.2;19.5
361;Alkmaar;194;49;19;109444;177.3;44.8;17.4
141;Almelo;79;20;3;73080;108.1;27.4;4.1
34;Almere;240;103;5;211840;113.3;48.6;2.4
484;Alphen aan den Rijn;137;53;16;111889;122.4;47.4;14.3
1723;Alphen-Chaam;43;17;5;10213;421;166.5;49
1959;Altena;99;30;10;55980;176.8;53.6;17.9
60;Ameland;0;0;0;3718;0;0;0
307;Amersfoort;144;54;18;157279;91.6;34.3;11.4
362;Amstelveen;256;49;30;91691;279.2;53.4;32.7
363;Amsterdam;1507;476;117;872779;172.7;54.5;13.4
200;Apeldoorn;269;45;30;163829;164.2;27.5;18.3
3;Appingedam;3;2;0;11644;25.8;17.2;0
202;Arnhem;204;57;17;161368;126.4;35.3;10.5
106;Assen;35;10;2;68606;51;14.6;2.9
743;Asten;60;14;6;16734;358.6;83.7;35.9
744;Baarle-Nassau;5;1;0;6860;72.9;14.6;0
308;Baarn;34;10;2;24873;136.7;40.2;8
489;Barendrecht;90;29;5;48713;184.8;59.5;10.3
203;Barneveld;94;16;6;59077;159.1;27.1;10.2
888;Beek;33;14;3;15868;208;88.2;18.9
1954;Beekdaelen;99;42;19;35976;275.2;116.7;52.8
370;Beemster;8;4;1;10025;79.8;39.9;10
889;Beesel;38;20;7;13483;281.8;148.3;51.9
1945;Berg en Dal;154;30;13;34990;440.1;85.7;37.2
1724;Bergeijk;47;14;4;18638;252.2;75.1;21.5
893;Bergen (L.);16;6;2;13085;122.3;45.9;15.3
373;Bergen (NH.);48;16;3;29844;160.8;53.6;10.1
748;Bergen op Zoom;79;21;5;67489;117.1;31.1;7.4
1859;Berkelland;52;6;3;43748;118.9;13.7;6.9
1721;Bernheze;228;79;50;31247;729.7;252.8;160
753;Best;48;31;8;29985;160.1;103.4;26.7
209;Beuningen;51;19;4;25891;197;73.4;15.4
375;Beverwijk;67;15;5;41613;161;36;12
1728;Bladel;46;17;7;20395;225.5;83.4;34.3
376;Blaricum;22;7;0;11536;190.7;60.7;0
377;Bloemendaal;40;6;3;23570;169.7;25.5;12.7
1901;Bodegraven-Reeuwijk;35;7;2;34869;100.4;20.1;5.7
755;Boekel;85;31;21;10784;788.2;287.5;194.7
1681;Borger-Odoorn;5;2;3;25558;19.6;7.8;11.7
147;Borne;43;13;6;23313;184.4;55.8;25.7
654;Borsele;21;5;0;22738;92.4;22;0
756;Boxmeer;90;18;14;29371;306.4;61.3;47.7
757;Boxtel;50;20;11;30803;162.3;64.9;35.7
758;Breda;392;139;52;184271;212.7;75.4;28.2
501;Brielle;26;12;0;17282;150.4;69.4;0
1876;Bronckhorst;51;11;5;36052;141.5;30.5;13.9
213;Brummen;32;15;5;20756;154.2;72.3;24.1
899;Brunssum;65;32;11;27817;233.7;115;39.5
312;Bunnik;23;7;1;15191;151.4;46.1;6.6
313;Bunschoten;47;5;4;21867;214.9;22.9;18.3
214;Buren;33;12;5;26742;123.4;44.9;18.7
502;Capelle aan den IJssel;210;38;32;67151;312.7;56.6;47.7
383;Castricum;70;14;8;35988;194.5;38.9;22.2
109;Coevorden;45;12;1;35296;127.5;34;2.8
1706;Cranendonck;151;58;23;21166;713.4;274;108.7
1684;Cuijk;48;11;7;25139;190.9;43.8;27.8
216;Culemborg;51;21;7;28956;176.1;72.5;24.2
148;Dalfsen;66;15;6;28585;230.9;52.5;21
1891;Dantumadiel;6;2;0;18916;31.7;10.6;0
310;De Bilt;92;23;8;43124;213.3;53.3;18.6
1940;De Fryske Marren;51;14;5;51567;98.9;27.1;9.7
736;De Ronde Venen;70;36;6;44457;157.5;81;13.5
1690;De Wolden;35;9;0;24327;143.9;37;0
503;Delft;102;37;7;103659;98.4;35.7;6.8
10;Delfzijl;15;5;0;24666;60.8;20.3;0
400;Den Helder;29;8;0;56305;51.5;14.2;0
762;Deurne;122;50;16;32474;375.7;154;49.3
150;Deventer;163;41;23;100718;161.8;40.7;22.8
384;Diemen;60;14;6;30781;194.9;45.5;19.5
1774;Dinkelland;65;17;7;26470;245.6;64.2;26.4
221;Doesburg;21;7;6;11078;189.6;63.2;54.2
222;Doetinchem;72;12;11;58009;124.1;20.7;19
766;Dongen;61;15;10;26226;232.6;57.2;38.1
505;Dordrecht;223;71;17;119300;186.9;59.5;14.2
498;Drechterland;35;3;8;19717;177.5;15.2;40.6
1719;Drimmelen;50;18;4;27274;183.3;66;14.7
303;Dronten;91;25;5;41569;218.9;60.1;12
225;Druten;99;21;5;18918;523.3;111;26.4
226;Duiven;34;12;4;25124;135.3;47.8;15.9
1711;Echt-Susteren;76;36;14;31618;240.4;113.9;44.3
385;Edam-Volendam;69;19;0;36201;190.6;52.5;0
228;Ede;159;52;18;117166;135.7;44.4;15.4
317;Eemnes;14;2;1;9247;151.4;21.6;10.8
770;Eersel;56;22;7;19314;289.9;113.9;36.2
1903;Eijsden-Margraten;128;49;19;25753;497;190.3;73.8
772;Eindhoven;370;142;57;234456;157.8;60.6;24.3
230;Elburg;96;16;4;23161;414.5;69.1;17.3
114;Emmen;72;15;7;107055;67.3;14;6.5
388;Enkhuizen;27;18;4;18592;145.2;96.8;21.5
153;Enschede;156;48;13;159734;97.7;30;8.1
232;Epe;106;27;13;33186;319.4;81.4;39.2
233;Ermelo;83;18;10;27005;307.4;66.7;37
777;Etten-Leur;136;38;25;43880;309.9;86.6;57
779;Geertruidenberg;31;10;5;21538;143.9;46.4;23.2
1771;Geldrop-Mierlo;84;25;13;39733;211.4;62.9;32.7
1652;Gemert-Bakel;154;71;29;30725;501.2;231.1;94.4
907;Gennep;48;15;10;16924;283.6;88.6;59.1
784;Gilze en Rijen;61;17;10;26438;230.7;64.3;37.8
1924;Goeree-Overflakkee;235;52;25;50049;469.5;103.9;50
664;Goes;65;11;8;38080;170.7;28.9;21
785;Goirle;61;25;14;23906;255.2;104.6;58.6
1942;Gooise Meren;86;23;2;58041;148.2;39.6;3.4
512;Gorinchem;126;16;11;37009;340.5;43.2;29.7
513;Gouda;197;32;19;73443;268.2;43.6;25.9
786;Grave;48;18;6;12437;385.9;144.7;48.2
14;Groningen;149;16;2;232922;64;6.9;0.9
1729;Gulpen-Wittem;50;16;6;14176;352.7;112.9;42.3
158;Haaksbergen;49;14;1;24309;201.6;57.6;4.1
788;Haaren;36;17;7;14371;250.5;118.3;48.7
392;Haarlem;226;54;46;162961;138.7;33.1;28.2
394;Haarlemmermeer;180;57;17;156039;115.4;36.5;10.9
1655;Halderberge;51;13;6;30277;168.4;42.9;19.8
160;Hardenberg;145;23;6;60940;237.9;37.7;9.8
243;Harderwijk;85;19;10;48429;175.5;39.2;20.6
523;Hardinxveld-Giessendam;27;1;2;18295;147.6;5.5;10.9
72;Harlingen;14;4;1;15720;89.1;25.4;6.4
244;Hattem;38;11;5;12213;311.1;90.1;40.9
396;Heemskerk;75;25;8;39188;191.4;63.8;20.4
397;Heemstede;87;10;27;27239;319.4;36.7;99.1
246;Heerde;139;30;18;18587;747.8;161.4;96.8
74;Heerenveen;77;13;13;50494;152.5;25.7;25.7
398;Heerhugowaard;110;25;7;57592;191;43.4;12.2
917;Heerlen;249;101;40;87057;286;116;45.9
1658;Heeze-Leende;51;13;6;16150;315.8;80.5;37.2
399;Heiloo;40;9;6;23974;166.8;37.5;25
163;Hellendoorn;52;7;2;35923;144.8;19.5;5.6
530;Hellevoetsluis;56;14;1;40158;139.4;34.9;2.5
794;Helmond;257;90;31;92432;278;97.4;33.5
531;Hendrik-Ido-Ambacht;27;6;2;31204;86.5;19.2;6.4
164;Hengelo;105;17;14;81147;129.4;20.9;17.3
1966;Het Hogeland;25;7;1;47834;52.3;14.6;2.1
252;Heumen;54;17;4;16450;328.3;103.3;24.3
797;Heusden;100;40;13;44699;223.7;89.5;29.1
534;Hillegom;28;7;1;22208;126.1;31.5;4.5
798;Hilvarenbeek;31;7;4;15514;199.8;45.1;25.8
402;Hilversum;106;24;3;90883;116.6;26.4;3.3
1963;Hoeksche Waard;195;67;9;87461;223;76.6;10.3
1735;Hof van Twente;57;14;2;35013;162.8;40;5.7
1911;Hollands Kroon;54;26;5;48434;111.5;53.7;10.3
118;Hoogeveen;62;12;4;55697;111.3;21.5;7.2
405;Hoorn;70;29;11;73232;95.6;39.6;15
1507;Horst aan de Maas;102;40;19;42433;240.4;94.3;44.8
321;Houten;95;23;10;50146;189.4;45.9;19.9
406;Huizen;70;18;3;41273;169.6;43.6;7.3
677;Hulst;25;8;4;27556;90.7;29;14.5
353;IJsselstein;93;33;23;34110;272.6;96.7;67.4
1884;Kaag en Braassem;21;6;2;27300;76.9;22;7.3
166;Kampen;287;57;23;54340;528.2;104.9;42.3
678;Kapelle;17;2;1;12691;134;15.8;7.9
537;Katwijk;123;22;7;65754;187.1;33.5;10.6
928;Kerkrade;127;53;17;45744;277.6;115.9;37.2
1598;Koggenland;30;6;6;22752;131.9;26.4;26.4
542;Krimpen aan den IJssel;54;9;4;29533;182.8;30.5;13.5
1931;Krimpenerwaard;118;40;20;56319;209.5;71;35.5
1659;Laarbeek;89;35;24;22530;395;155.3;106.5
1685;Landerd;111;30;15;15730;705.7;190.7;95.4
882;Landgraaf;107;46;11;37457;285.7;122.8;29.4
415;Landsmeer;19;3;2;11492;165.3;26.1;17.4
416;Langedijk;40;16;2;28157;142.1;56.8;7.1
1621;Lansingerland;148;35;15;62396;237.2;56.1;24
417;Laren;22;8;1;11274;195.1;71;8.9
80;Leeuwarden;49;32;6;124058;39.5;25.8;4.8
546;Leiden;109;36;12;125174;87.1;28.8;9.6
547;Leiderdorp;23;10;3;27059;85;37;11.1
1916;Leidschendam-Voorburg;72;20;6;76553;94.1;26.1;7.8
995;Lelystad;113;49;7;78619;143.7;62.3;8.9
1640;Leudal;160;53;22;35896;445.7;147.6;61.3
327;Leusden;34;8;4;30399;111.8;26.3;13.2
1705;Lingewaard;78;28;5;46606;167.4;60.1;10.7
553;Lisse;19;6;2;22957;82.8;26.1;8.7
262;Lochem;65;11;7;33730;192.7;32.6;20.8
809;Loon op Zand;48;20;5;23407;205.1;85.4;21.4
331;Lopik;42;18;3;14471;290.2;124.4;20.7
24;Loppersum;2;0;0;9533;21;0;0
168;Losser;20;7;0;22685;88.2;30.9;0
263;Maasdriel;29;15;4;25034;115.8;59.9;16
1641;Maasgouw;68;26;10;23960;283.8;108.5;41.7
556;Maassluis;43;14;2;33216;129.5;42.1;6
935;Maastricht;535;149;63;121558;440.1;122.6;51.8
420;Medemblik;57;17;6;45104;126.4;37.7;13.3
938;Meerssen;72;17;9;18832;382.3;90.3;47.8
1948;Meierijstad;442;169;106;81197;544.4;208.1;130.5
