Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
796;'s-Hertogenbosch;155113;10-06-2020;23-06-2020;15;9,7;0;0;0;0
1680;Aa en Hunze;25453;10-06-2020;23-06-2020;0;0;0;0;0;0
358;Aalsmeer;31857;10-06-2020;23-06-2020;3;9,4;0;0;0;0
197;Aalten;27117;10-06-2020;23-06-2020;2;7,4;0;0;0;0
59;Achtkarspelen;27836;10-06-2020;23-06-2020;0;0;0;0;0;0
482;Alblasserdam;20165;10-06-2020;23-06-2020;0;0;0;0;0;0
613;Albrandswaard;25589;10-06-2020;23-06-2020;0;0;0;0;0;0
361;Alkmaar;109444;10-06-2020;23-06-2020;2;1,8;0;0;0;0
141;Almelo;73080;10-06-2020;23-06-2020;0;0;0;0;0;0
34;Almere;211840;10-06-2020;23-06-2020;9;4,2;0;0;1;0,5
484;Alphen aan den Rijn;111889;10-06-2020;23-06-2020;4;3,6;0;0;1;0,9
1723;Alphen-Chaam;10213;10-06-2020;23-06-2020;0;0;0;0;0;0
1959;Altena;55980;10-06-2020;23-06-2020;0;0;0;0;0;0
60;Ameland;3718;10-06-2020;23-06-2020;0;0;0;0;0;0
307;Amersfoort;157279;10-06-2020;23-06-2020;8;5,1;0;0;0;0
362;Amstelveen;91691;10-06-2020;23-06-2020;8;8,7;0;0;0;0
363;Amsterdam;872779;10-06-2020;23-06-2020;149;17,1;0;0;3;0,3
200;Apeldoorn;163829;10-06-2020;23-06-2020;24;14,6;0;0;0;0
3;Appingedam;11644;10-06-2020;23-06-2020;0;0;0;0;0;0
202;Arnhem;161368;10-06-2020;23-06-2020;25;15,5;0;0;2;1,2
106;Assen;68606;10-06-2020;23-06-2020;3;4,4;0;0;0;0
743;Asten;16734;10-06-2020;23-06-2020;2;12;0;0;0;0
744;Baarle-Nassau;6860;10-06-2020;23-06-2020;0;0;0;0;0;0
308;Baarn;24873;10-06-2020;23-06-2020;2;8;0;0;0;0
489;Barendrecht;48713;10-06-2020;23-06-2020;11;22,6;0;0;0;0
203;Barneveld;59077;10-06-2020;23-06-2020;4;6,8;0;0;0;0
888;Beek;15868;10-06-2020;23-06-2020;0;0;1;6,3;1;6,3
