"GGD-meldingsdatum";"nieuw";"t/m afgelopen week"
"27 feb";0;3
"28 feb";0;4
"29 feb";0;13
"1 mrt";0;13
"2 mrt";0;47
"3 mrt";0;40
"4 mrt";0;41
"5 mrt";0;41
"6 mrt";0;32
"7 mrt";0;45
"8 mrt";0;72
"9 mrt";0;78
"10 mrt";0;137
"11 mrt";0;168
"12 mrt";0;186
"13 mrt";0;222
"14 mrt";0;222
"15 mrt";0;234
"16 mrt";0;271
"17 mrt";0;371
"18 mrt";0;458
"19 mrt";0;514
"20 mrt";0;696
"21 mrt";0;668
"22 mrt";0;540
"23 mrt";0;619
"24 mrt";0;1120
"25 mrt";0;1049
"26 mrt";0;1050
"27 mrt";0;1177
"28 mrt";0;985
"29 mrt";0;746
"30 mrt";0;805
"31 mrt";0;1124
"1 apr";0;1042
"2 apr";0;1028
"3 apr";0;1221
"4 apr";0;1096
"5 apr";0;857
"6 apr";0;773
"7 apr";0;1089
"8 apr";0;1344
"9 apr";0;1314
"10 apr";0;1394
"11 apr";0;1055
"12 apr";0;823
"13 apr";0;756
"14 apr";0;814
"15 apr";0;1114
"16 apr";0;1168
"17 apr";0;1276
"18 apr";0;994
"19 apr";0;623
"20 apr";0;585
"21 apr";0;712
"22 apr";0;971
"23 apr";0;796
"24 apr";0;661
"25 apr";0;574
"26 apr";0;379
"27 apr";0;175
"28 apr";0;393
"29 apr";0;458
"30 apr";0;506
"1 mei";0;491
"2 mei";0;311
"3 mei";0;175
"4 mei";0;284
"5 mei";0;250
"6 mei";0;299
"7 mei";0;298
"8 mei";0;327
"9 mei";0;252
"10 mei";0;152
"11 mei";2;167
"12 mei";0;218
"13 mei";1;293
"14 mei";0;184
"15 mei";0;210
"16 mei";0;157
"17 mei";0;113
"18 mei";0;103
"19 mei";0;180
"20 mei";0;294
"21 mei";0;193
"22 mei";0;195
"23 mei";0;203
"24 mei";0;150
"25 mei";1;124
"26 mei";0;173
"27 mei";0;191
"28 mei";0;206
"29 mei";0;165
"30 mei";0;170
"31 mei";0;97
"1 jun";0;99
"2 jun";0;122
"3 jun";0;186
"4 jun";0;261
"5 jun";0;222
"6 jun";0;186
"7 jun";0;134
"8 jun";0;155
"9 jun";0;142
"10 jun";0;182
"11 jun";0;205
"12 jun";0;195
"13 jun";0;131
"14 jun";0;148
"15 jun";0;129
"16 jun";0;118
"17 jun";0;137
"18 jun";0;83
"19 jun";0;101
"20 jun";0;98
"21 jun";0;57
"22 jun";0;71
"23 jun";0;75
"24 jun";0;112
"25 jun";1;82
"26 jun";0;68
"27 jun";0;81
"28 jun";0;68
"29 jun";0;50
"30 jun";0;57
"1 jul";0;74
"2 jul";0;75
"3 jul";0;59
"4 jul";0;78
"5 jul";0;43
"6 jul";0;41
"7 jul";0;49
"8 jul";0;57
"9 jul";0;62
"10 jul";0;98
"11 jul";0;74
"12 jul";1;87
"13 jul";0;102
"14 jul";0;95
"15 jul";0;151
"16 jul";0;134
"17 jul";0;162
"18 jul";0;134
"19 jul";0;153
"20 jul";0;180
"21 jul";0;166
"22 jul";0;141
"23 jul";0;218
"24 jul";0;188
"25 jul";0;193
"26 jul";0;201
"27 jul";0;202
"28 jul";0;234
"29 jul";1;344
"30 jul";0;343
"31 jul";0;552
"1 aug";0;365
"2 aug";0;335
"3 aug";0;472
"4 aug";0;488
"5 aug";0;671
"6 aug";0;538
"7 aug";2;558
"8 aug";1;623
"9 aug";0;568
"10 aug";0;525
"11 aug";0;680
"12 aug";1;601
"13 aug";0;686
"14 aug";1;589
"15 aug";0;544
"16 aug";0;436
"17 aug";1;430
"18 aug";0;563
"19 aug";4;568
"20 aug";4;496
"21 aug";4;512
"22 aug";4;493
"23 aug";8;513
"24 aug";82;358
"25 aug";459;68
"26 aug";469;0
"27 aug";527;0
"28 aug";546;0
"29 aug";505;0
"30 aug";512;0
"31 aug";458;0
"1 sep";2;0
