"GGD-meldingsdatum";"nieuw";"tot en met gisteren"
"27 feb";0;1
"28 feb";0;0
"29 feb";0;2
"1 mrt";0;1
"2 mrt";0;3
"3 mrt";0;6
"4 mrt";0;4
"5 mrt";0;7
"6 mrt";0;6
"7 mrt";0;13
"8 mrt";0;14
"9 mrt";0;17
"10 mrt";0;20
"11 mrt";0;43
"12 mrt";0;42
"13 mrt";0;63
"14 mrt";0;65
"15 mrt";0;79
"16 mrt";1;122
"17 mrt";0;149
"18 mrt";2;179
"19 mrt";1;242
"20 mrt";2;307
"21 mrt";1;333
"22 mrt";1;292
"23 mrt";1;325
"24 mrt";1;566
"25 mrt";0;503
"26 mrt";0;506
"27 mrt";4;544
"28 mrt";4;497
"29 mrt";1;407
"30 mrt";0;356
"31 mrt";0;509
"1 apr";2;350
"2 apr";1;349
"3 apr";0;352
"4 apr";1;291
"5 apr";0;250
"6 apr";1;245
"7 apr";0;273
"8 apr";1;219
"9 apr";3;201
"10 apr";5;191
"11 apr";0;150
"12 apr";1;109
"13 apr";2;142
"14 apr";10;141
"15 apr";3;145
"16 apr";3;108
"17 apr";1;106
"18 apr";1;95
"19 apr";1;49
"20 apr";4;60
"21 apr";7;65
"22 apr";10;40
"23 apr";48;0
"24 apr";3;0
