"Datum ziekenhuisopname";"nieuw";"tot en met gisteren"
"27 feb";0;2
"28 feb";0;7
"29 feb";0;1
"1 mrt";0;10
"2 mrt";0;15
"3 mrt";0;7
"4 mrt";0;15
"5 mrt";0;14
"6 mrt";0;22
"7 mrt";0;17
"8 mrt";0;23
"9 mrt";0;47
"10 mrt";0;39
"11 mrt";0;53
"12 mrt";1;78
"13 mrt";0;87
"14 mrt";0;87
"15 mrt";0;98
"16 mrt";0;182
"17 mrt";0;177
"18 mrt";0;244
"19 mrt";0;346
"20 mrt";0;334
"21 mrt";0;276
"22 mrt";0;300
"23 mrt";0;554
"24 mrt";0;475
"25 mrt";0;510
"26 mrt";0;488
"27 mrt";1;606
"28 mrt";1;333
"29 mrt";6;288
"30 mrt";3;483
"31 mrt";1;331
"1 apr";1;347
"2 apr";1;336
"3 apr";2;326
"4 apr";0;191
"5 apr";2;209
"6 apr";0;309
"7 apr";0;187
"8 apr";0;188
"9 apr";1;182
"10 apr";0;168
"11 apr";0;128
"12 apr";0;124
"13 apr";0;135
"14 apr";0;157
"15 apr";0;103
"16 apr";0;99
"17 apr";0;118
"18 apr";0;71
"19 apr";0;58
"20 apr";0;89
"21 apr";0;70
"22 apr";0;68
"23 apr";0;77
"24 apr";0;42
"25 apr";0;45
"26 apr";0;29
"27 apr";1;37
"28 apr";2;56
"29 apr";0;35
"30 apr";2;30
"1 mei";1;27
"2 mei";0;11
"3 mei";4;20
"4 mei";2;25
"5 mei";0;8
"6 mei";12;9
"7 mei";10;0
"8 mei";0;0
"9 mei";0;0
