"Datum ziekenhuisopname";"nieuw";"t/m afgelopen week"
"27 feb";2;
"28 feb";3;
"29 feb";1;
"1 mrt";7;
"2 mrt";10;
"3 mrt";8;
"4 mrt";10;
"5 mrt";12;
"6 mrt";18;
"7 mrt";7;
"8 mrt";17;
"9 mrt";27;
"10 mrt";28;
"11 mrt";43;
"12 mrt";55;
"13 mrt";73;
"14 mrt";62;
"15 mrt";69;
"16 mrt";140;
"17 mrt";144;
"18 mrt";171;
"19 mrt";250;
"20 mrt";238;
"21 mrt";199;
"22 mrt";236;
"23 mrt";444;
"24 mrt";420;
"25 mrt";432;
"26 mrt";434;
"27 mrt";557;
"28 mrt";293;
"29 mrt";253;
"30 mrt";437;
"31 mrt";308;
"1 apr";312;
"2 apr";350;
"3 apr";330;
"4 apr";186;
"5 apr";225;
"6 apr";322;
"7 apr";203;
"8 apr";208;
"9 apr";187;
"10 apr";203;
"11 apr";132;
"12 apr";135;
"13 apr";166;
"14 apr";163;
"15 apr";117;
"16 apr";115;
"17 apr";137;
"18 apr";78;
"19 apr";82;
"20 apr";110;
"21 apr";116;
"22 apr";89;
"23 apr";95;
"24 apr";79;
"25 apr";44;
"26 apr";43;
"27 apr";61;
"28 apr";91;
"29 apr";58;
"30 apr";62;
"1 mei";52;
"2 mei";27;
"3 mei";36;
"4 mei";58;
"5 mei";28;
"6 mei";60;
"7 mei";46;
"8 mei";55;
"9 mei";29;
"10 mei";25;
"11 mei";44;
"12 mei";25;
"13 mei";38;
"14 mei";25;
"15 mei";32;
"16 mei";17;
"17 mei";30;
"18 mei";36;
"19 mei";18;
"20 mei";31;
"21 mei";14;
"22 mei";32;
"23 mei";13;
"24 mei";18;
"25 mei";35;
"26 mei";25;
"27 mei";16;
"28 mei";17;
"29 mei";24;
"30 mei";20;
"31 mei";12;
"1 jun";15;
"2 jun";24;
"3 jun";17;
"4 jun";14;
"5 jun";9;
"6 jun";4;
"7 jun";4;
"8 jun";11;
"9 jun";9;
"10 jun";5;
"11 jun";14;
"12 jun";8;
"13 jun";4;
"14 jun";3;
"15 jun";5;
"16 jun";8;
"17 jun";7;
"18 jun";4;
"19 jun";4;
"20 jun";4;
"21 jun";5;
"22 jun";7;
"23 jun";6;
"24 jun";5;
"25 jun";9;
"26 jun";3;
"27 jun";2;
"28 jun";4;
"29 jun";8;
"30 jun";2;
"1 jul";4;
"2 jul";4;
"3 jul";7;
"4 jul";0;
"5 jul";2;
"6 jul";2;
"7 jul";4;
"8 jul";4;
"9 jul";6;
"10 jul";6;
"11 jul";2;
"12 jul";3;
"13 jul";4;
"14 jul";6;
"15 jul";2;
"16 jul";2;
"17 jul";6;
"18 jul";6;
"19 jul";7;
"20 jul";4;
"21 jul";6;
"22 jul";4;
"23 jul";9;
"24 jul";10;
"25 jul";10;
"26 jul";4;
"27 jul";6;
"28 jul";10;
"29 jul";4;
"30 jul";15;
"31 jul";11;
"1 aug";9;
"2 aug";10;
"3 aug";15;
"4 aug";8;
"5 aug";8;
"6 aug";12;
"7 aug";13;
"8 aug";16;
"9 aug";17;
"10 aug";15;
"11 aug";26;
"12 aug";20;
"13 aug";19;
"14 aug";12;
"15 aug";15;
"16 aug";16;
"17 aug";18;
"18 aug";9;
"19 aug";16;
"20 aug";25;
"21 aug";19;
"22 aug";10;
"23 aug";14;
"24 aug";11;
"25 aug";19;
"26 aug";11;
"27 aug";7;
"28 aug";12;
"29 aug";2;
"30 aug";9;
"31 aug";16;
"1 sep";14;
"2 sep";17;
"3 sep";10;
"4 sep";16;
"5 sep";17;
"6 sep";23;
"7 sep";29;
"8 sep";22;
"9 sep";32;
"10 sep";18;
"11 sep";42;
"12 sep";19;
"13 sep";25;
"14 sep";52;
"15 sep";39;
"16 sep";48;
"17 sep";51;
"18 sep";72;
"19 sep";57;
"20 sep";51;
"21 sep";81;
"22 sep";69;
"23 sep";92;
"24 sep";103;
"25 sep";92;
"26 sep";79;
"27 sep";80;
"28 sep";111;
"29 sep";101;
"30 sep";112;
"1 okt";105;
"2 okt";120;
"3 okt";138;
"4 okt";104;
"5 okt";165;
"6 okt";154;
"7 okt";146;
"8 okt";156;
"9 okt";207;
"10 okt";146;
"11 okt";156;
"12 okt";238;
"13 okt";244;
"14 okt";204;
"15 okt";212;
"16 okt";225;
"17 okt";212;
"18 okt";180;
"19 okt";281;
"20 okt";242;
"21 okt";268;
"22 okt";272;
"23 okt";306;
"24 okt";199;
"25 okt";248;
"26 okt";333;
"27 okt";285;
"28 okt";279;
"29 okt";268;
"30 okt";284;
"31 okt";201;
"1 nov";220;
"2 nov";382;
"3 nov";236;
"4 nov";247;
"5 nov";236;
"6 nov";236;
"7 nov";150;
"8 nov";162;
"9 nov";269;
"10 nov";222;
"11 nov";221;
"12 nov";200;
"13 nov";231;
"14 nov";134;
"15 nov";142;
"16 nov";239;
"17 nov";189;
"18 nov";181;
"19 nov";178;
"20 nov";161;
"21 nov";133;
"22 nov";153;
"23 nov";196;
"24 nov";140;
"25 nov";149;
"26 nov";174;
"27 nov";162;
"28 nov";94;
"29 nov";103;
"30 nov";156;
"1 dec";133;
"2 dec";139;
"3 dec";159;
"4 dec";158;
"5 dec";116;
"6 dec";93;
"7 dec";38;
"8 dec";0;
