"Datum van overlijden";"nieuw";"t/m afgelopen week"
"27 feb";0;0
"28 feb";0;0
"29 feb";0;0
"1 mrt";0;0
"2 mrt";0;0
"3 mrt";0;0
"4 mrt";0;0
"5 mrt";0;0
"6 mrt";0;1
"7 mrt";0;1
"8 mrt";0;2
"9 mrt";0;0
"10 mrt";0;1
"11 mrt";0;2
"12 mrt";0;3
"13 mrt";0;6
"14 mrt";0;10
"15 mrt";0;14
"16 mrt";0;24
"17 mrt";0;23
"18 mrt";0;19
"19 mrt";0;45
"20 mrt";0;56
"21 mrt";0;65
"22 mrt";0;63
"23 mrt";0;87
"24 mrt";0;77
"25 mrt";0;115
"26 mrt";0;126
"27 mrt";0;116
"28 mrt";0;153
"29 mrt";0;123
"30 mrt";0;154
"31 mrt";0;175
"1 apr";0;164
"2 apr";0;178
"3 apr";0;175
"4 apr";0;175
"5 apr";0;164
"6 apr";0;169
"7 apr";0;156
"8 apr";0;150
"9 apr";0;119
"10 apr";0;158
"11 apr";0;143
"12 apr";0;144
"13 apr";0;130
"14 apr";0;133
"15 apr";0;124
"16 apr";0;137
"17 apr";0;129
"18 apr";0;118
"19 apr";0;114
"20 apr";0;96
"21 apr";0;131
"22 apr";0;119
"23 apr";0;106
"24 apr";0;93
"25 apr";0;81
"26 apr";0;78
"27 apr";0;75
"28 apr";0;72
"29 apr";0;59
"30 apr";0;66
"1 mei";0;54
"2 mei";0;55
"3 mei";0;45
"4 mei";0;58
"5 mei";0;35
"6 mei";0;53
"7 mei";0;44
"8 mei";0;40
"9 mei";0;39
"10 mei";0;25
"11 mei";0;34
"12 mei";0;34
"13 mei";0;26
"14 mei";0;23
"15 mei";0;23
"16 mei";0;19
"17 mei";0;16
"18 mei";0;15
"19 mei";0;21
"20 mei";0;22
"21 mei";0;11
"22 mei";0;20
"23 mei";0;18
"24 mei";0;13
"25 mei";0;15
"26 mei";0;19
"27 mei";0;16
"28 mei";0;5
"29 mei";0;11
"30 mei";0;11
"31 mei";0;14
"1 jun";0;7
"2 jun";0;8
"3 jun";0;6
"4 jun";0;8
"5 jun";0;10
"6 jun";0;8
"7 jun";0;9
"8 jun";0;6
"9 jun";0;5
"10 jun";0;7
"11 jun";0;5
"12 jun";0;7
"13 jun";0;1
"14 jun";0;4
"15 jun";0;5
"16 jun";0;3
"17 jun";0;4
"18 jun";0;5
"19 jun";0;2
"20 jun";0;1
"21 jun";0;5
"22 jun";0;1
"23 jun";0;1
"24 jun";0;3
"25 jun";0;0
"26 jun";0;2
"27 jun";0;3
"28 jun";0;2
"29 jun";0;1
"30 jun";0;2
"1 jul";0;3
"2 jul";0;0
"3 jul";0;3
"4 jul";0;0
"5 jul";0;3
"6 jul";0;0
"7 jul";0;3
"8 jul";0;0
"9 jul";0;0
"10 jul";0;1
"11 jul";0;0
"12 jul";0;2
"13 jul";0;0
"14 jul";0;2
"15 jul";0;3
"16 jul";0;0
"17 jul";0;1
"18 jul";0;0
"19 jul";0;1
"20 jul";0;2
"21 jul";0;0
"22 jul";0;3
"23 jul";0;1
"24 jul";0;0
"25 jul";0;0
"26 jul";0;1
"27 jul";0;4
"28 jul";0;2
"29 jul";0;1
"30 jul";0;1
"31 jul";0;1
"1 aug";0;0
"2 aug";0;0
"3 aug";0;0
"4 aug";0;0
"5 aug";0;2
"6 aug";0;0
"7 aug";0;0
"8 aug";0;1
"9 aug";0;2
"10 aug";0;5
"11 aug";0;3
"12 aug";0;3
"13 aug";0;4
"14 aug";0;4
"15 aug";0;5
"16 aug";0;2
"17 aug";0;5
"18 aug";0;3
"19 aug";0;2
"20 aug";0;7
"21 aug";0;4
"22 aug";0;2
"23 aug";0;4
"24 aug";0;3
"25 aug";0;2
"26 aug";0;5
"27 aug";0;0
"28 aug";0;5
"29 aug";0;2
"30 aug";0;5
"31 aug";0;3
"1 sep";0;4
"2 sep";0;1
"3 sep";0;1
"4 sep";0;4
"5 sep";0;2
"6 sep";0;2
"7 sep";0;1
"8 sep";0;2
"9 sep";0;2
"10 sep";0;3
"11 sep";0;4
"12 sep";0;7
"13 sep";0;1
"14 sep";0;0
"15 sep";0;1
"16 sep";0;6
"17 sep";0;9
"18 sep";0;6
"19 sep";0;9
"20 sep";0;6
"21 sep";0;11
"22 sep";0;15
"23 sep";0;5
"24 sep";0;15
"25 sep";0;17
"26 sep";0;14
"27 sep";0;12
"28 sep";0;14
"29 sep";0;16
"30 sep";0;24
"1 okt";0;19
"2 okt";0;11
"3 okt";0;23
"4 okt";0;21
"5 okt";0;29
"6 okt";0;26
"7 okt";0;17
"8 okt";0;18
"9 okt";0;26
"10 okt";0;26
"11 okt";0;30
"12 okt";0;32
"13 okt";0;29
"14 okt";0;33
"15 okt";1;36
"16 okt";0;32
"17 okt";0;46
"18 okt";0;56
"19 okt";0;46
"20 okt";0;50
"21 okt";0;51
"22 okt";0;61
"23 okt";0;61
"24 okt";0;48
"25 okt";0;49
"26 okt";0;64
"27 okt";0;67
"28 okt";1;71
"29 okt";0;59
"30 okt";0;75
"31 okt";1;73
"1 nov";1;80
"2 nov";0;81
"3 nov";0;73
"4 nov";0;82
"5 nov";0;67
"6 nov";0;87
"7 nov";0;75
"8 nov";0;83
"9 nov";0;68
"10 nov";1;84
"11 nov";2;63
"12 nov";1;51
"13 nov";0;57
"14 nov";0;61
"15 nov";1;59
"16 nov";0;53
"17 nov";0;62
"18 nov";0;55
"19 nov";2;41
"20 nov";0;54
"21 nov";2;45
"22 nov";0;45
"23 nov";0;45
"24 nov";0;57
"25 nov";0;55
"26 nov";1;53
"27 nov";0;47
"28 nov";1;37
"29 nov";1;47
"30 nov";1;49
"1 dec";3;48
"2 dec";0;49
"3 dec";0;25
"4 dec";0;39
"5 dec";1;36
