file,date,patienten_per_provincie_page,patienten_per_provincie_per_inch,ziekenhuis_per_provincie_page,ziekenhuis_per_provincie_per_inch,overleden_per_provincie_page,overleden_per_provincie_per_inch
Epidemiologische situatie COVID-19 25 maart 2020 DEF_0.pdf,2020-03-25,,,,,,
Epidemiologische situatie COVID-19 26 maart 2020.pdf,2020-03-26,,,,,,
Epidemiologische situatie COVID-19 27 maart 2020_0.pdf,2020-03-27,,,4,64.6621,,
COVID-19_WebSite_rapport_20200328_mvb.pdf,2020-03-28,,,4,88.6001,,
COVID-19_WebSite_rapport_20200329.pdf,2020-03-29,,,4,92.4727,,
Epidemiologische situatie COVID-19 30 maart 2020.pdf,2020-03-30,,,4,112.6888,,
COVID-19_WebSite_rapport_20200331_1145_2.pdf,2020-03-31,4,276.6762,5,117.3433,6,35.7494
Epidemiologische situatie COVID-19 1 april 2020.pdf,2020-04-01,4,276.6762,5,147.6814,6,37.5199
Epidemiologische situatie COVID-19 2 april 2020.pdf,2020-04-02,4,276.6762,5,144.5365,6,36.5263
Epidemiologische situatie COVID-19 in Nederland 3 april 2020.pdf,2020-04-03,4,276.6762,5,146.8716,6,38.8561
COVID-19_WebSite_rapport_20200404_1004_0.pdf,2020-04-04,4,276.6762,5,147.6669,6,38.8561
COVID-19_WebSite_rapport_20200405_1000.pdf,2020-04-05,4,276.6762,5,147.6669,6,38.8561
COVID-19_WebSite_rapport_20200406_1005_1.pdf,2020-04-06,4,276.6762,5,146.8716,6,38.8561
Epidemiologische situatie COVID-19 in Nederland 7 april 2020.pdf,2020-04-07,4,277.4182,5,146.8860,6,39.6354
COVID-19_WebSite_rapport_20200408_1036 (1).pdf,2020-04-08,4,277.4182,5,147.6669,6,40.4073
COVID-19_WebSite_rapport_20200409_1203.pdf,2020-04-09,4,277.4182,5,149.9813,6,40.4073
COVID-19_WebSite_rapport_20200410_1119_0.pdf,2020-04-10,4,277.4182,5,150.7727,6,40.4073
COVID-19_WebSite_rapport_20200411_1125.pdf,2020-04-11,4,277.4182,5,150.7727,6,40.4073
COVID-19_WebSite_rapport_20200412_1009.pdf,2020-04-12,4,278.9660,5,150.7727,6,40.4073
Epidemiologische situatie COVID-19 in Nederland 13 april 2020.pdf,2020-04-13,4,279.7464,5,150.7727,6,40.4073
Epidemiologische situatie COVID-19 in Nederland 14 april 2020.pdf,2020-04-14,4,278.9919,5,150.7727,6,40.4073
