id,filename,filename_original
RIVM_report_20200323,COVID-19_epidemiological_report_20200323.pdf,Epidemiologische situatie COVID-19 23 maart 2020.pdf
RIVM_report_20200324,COVID-19_epidemiological_report_20200324.pdf,Epidemiologische situatie COVID-19 24 maart 2020.pdf
RIVM_report_20200325,COVID-19_epidemiological_report_20200325.pdf,Epidemiologische situatie COVID-19 25 maart 2020 DEF_0.pdf
RIVM_report_20200326,COVID-19_epidemiological_report_20200326.pdf,Epidemiologische situatie COVID-19 26 maart 2020.pdf
RIVM_report_20200327,COVID-19_epidemiological_report_20200327.pdf,Epidemiologische situatie COVID-19 27 maart 2020_0.pdf
RIVM_report_20200328,COVID-19_epidemiological_report_20200328.pdf,COVID-19_WebSite_rapport_20200328_mvb.pdf
RIVM_report_20200329,COVID-19_epidemiological_report_20200329.pdf,COVID-19_WebSite_rapport_20200329.pdf
RIVM_report_20200330,COVID-19_epidemiological_report_20200330.pdf,Epidemiologische situatie COVID-19 30 maart 2020.pdf
RIVM_report_20200331,COVID-19_epidemiological_report_20200331.pdf,COVID-19_WebSite_rapport_20200331_1145_2.pdf
RIVM_report_20200401,COVID-19_epidemiological_report_20200401.pdf,Epidemiologische situatie COVID-19 1 april 2020.pdf
RIVM_report_20200402,COVID-19_epidemiological_report_20200402.pdf,Epidemiologische situatie COVID-19 2 april 2020.pdf
RIVM_report_20200403,COVID-19_epidemiological_report_20200403.pdf,Epidemiologische situatie COVID-19 in Nederland 3 april 2020.pdf
RIVM_report_20200404,COVID-19_epidemiological_report_20200404.pdf,COVID-19_WebSite_rapport_20200404_1004_0.pdf
RIVM_report_20200405,COVID-19_epidemiological_report_20200405.pdf,COVID-19_WebSite_rapport_20200405_1000.pdf
RIVM_report_20200406,COVID-19_epidemiological_report_20200406.pdf,COVID-19_WebSite_rapport_20200406_1005_1.pdf
RIVM_report_20200407,COVID-19_epidemiological_report_20200407.pdf,Epidemiologische situatie COVID-19 in Nederland 7 april 2020.pdf
RIVM_report_20200408,COVID-19_epidemiological_report_20200408.pdf,COVID-19_WebSite_rapport_20200408_1036 (1).pdf
RIVM_report_20200409,COVID-19_epidemiological_report_20200409.pdf,COVID-19_WebSite_rapport_20200409_1203.pdf
RIVM_report_20200410,COVID-19_epidemiological_report_20200410.pdf,COVID-19_WebSite_rapport_20200410_1119_0.pdf
RIVM_report_20200411,COVID-19_epidemiological_report_20200411.pdf,COVID-19_WebSite_rapport_20200411_1125.pdf
RIVM_report_20200412,COVID-19_epidemiological_report_20200412.pdf,COVID-19_WebSite_rapport_20200412_1009.pdf
RIVM_report_20200413,COVID-19_epidemiological_report_20200413.pdf,Epidemiologische situatie COVID-19 in Nederland 13 april 2020.pdf
RIVM_report_20200414,COVID-19_epidemiological_report_20200414.pdf,Epidemiologische situatie COVID-19 in Nederland 14 april 2020.pdf
RIVM_report_20200415,COVID-19_epidemiological_report_20200415.pdf,20200415COVID-19_WebSite_rapport.pdf
RIVM_report_20200416,COVID-19_epidemiological_report_20200416.pdf,Epidemiologische situatie COVID-19 in Nederland 16 april 2020.pdf
RIVM_report_20200417,COVID-19_epidemiological_report_20200417.pdf,COVID-19_WebSite_rapport_20200417_1007.pdf
RIVM_report_20200418,COVID-19_epidemiological_report_20200418.pdf,Epidemiologische situatie COVID-19 in Nederland 18 april 2020.pdf
RIVM_report_20200419,COVID-19_epidemiological_report_20200419.pdf,19042020_COVID-19_WebSite_rapport.pdf
RIVM_report_20200420,COVID-19_epidemiological_report_20200420.pdf,COVID-19_WebSite_rapport_20200420_1153.pdf
RIVM_report_20200421,COVID-19_epidemiological_report_20200421.pdf,COVID-19_WebSite_rapport_20200421_1128.pdf
RIVM_report_20200422,COVID-19_epidemiological_report_20200422.pdf,COVID-19_WebSite_rapport_20200422_1126 (002).pdf
RIVM_report_20200423,COVID-19_epidemiological_report_20200423.pdf,COVID-19_WebSite_rapport_20200423_1015.pdf
RIVM_report_20200424,COVID-19_epidemiological_report_20200424.pdf,COVID-19_WebSite_rapport_20200424_1014_0.pdf
RIVM_report_20200425,COVID-19_epidemiological_report_20200425.pdf,Epidemiologische situatie COVID-19 in Nederland 25 april 2020.pdf
RIVM_report_20200426,COVID-19_epidemiological_report_20200426.pdf,COVID-19_WebSite_rapport_20200426_1012.pdf
RIVM_report_20200427,COVID-19_epidemiological_report_20200427.pdf,COVID-19_WebSite_rapport_20200427_1120.pdf
RIVM_report_20200428,COVID-19_epidemiological_report_20200428.pdf,COVID-19_WebSite_rapport_20200428_1027.pdf
RIVM_report_20200429,COVID-19_epidemiological_report_20200429.pdf,COVID-19_WebSite_rapport_20200429_1005.pdf
RIVM_report_20200430,COVID-19_epidemiological_report_20200430.pdf,COVID-19_WebSite_rapport_20200430_1215.pdf
